N	2gram	Propp_Isto	Sotsiolo
1	все это	4	7
2	в том	13	5
3	в этом	20	5
4	не только	17	3
5	как же	1	3
6	не в	11	3
7	и в	44	3
8	и только	1	3
9	более чем	1	3
10	в его	16	3
11	для нас	6	3
12	что в	18	2
13	ведь это	1	2
14	то что	16	2
15	таким образом	21	2
16	том что	12	2
17	или даже	1	2
18	дело не	1	2
19	как бы	4	2
20	в результате	1	2
21	было бы	2	2
22	как будто	2	2
23	очевидно что	3	2
24	в частности	9	2
25	и мы	3	2
26	но и	16	2
27	может быть	31	2
28	по существу	2	2
29	главным образом	2	2
30	и что	13	2
31	это и	3	2
32	по отношению	2	2
33	в конце	1	2
34	как только	2	2
35	отношению к	2	2
36	должна быть	3	2
37	далеко не	1	2
38	тем более	1	2
39	только в	8	2
40	только как	1	2
41	то же	9	2
42	одно дело	1	2
43	еще не	16	2
44	как то	1	1
45	а в	9	1
46	что он	29	1
47	образом в	3	1
48	теперь он	1	1
49	даже в	4	1
50	на что	1	1
51	быть не	1	1
52	в таких	3	1
53	в целом	4	1
54	в силу	7	1
55	вряд ли	1	1
56	и самые	1	1
57	на этот	2	1
58	это значит	2	1
59	что эти	1	1
60	все эти	11	1
61	не было	2	1
62	представить себе	1	1
63	остается в	1	1
64	у которых	2	1
65	связи с	10	1
66	единственный путь	1	1
67	только то	1	1
68	не мешает	1	1
69	в своей	3	1
70	где же	1	1
71	во всяком	1	1
72	в мире	1	1
73	и потому	2	1
74	из круга	1	1
75	дает нам	2	1
76	все же	17	1
77	что это	8	1
78	еще и	2	1
79	героя который	1	1
80	на ней	2	1
81	с другой	11	1
82	ни на	1	1
83	мы должны	7	1
84	и стало	1	1
85	это же	4	1
86	единства и	1	1
87	с ним	9	1
88	право на	2	1
89	между тем	1	1
90	именно и	1	1
91	и более	3	1
92	но как	2	1
93	в этой	5	1
94	время в	2	1
95	из себя	4	1
96	и его	15	1
97	перейти к	2	1
98	запад и	1	1
99	никак не	1	1
100	в данном	3	1
101	на все	2	1
102	только для	1	1
103	в области	1	1
104	и по	3	1
105	их на	3	1
106	первый план	1	1
107	с помощью	1	1
108	же самое	1	1
109	этом не	1	1
110	один из	6	1
111	так и	9	1
112	только тогда	4	1
113	в то	5	1
114	пишет он	1	1
115	бы они	1	1
116	в котором	2	1
117	и русская	1	1
118	те же	1	1
119	на следующий	2	1
120	именно на	2	1
121	него и	6	1
122	должно было	3	1
123	же это	1	1
124	отнюдь не	1	1
125	и не	19	1
126	со своими	3	1
127	человек все	1	1
128	развития по	1	1
129	но она	1	1
130	всяком случае	1	1
131	эти два	2	1
132	иначе говоря	1	1
133	он ни	1	1
134	том как	5	1
135	или нет	1	1
136	и о	2	1
137	и должны	1	1
138	к изучению	2	1
139	но не	8	1
140	они не	5	1
141	в него	5	1
142	для этого	3	1
143	их друг	1	1
144	прежде всего	7	1
145	тем что	12	1
146	что она	3	1
147	тем же	1	1
148	и строить	1	1
149	в систему	1	1
150	он по	2	1
151	на тех	2	1
152	что данный	1	1
153	на основании	1	1
154	и связь	1	1
155	а с	2	1
156	мы еще	2	1
157	происходит не	2	1
158	это происходит	3	1
159	новые и	1	1
160	же не	1	1
161	не дает	2	1
162	тех кто	1	1
163	это наиболее	1	1
164	он говорит	1	1
165	его в	17	1
166	же теперь	1	1
167	в наше	2	1
168	зависит от	4	1
169	но одно	1	1
170	же этот	1	1
171	в процессе	1	1
172	автор не	1	1
173	вовсе не	6	1
174	даже не	2	1
175	с одной	7	1
176	и наконец	2	1
177	конечно не	1	1
178	о том	11	1
179	мы не	6	1
180	тому что	1	1
181	подняться на	1	1
182	и затем	2	1
183	в этих	7	1
184	как живой	1	1
185	у него	7	1
186	по себе	2	1
187	на первый	1	1
188	перед нами	2	1
189	вот в	1	1
190	хотя бы	2	1
191	же время	1	1
192	наконец в	1	1
193	приемы их	1	1
194	что на	1	1
195	это не	8	1
196	одной стороны	7	1
197	в связи	6	1
198	бы в	1	1
199	работы в	1	1
200	в виде	13	1
201	вопросом о	1	1
202	никогда не	5	1
203	и есть	3	1
204	не может	10	1
205	между ними	2	1
206	и как	5	1
207	что все	4	1
208	место в	1	1
209	не без	1	1
210	для наших	1	1
211	как и	12	1
212	ничего не	4	1
213	в них	3	1
