N	2gram	Losev_Prob	EvropaiE
1	и в	64	37
2	в отношении	7	32
3	в пределах	2	25
4	точки зрения	5	23
5	что в	21	21
6	не только	37	18
7	с точки	3	17
8	в то	7	16
9	то же	10	15
10	хотя бы	15	15
11	в качестве	3	14
12	и не	63	14
13	но и	23	14
14	в своем	7	14
15	но в	19	14
16	в этом	30	12
17	в том	19	11
18	в их	7	11
19	в области	8	11
20	с и	2	10
21	так и	17	10
22	в себе	16	9
23	т е	2	9
24	прежде всего	17	9
25	только в	19	9
26	в смысле	2	9
27	так же	12	9
28	не может	18	9
29	отнюдь не	15	9
30	с одной	4	8
31	в ее	3	8
32	в своей	8	8
33	одной стороны	4	8
34	между тем	3	8
35	было бы	16	8
36	думать что	2	8
37	к тому	5	8
38	так как	16	7
39	того что	18	7
40	а также	6	7
41	и выше	1	7
42	как и	7	7
43	между прочим	3	7
44	по своему	14	7
45	также и	22	7
46	с другой	8	7
47	нам кажется	2	7
48	то есть	61	6
49	с этой	1	6
50	в последние	3	6
51	и даже	19	6
52	и на	11	6
53	том что	26	6
54	вовсе не	60	6
55	во всех	9	6
56	может быть	29	6
57	того чтобы	10	6
58	для того	10	6
59	стороны и	3	6
60	то что	72	6
61	как бы	18	6
62	на то	12	6
63	в той	2	5
64	как нам	2	5
65	тем самым	11	5
66	в виде	20	5
67	не в	6	5
68	в россии	1	5
69	но не	13	5
70	от этого	2	5
71	со стороны	2	5
72	и потому	3	5
73	которую мы	1	5
74	в течение	1	5
75	же как	2	5
76	в частности	5	5
77	как мы	10	5
78	одной из	1	5
79	столь же	1	5
80	но если	6	5
81	и по	3	5
82	в самом	10	4
83	бы то	2	4
84	то в	6	4
85	на путях	1	4
86	мы не	6	4
87	в предыдущем	1	4
88	даже в	2	4
89	ни было	1	4
90	того или	8	4
91	для нас	11	4
92	не на	4	4
93	и притом	6	4
94	само по	1	4
95	в некотором	1	4
96	из числа	2	4
97	именно в	5	4
98	в процессе	1	4
99	по себе	20	4
100	не имеет	8	4
101	в каком	7	4
102	тем более	13	4
103	той или	10	4
104	вопрос о	4	4
105	но даже	3	4
106	лежат в	1	4
107	то ни	3	4
108	или иного	6	4
109	как это	7	4
110	несмотря на	6	4
111	к ней	1	4
112	в ней	1	4
113	сказать что	33	4
114	можно сказать	9	4
115	во многих	4	4
116	или иной	8	4
117	мира в	2	4
118	независимо от	2	4
119	и к	2	3
120	говорит о	4	3
121	но на	1	3
122	и мы	1	3
123	различия в	1	3
124	можно ли	9	3
125	страны и	1	3
126	всех случаях	1	3
