N	2gram	Medvedev_F	Marksizm
1	точки зрения	21	69
2	может быть	30	64
3	и в	54	63
4	и не	34	55
5	как бы	10	53
6	не может	26	47
7	с точки	17	46
8	и пр	30	42
9	и его	27	41
10	в этом	39	39
11	таким образом	28	38
12	в процессе	17	33
13	как мы	10	32
14	языка и	13	31
15	в пределах	13	31
16	лишь в	15	30
17	не только	14	29
18	речи в	1	29
19	то же	16	28
20	в нем	25	28
21	языка как	11	27
22	но и	18	27
23	в языке	5	26
24	связи с	12	25
25	речи и	2	25
26	самом деле	12	25
27	в самом	17	24
28	как и	18	24
29	прежде всего	34	24
30	только в	6	23
31	так и	24	23
32	в том	17	22
33	то что	14	22
34	а не	11	22
35	при этом	14	20
36	так сказать	6	20
37	для него	9	20
38	если мы	5	20
39	об идеологиях	15	19
40	на почве	20	19
41	не в	16	19
42	если бы	8	19
43	том что	3	19
44	в его	30	19
45	языка в	8	18
46	в ее	10	18
47	внутренней речи	1	18
48	в слове	4	18
49	и для	5	18
50	но в	9	18
51	вовсе не	18	18
52	все же	8	17
53	в сущности	3	17
54	по отношению	4	16
55	ни было	2	16
56	речевого общения	6	16
57	речь в	1	16
58	слова и	5	16
59	социального общения	8	16
60	и как	6	16
61	в то	14	16
62	с помощью	13	15
63	индивидуального сознания	1	15
64	во всех	9	15
65	в связи	11	15
66	отнюдь не	13	15
67	что он	8	15
68	же время	13	15
69	в русском	2	15
70	отношению к	4	15
71	язык как	8	14
72	в данном	2	14
73	хотя бы	10	14
74	в контексте	2	14
75	в смысле	2	14
76	в своей	16	13
77	так же	5	13
78	то ни	5	13
79	что в	10	13
80	и здесь	8	13
81	не является	3	13
82	того чтобы	4	13
83	было бы	10	13
84	ничего не	5	13
85	мы не	6	13
86	слова в	2	13
87	идеологического творчества	9	12
88	для того	3	12
89	того же	1	12
90	бы то	4	12
91	в результате	8	12
92	выражение в	1	12
93	между тем	4	12
94	он не	8	12
95	в основе	7	12
96	высшей степени	4	12
97	является не	1	12
98	а в	11	12
99	в высшей	4	12
100	не столько	5	11
101	на материале	2	11
102	систему языка	1	11
103	к нему	3	11
104	мы уже	1	11
105	и что	2	11
106	и от	9	11
107	как система	1	11
108	слова как	2	11
109	до сих	7	11
110	и на	10	11
111	и все	9	11
112	как в	12	11
113	еще не	6	11
114	высказывание в	1	11
115	друг друга	4	11
116	так как	4	11
117	на самом	8	11
118	все эти	12	11
119	в ней	15	11
120	сих пор	7	11
121	без исключения	2	10
122	именно в	12	10
123	во всяком	6	10
124	самого начала	2	10
125	с другой	8	10
126	сказать что	3	10
127	к этому	3	10
128	никогда не	6	10
129	в своем	12	10
130	его в	5	10
131	в таком	2	10
132	одна из	2	10
133	в каждом	3	10
134	в основном	3	10
135	системе языка	1	10
136	в большинстве	6	10
137	совершенно не	5	10
138	конечно не	5	10
139	в отличие	2	10
140	с его	12	10
141	здесь в	2	10
142	и потому	9	10
143	с самого	2	10
144	отличие от	2	10
145	бытия в	3	10
146	более того	6	10
147	быть и	5	9
148	к тому	6	9
149	только на	8	9
150	общения и	3	9
151	в нашем	2	9
152	точка зрения	3	9
153	в себе	4	9
154	лишь на	1	9
155	большинстве случаев	5	9
156	рядом с	1	9
157	и это	4	9
158	речевых выступлений	2	9
159	а как	5	9
160	мы видели	5	9
161	что это	1	9
162	ни в	3	9
163	не имеет	2	9
164	и более	4	9
165	как целое	1	9
166	отношении к	2	9
167	это не	4	9
168	как если	2	9
169	в истории	10	9
170	о языке	4	9
171	одной из	2	9
172	и эта	2	9
173	индивидуальное сознание	2	9
174	кроме того	3	8
175	не как	7	8
176	другой стороны	5	8
177	но что	2	8
178	и даже	7	8
179	и с	17	8
180	на этой	1	8
181	исторического становления	1	8
182	настоящее время	11	8
183	в данной	1	8
184	мы знаем	3	8
185	что и	10	8
186	у него	1	8
187	не было	7	8
188	что не	4	8
189	тому что	3	8
190	ясно что	3	8
191	или же	4	8
192	не будет	2	8
193	в форме	2	8
194	за пределы	2	8
195	столь же	2	8
196	в отношении	3	8
197	сводится к	6	8
198	в каком	1	8
199	к другому	2	8
200	перед нами	3	8
201	чем же	3	8
202	в свою	8	8
203	этого слова	4	8
204	в настоящее	11	8
205	с этим	6	8
206	у нас	6	8
207	смысле этого	4	8
208	в их	16	8
209	и их	13	8
210	в науке	2	8
211	и ее	15	8
212	или иной	1	8
213	на то	2	8
214	от него	2	7
215	следует что	3	7
216	в этих	3	7
217	значения слова	1	7
218	социальной группы	4	7
219	общественной психологии	1	7
220	не существует	1	7
221	в котором	2	7
222	и значение	1	7
223	и те	2	7
224	свою очередь	6	7
225	языка не	2	7
226	те же	1	7
227	нашей работы	3	7
228	как раз	8	7
229	в качестве	2	7
230	слово как	1	7
231	бы в	6	7
232	как системы	1	7
233	в этой	10	7
234	могут быть	7	7
235	там где	3	7
236	же является	2	7
237	психологии и	1	7
238	науки об	12	7
239	с ними	1	7
240	может стать	1	7
241	данной социальной	1	7
242	до настоящего	3	7
243	вполне понятно	2	7
244	на основе	6	7
245	по себе	10	7
246	той же	2	7
247	до конца	9	7
248	о том	1	7
249	того что	7	7
250	общения в	3	7
251	в формах	4	7
252	является лишь	5	7
253	далеко не	2	7
254	место в	8	7
255	настоящего времени	3	7
256	в той	3	6
257	науки о	4	6
258	является в	2	6
259	точном смысле	1	6
260	идеологического общения	4	6
261	от одного	2	6
262	в корне	6	6
