N	2gram	Potebnia_M	NovoeSre
1	а не	22	17
2	не может	18	16
3	и в	48	16
4	совсем не	2	12
5	и не	28	11
6	и есть	4	10
7	что в	30	9
8	в том	47	8
9	жизни и	3	8
10	он не	4	8
11	в этом	19	7
12	может быть	46	7
13	не будет	4	7
14	это есть	1	7
15	как и	22	7
16	к новому	1	7
17	ни в	2	6
18	не знает	4	6
19	не в	24	6
20	лишь в	2	6
21	с его	1	6
22	но это	9	6
23	никогда не	2	6
24	и к	5	5
25	не только	32	5
26	в ней	11	5
27	все это	4	5
28	xix века	1	5
29	в жизни	1	5
30	в нем	16	5
31	должен быть	1	5
32	перестает быть	5	4
33	и потому	9	4
34	жизни к	2	4
35	и мы	3	4
36	по своему	2	4
37	быть может	7	4
38	не во	1	4
39	со всех	3	4
40	должно быть	9	4
41	потому что	82	4
42	это не	2	4
43	прежде всего	6	4
44	в них	9	4
45	то что	37	4
46	не было	12	4
47	есть лишь	1	4
48	и все	5	4
49	всех сторон	3	4
50	не менее	9	4
51	не имеет	10	4
52	значит что	2	4
53	о том	7	4
54	во всех	1	3
55	истории не	1	3
56	вопрос о	2	3
57	не означает	1	3
58	в наше	1	3
59	должна быть	2	3
60	она не	4	3
61	тому как	6	3
62	в ее	3	3
63	что такое	2	3
64	в прошлом	1	3
65	за пределы	2	3
66	стремится к	3	3
67	конечно не	2	3
68	подобно тому	3	3
69	в истории	2	3
70	не существует	5	3
71	с другой	8	3
72	к ним	3	3
73	сказать что	8	3
74	духа и	1	3
75	с тем	9	3
76	перейти от	2	3
77	не есть	24	3
78	в своей	2	3
79	в мире	3	3
80	как в	17	3
81	жизни в	1	3
82	перейти к	1	3
83	но и	30	3
84	это было	3	3
85	к ее	1	3
86	жизни не	3	3
87	к тому	9	3
88	человека и	8	3
89	еще не	9	3
90	от всякого	1	2
91	с этим	12	2
92	и большая	1	2
93	и от	5	2
94	еще до	3	2
95	это и	2	2
96	не хотим	1	2
97	и что	13	2
98	что она	4	2
99	и было	1	2
100	зависит от	7	2
101	с одной	8	2
102	хотя бы	3	2
103	мы не	17	2
104	того чтобы	5	2
105	хотя и	3	2
106	переход к	1	2
107	в нашу	1	2
108	так и	17	2
109	нашего времени	2	2
110	как это	1	2
111	если нет	1	2
112	но она	1	2
113	жизни все	1	2
114	думать что	6	2
115	одной стороны	4	2
116	для чего	1	2
117	не могла	2	2
118	можно было	1	2
119	другой стороны	4	2
120	времени и	2	2
121	с их	1	2
122	этом смысле	2	2
123	том и	1	2
124	у него	3	2
125	место в	4	2
126	свободы и	1	2
127	а в	14	2
128	в обществе	1	2
129	когда мы	4	2
130	и даже	3	2
131	и формы	1	2
132	люди не	2	2
133	и с	4	2
134	мы говорим	2	2
135	и начинается	1	2
136	связана с	1	2
137	для этого	1	2
138	нет и	2	2
139	равно как	2	2
140	могут быть	6	2
141	в себе	26	2
142	том чтобы	4	2
143	и на	5	2
144	быть в	1	2
145	уже не	11	2
146	я не	1	2
147	не знал	1	2
148	что все	5	2
149	время как	3	2
150	времени в	1	2
151	помнить что	1	2
152	духа в	2	2
153	все эти	1	2
154	есть в	6	2
155	вместе с	22	2
156	который в	2	2
157	стремление к	1	2
158	мира и	1	2
159	как будто	1	2
160	в природе	3	2
161	должно стать	1	2
162	но не	8	2
163	из глубины	2	2
164	в то	16	2
165	должно было	2	2
166	споры о	1	2
167	в новом	2	2
168	том что	28	2
169	так же	6	2
170	и это	6	2
171	можно назвать	2	2
172	в смысле	4	2
173	но для	1	2
174	себя в	1	2
175	но в	8	2
176	и т.п	1	2
177	мысли в	2	2
178	мысли и	8	2
179	формы и	2	2
180	не к	4	2
181	к более	1	2
182	к содержанию	4	2
183	в той	2	1
184	вопрос об	2	1
185	мне представляется	1	1
186	все в	3	1
187	своего рода	1	1
188	мир не	1	1
189	необходимой для	1	1
190	в самом	11	1
191	во всем	2	1
192	к одному	7	1
193	нет ничего	2	1
194	ее на	1	1
195	и того	2	1
196	от нее	2	1
197	до этого	2	1
198	но можно	1	1
199	может иметь	1	1
200	том случае	2	1
201	можно сказать	4	1
202	и мысли	2	1
203	и старое	1	1
204	то он	2	1
205	все что	4	1
206	человека в	2	1
207	то они	1	1
208	но оно	6	1
209	что единство	1	1
210	на человека	2	1
211	и быть	3	1
212	в более	4	1
213	до сих	4	1
214	мире а	1	1
215	и человека	1	1
216	а к	4	1
217	не сознавать	1	1
218	и более	4	1
219	бы он	1	1
220	он требует	1	1
221	в котором	7	1
222	внутреннего единства	1	1
223	по преимуществу	1	1
224	тоже не	1	1
225	то это	9	1
226	ее он	1	1
227	ничем не	1	1
228	что этот	2	1
229	отличие от	2	1
230	что будет	3	1
231	жизни без	1	1
232	нет ни	2	1
233	же и	3	1
234	отнести к	1	1
235	нельзя сказать	5	1
236	из них	11	1
237	к ней	7	1
238	был уже	1	1
239	предположении что	1	1
240	к природе	1	1
241	также что	1	1
242	случае если	2	1
243	свидетельствует о	1	1
244	о человеке	5	1
245	есть вместе	3	1
246	мы уже	5	1
247	нас и	1	1
248	которая в	1	1
249	своей природе	1	1
250	этого она	1	1
251	он легко	1	1
252	есть время	1	1
253	говорим что	1	1
254	не могу	1	1
255	уже в	10	1
256	эти слова	2	1
257	на ее	2	1
258	в свою	6	1
259	от мира	1	1
260	есть прежде	2	1
261	и имеет	1	1
262	в состоянии	5	1
263	для себя	3	1
264	из этих	10	1
265	во всяком	4	1
266	можно лишь	1	1
267	все свои	2	1
268	не сознается	1	1
269	процесс в	1	1
270	смысле в	3	1
271	многое зависит	1	1
272	не должно	1	1
273	своему строению	1	1
274	с миром	1	1
275	то нужно	1	1
276	для того	8	1
277	вопросу о	1	1
278	людей но	1	1
279	не по	1	1
280	мы всегда	1	1
281	быть не	4	1
282	не быть	1	1
283	что истина	1	1
284	ее жизни	1	1
285	власть над	2	1
286	лишь для	1	1
287	это значит	1	1
288	не всегда	5	1
289	религия в	1	1
290	а это	2	1
291	и счастья	1	1
292	имея в	1	1
293	или нет	1	1
294	было бы	16	1
295	мы должны	6	1
296	и из	2	1
297	виду эту	1	1
298	будет сказать	1	1
299	в сущности	3	1
300	о самом	1	1
301	о формах	1	1
302	в его	6	1
303	значительной степени	2	1
304	к такой	1	1
305	переходит от	2	1
306	суждения не	2	1
307	к тем	4	1
308	мы в	3	1
309	должны быть	3	1
310	и совсем	1	1
311	и их	4	1
312	в которую	1	1
313	говорить о	6	1
314	не с	4	1
315	во времена	2	1
316	и стремится	1	1
317	бытия и	1	1
318	не были	4	1
319	есть и	3	1
320	верим в	1	1
321	воля не	1	1
322	совершенно невозможно	1	1
323	у нас	2	1
324	и когда	1	1
325	время когда	3	1
326	не столько	2	1
327	никогда еще	2	1
328	с другими	9	1
329	людей и	2	1
330	ни одно	2	1
331	в виду	1	1
332	сами эти	1	1
333	есть переход	1	1
334	превращается в	3	1
335	и до	2	1
336	слова а	1	1
337	нужно будет	1	1
338	есть результат	1	1
339	природу и	1	1
340	и развивается	1	1
341	и такое	3	1
342	только в	29	1
343	по небу	1	1
344	труд и	1	1
345	не на	1	1
346	не могут	7	1
347	есть уже	13	1
348	при нем	1	1
349	создает себе	1	1
350	под этим	1	1
351	от того	10	1
352	в нее	5	1
353	он есть	1	1
354	него как	1	1
355	сам этот	1	1
356	что образ	1	1
357	есть еще	4	1
358	от своих	4	1
359	оно существует	1	1
360	были людьми	1	1
361	которое можно	1	1
362	в большинстве	2	1
363	все от	1	1
364	оно не	7	1
365	была уже	1	1
366	другая сторона	1	1
367	что нет	1	1
368	как например	2	1
369	и связаны	1	1
370	сами по	3	1
371	принадлежит уже	1	1
372	всего что	1	1
373	было ее	1	1
374	или не	3	1
375	но он	3	1
376	нашей мысли	7	1
377	значение и	1	1
378	думаю и	1	1
379	зависимость от	1	1
380	в которой	9	1
381	смысле как	1	1
382	и а	1	1
383	века не	2	1
384	заключает в	10	1
385	в этой	3	1
386	жизни это	1	1
387	этого не	3	1
388	а во-вторых	1	1
389	к чему	2	1
390	умственной жизни	1	1
391	я думаю	2	1
392	моей мысли	1	1
393	человеческой жизни	3	1
394	а по	1	1
395	а также	1	1
396	и еще	1	1
397	что его	3	1
398	как на	6	1
399	про себя	1	1
400	он в	1	1
401	мысли как	4	1
402	нет для	1	1
403	системы которая	1	1
404	на нее	2	1
405	оно есть	4	1
406	теперь и	2	1
407	во многом	3	1
