N	4gram	Vinokur_St	Russkaja
1	в то же время	5	10
2	во что бы то	1	3
3	что бы то ни	1	3
4	бы то ни стало	1	3
5	и вместе с тем	1	2
6	только в том случае	1	2
7	и в том и	1	2
8	всякого давления со стороны	1	1
9	точно так же и	1	1
10	уверен в том что	1	1
11	для этого прежде всего	1	1
12	бы то ни было	1	1
13	но как бы ни	1	1
14	без всякого давления со	1	1
15	только с точки зрения	1	1
16	дело в том что	7	1
17	не трудно видеть что	1	1
18	и в этом случае	2	1
19	заключается в том что	3	1
20	быть уверен в том	1	1
21	но в то же	2	1
22	свидетельствуют о том что	1	1
23	может быть уверен в	1	1
24	что с точки зрения	1	1
25	в том числе и	2	1
26	говорить о том что	1	1
27	этого прежде всего необходимо	1	1
28	и тот факт что	1	1
29	относится не только к	1	1
30	во всяком случае не	2	1
31	точно так же как	1	1
32	также и то что	1	1
33	само собой разумеется что	1	1
