N	4gram	Tiupa_Hudo	Istorich
1	не что иное как	1	11
2	с этой точки зрения	2	6
3	точно так же как	1	6
4	есть не что иное	1	5
5	состоит в том что	4	4
6	но в отличие от	1	3
7	как это происходит в	1	3
8	с одной стороны и	1	3
9	бы то ни было	2	3
10	как один из видов	1	2
11	в том что он	2	2
12	в том отношении что	1	2
13	и глубже чем это	1	2
14	шире и глубже чем	1	2
15	одно и то же	3	2
16	иметь в виду что	1	2
17	в том числе и	2	2
18	но в таком случае	1	2
19	в этих случаях оказывается	1	1
20	в противоречие с первоначальным	1	1
21	всегда так или иначе	1	1
22	в связи с этим	1	1
23	заключается в том что	1	1
24	а не только на	1	1
25	и не могло быть	2	1
26	в более или менее	1	1
27	мы имеем дело не	1	1
28	в том что она	1	1
29	если он не будет	1	1
30	случае мы имеем дело	1	1
31	мы имеем дело с	1	1
32	не содержит в себе	1	1
33	приводит к тому что	2	1
34	какой бы то ни	1	1
35	в то же время	7	1
