N	3gram	Savitsky_E	Myshleni
1	в том что	6	133
2	с точки зрения	16	89
3	для того чтобы	5	78
4	заключается в том	2	51
5	по сравнению с	2	45
6	так же как	5	39
7	с одной стороны	8	39
8	друг с другом	3	35
9	в этом отношении	3	30
10	можно было бы	3	28
11	с другой стороны	2	26
12	на то что	2	25
13	не может быть	2	23
14	смысле этого слова	1	22
15	в то время	1	22
16	к тому что	1	22
17	можно сказать что	3	21
18	то время как	1	20
19	и тем самым	1	19
20	из того что	2	19
21	в отличие от	1	18
22	во всяком случае	3	18
23	в этом смысле	3	18
24	и того же	1	17
25	этой точки зрения	5	17
26	как мы видели	2	17
27	в связи с	1	17
28	одного и того	1	17
29	же как и	3	17
30	с этой точки	5	16
31	мы не станем	1	16
32	в данном случае	2	15
33	в известном смысле	3	15
34	друг от друга	2	14
35	на этот вопрос	1	14
36	мы видели что	1	14
37	в свою очередь	2	14
38	это значит что	1	13
39	то и другое	1	13
40	один и тот	1	12
41	и тот же	1	12
42	в своем развитии	1	12
43	в последнее время	1	11
44	мы не можем	1	11
45	что мы знаем	1	11
46	только тогда когда	1	11
47	одной стороны и	6	10
48	том числе и	1	10
49	то что в	2	10
50	в том числе	1	10
51	вместо того чтобы	1	10
52	тех и других	1	10
53	приводит нас к	2	9
54	с тем что	1	9
55	более или менее	1	9
56	само по себе	4	9
57	друг к другу	1	9
58	только в том	2	8
59	в силу этого	1	8
60	речь идет о	1	8
61	той или иной	4	8
62	независимо от того	1	8
63	не могут быть	1	8
64	в том же	1	8
65	и в отношении	1	8
66	к тому чтобы	2	7
67	в этот период	1	6
68	и в частности	2	6
69	заключает в себе	3	6
70	именно потому что	1	6
71	в лучшем случае	1	6
72	в том смысле	1	6
73	того что мы	1	6
74	кроме того что	1	5
75	что в этом	1	5
76	лежащих в основе	1	5
77	мы стремились показать	1	5
78	прежде всего в	2	5
79	том смысле что	1	5
80	то что с	1	5
81	мы хотели бы	1	5
82	не может не	1	5
83	и в этом	4	5
84	и ту же	1	5
85	в то же	15	5
86	не только в	4	5
87	представление о том	1	5
88	по нашему мнению	2	5
89	о которых мы	1	4
90	так и в	2	4
91	как это мы	1	4
92	одну и ту	1	4
93	на этот раз	1	4
94	но так как	1	4
95	в тех случаях	1	4
96	но и в	1	4
97	и тем более	1	4
98	это мы видим	1	4
99	в себе ничего	1	4
100	нас к выводу	1	4
101	несмотря на то	1	4
102	так и по	1	4
103	в значительной степени	1	4
104	мы увидим что	1	4
105	тому или иному	2	4
106	тех случаях когда	1	4
107	в гораздо большей	1	4
108	в применении к	3	3
109	и связанное с	1	3
110	то ни было	4	3
111	он мог бы	1	3
112	хотя бы и	3	3
113	сказать что в	2	3
114	в их развитии	1	3
115	они относятся к	1	3
116	к тому же	1	3
117	имеет место в	2	3
118	то же время	14	3
119	и только в	2	3
120	во внимание что	1	3
121	связи с этим	1	3
122	одна и та	1	3
123	дело в том	1	3
124	того или иного	4	3
125	хотя бы в	2	3
126	но тем самым	1	3
127	и со стороны	2	3
128	ответить на этот	1	3
129	только в пределах	1	3
130	тех или иных	1	3
131	в соответствии с	1	3
132	что как бы	1	3
133	совершенно очевидно что	1	3
134	бы то ни	4	3
135	к тому или	1	3
136	в значительной мере	1	3
137	та или иная	1	3
138	во всем его	1	3
139	так как мы	1	3
140	и та же	1	3
141	того что в	2	3
142	оно не может	1	3
143	в той или	3	2
144	что в силу	1	2
145	вопрос можно ли	1	2
146	и в применении	1	2
147	это имело место	1	2
148	в этом процессе	1	2
149	в частности в	2	2
150	дело идет о	2	2
151	подобно этому и	1	2
152	так как их	1	2
153	интересующего нас вопроса	1	2
154	мы остановились на	1	2
155	при известных условиях	1	2
156	не связана с	1	2
157	в одном из	2	2
158	в качестве орудия	2	2
159	значение только в	1	2
160	не может остаться	1	2
161	гораздо большей степени	1	2
162	и в своем	1	2
163	ничего иного кроме	1	2
164	выходит за пределы	1	2
165	представить себе в	1	2
166	нас к установлению	1	2
167	оставить в стороне	1	2
168	о котором мы	1	2
169	в себе в	1	2
170	неизбежно приводит нас	1	2
171	если обратиться к	1	2
172	в таком смысле	1	2
173	что оно не	1	2
174	вовсе не в	1	2
175	в огромной степени	1	2
176	было бы неправильно	1	2
177	в том случае	1	2
178	как это имело	1	2
179	по себе не	2	2
180	и в качестве	1	2
181	в большинстве случаев	2	2
182	или хотя бы	2	2
183	том случае если	1	2
184	котором мы говорили	1	2
185	в области развития	1	2
186	в отношении которых	1	2
187	ту или иную	3	2
188	чтобы ответить на	1	2
189	и не только	1	2
190	и с точки	1	2
191	связанное с ним	1	2
192	к двум основным	1	2
193	во всех этих	1	2
194	но само по	1	2
195	точки зрения развития	1	2
196	так как хотя	1	2
197	поскольку это так	1	1
198	в известных пределах	2	1
199	она никогда не	1	1
200	неизбежно придет к	1	1
201	обстоит дело в	2	1
202	же время не	1	1
203	но было бы	2	1
204	для себя с	1	1
205	мы не находим	1	1
206	станем вдаваться в	1	1
207	в известной степени	3	1
208	почти на всем	1	1
209	но и то	1	1
210	как и его	1	1
211	по признанию самого	1	1
212	есть не только	2	1
213	говоря уже о	1	1
214	самым непосредственным образом	1	1
215	на основании того	1	1
216	в качестве примера	1	1
217	и во многих	1	1
218	если этот вопрос	1	1
219	есть такая же	1	1
