N	3gram	Nazirov_Tv	Istorich
1	и т д	10	142
2	с другой стороны	2	46
3	до сих пор	1	30
4	с одной стороны	1	28
5	так же как	1	27
6	мы знаем что	1	26
7	в том что	8	25
8	не может быть	2	24
9	вместе с тем	1	23
10	тем не менее	2	23
11	точно так же	3	22
12	о том что	6	22
13	мы имеем в	1	19
14	не только в	2	19
15	в ином мире	1	17
16	в связи с	2	17
17	о том как	1	15
18	в данном случае	2	15
19	по отношению к	3	14
20	не что иное	1	11
21	что иное как	1	11
22	как и в	2	10
23	можно было бы	1	10
24	же как и	1	9
25	то же самое	1	8
26	таким образом и	1	8
27	на этот вопрос	2	8
28	что у него	2	8
29	еще не все	1	8
30	дело не в	1	7
31	то что в	1	7
32	во всяком случае	2	7
33	что он не	1	7
34	так например в	1	7
35	на первый взгляд	1	7
36	и в других	1	6
37	к тому же	1	6
38	это значит что	1	6
39	но это не	2	6
40	т д все	1	6
41	все же не	1	6
42	с самого начала	3	6
43	том что в	3	5
44	в отличие от	2	5
45	со всех сторон	1	5
46	мы видим в	1	5
47	в нем и	1	5
48	в том числе	1	5
49	т д и	1	5
50	другой стороны и	1	5
51	в другом месте	1	5
52	так и в	2	5
53	т д в	1	5
54	на самом деле	2	5
55	соответствии с этим	1	4
56	влечет за собой	2	4
57	он живет в	1	4
58	в этой связи	2	4
59	только то что	1	4
60	в одной из	4	4
61	не означает что	2	4
62	но уже в	1	4
63	это еще не	1	4
64	он не может	1	4
65	друг на друга	1	4
66	по себе не	1	4
67	и тем не	1	4
68	нам кажется что	1	4
69	о том чтобы	1	4
70	сами по себе	2	4
71	в свою противоположность	2	4
72	можно сказать что	2	4
73	это и есть	1	4
74	как один из	1	3
75	не только с	1	3
76	к тому что	1	3
77	это своего рода	1	3
78	в одном из	2	3
79	за то что	1	3
80	тесно связан с	1	3
81	дело в том	4	3
82	мы уже говорили	2	3
83	потому что я	1	3
84	у него есть	1	3
85	дело не только	1	3
86	целый ряд других	1	3
87	в соответствии с	7	3
88	то ни было	1	3
89	между человеком и	1	3
90	бы то ни	1	3
91	в третий раз	1	3
92	в й главе	1	3
93	одном из вариантов	1	3
94	еще ничего не	1	3
95	а может быть	2	2
96	это не значит	2	2
97	может быть назван	2	2
98	по себе а	1	2
99	а тем самым	1	2
100	и т п	4	2
101	в прямом смысле	1	2
102	в самом деле	2	2
103	но в таком	1	2
104	в частности в	1	2
105	в таком случае	2	2
106	ничего общего с	1	2
107	но это еще	1	2
108	том числе и	1	2
109	т д такое	1	2
110	если не считать	2	2
111	и др мы	1	2
112	означало бы что	1	2
113	то и другое	1	2
114	это означало бы	1	2
115	самом же деле	1	2
116	то это означало	2	2
117	на самом же	1	2
118	но даже в	1	2
119	и потому что	1	2
120	этот вопрос не	1	2
121	но в целом	1	2
122	может быть в	1	2
123	но все это	1	2
124	такой же как	1	2
125	известно что в	1	2
126	в виду что	1	2
127	если он не	1	2
128	не могут быть	2	2
129	это уже не	2	2
130	это одна из	1	2
