1	в то же	5	9
2	для того чтобы	78	7
3	в зависимости от	22	7
4	то же время	3	7
5	того или иного	3	5
6	мы никогда не	5	5
7	и то же	12	5
8	одно и то	12	5
9	с точки зрения	89	5
10	и т.д и	6	5
11	той или иной	8	4
12	прежде всего в	5	4
13	заключает в себе	6	4
14	с самого начала	36	4
15	ту или иную	2	4
16	одной и той	15	4
17	то же самое	31	4
18	в свою очередь	14	4
19	обратное влияние на	1	4
20	то что мы	6	4
21	и той же	15	4
22	в этом случае	27	3
23	как мы уже	11	3
24	на самом деле	9	3
25	во всех своих	1	3
26	не только в	5	3
27	во внутренней речи	31	3
28	но и в	4	3
29	но для того	3	3
30	но все же	5	3
31	внутренней и внешней	1	3
32	мы уже видели	2	3
33	которое может быть	1	3
34	в конце концов	5	3
35	тех или иных	3	3
36	и т.п и	1	3
37	как мы видели	17	3
38	в той же	5	3
39	которые связаны с	1	3
40	в общественной жизни	1	3
41	как бы в	2	3
42	и тем самым	19	3
43	что мы называем	1	3
44	одном и том	6	2
45	и тем же	6	2
46	и вследствие этого	1	2
47	и на его	1	2
48	но об этом	1	2
49	слов и их	4	2
50	мы видим что	4	2
51	одни и те	4	2
52	и в основе	1	2
53	и те же	4	2
54	внутренней речи и	12	2
55	и том же	6	2
56	зависимости от того	2	2
57	может быть понято	2	2
58	вместе с тем	26	2
59	само собой разумеется	2	2
60	и в то	1	2
61	и внутренняя речь	2	2
62	в тех случаях	4	2
63	по отношению к	42	2
64	тот или иной	2	2
65	и как бы	5	2
66	мы видели что	14	2
67	смысле этого слова	22	2
68	и в области	2	2
69	приходится иметь дело	1	2
70	мы не знаем	2	2
71	мы не имеем	2	2
72	в самом деле	19	2
73	и внешней речью	1	2
74	такие слова как	1	2
75	о том что	25	2
76	есть не что	4	2
77	и содержание и	1	2
78	мы будем говорить	2	2
79	в этом отношении	30	2
80	не было бы	1	2
81	можно сказать что	21	2
82	в сознании человека	1	2
83	только потому что	5	2
84	что иное как	6	2
85	в связи с	17	2
86	та же самая	3	2
87	это само собой	1	2
88	же самое время	3	2
89	все то что	1	2
90	в точном смысле	1	2
91	тех случаях когда	4	2
92	мы увидим что	4	2
93	равно как и	1	2
94	больше и больше	5	2
95	что перед нами	6	2
96	отношения к нему	1	2
97	не что иное	6	2
98	его внутренней речи	2	2
99	мы можем не	1	2
100	должны были бы	4	2
101	мы имели в	2	2
102	возникновения и развития	2	2
103	содержание и форму	1	2
104	связи с этим	3	2
105	все больше и	5	2
106	может показаться что	1	2
107	и т.п но	2	2
108	того что оно	3	2
109	но при этом	3	2
110	к тому что	22	2
111	чуть ли не	1	2
112	в действительной жизни	2	2
113	с тем и	7	2
114	или хотя бы	2	2
115	в так называемой	1	2
116	имели в виду	2	2
117	и ту же	5	2
118	как мы увидим	5	2
119	не может быть	23	2
120	то же слово	4	2
121	и не только	2	2
122	одну и ту	4	2
123	в значительной степени	4	2
124	мы должны были	5	1
125	тем самым не	1	1
126	сказать что всякое	1	1
127	двух точек зрения	1	1
128	внутренней речи если	2	1
129	всех своих частях	1	1
130	о которой мы	3	1
131	не иначе как	10	1
132	языка и поэтому	1	1
133	одному и тому	7	1
134	все же должно	1	1
135	если он говорит	1	1
136	нам нужно было	2	1
137	и уже в	1	1
138	что представляет собой	5	1
139	она должна была	1	1
140	по крайней мере	1	1
141	что мы в	2	1
142	не связанных между	2	1
143	мы должны будем	4	1
144	так и по	4	1
145	что при этом	1	1
146	от внешнего мира	1	1
147	мы имеем в	3	1
148	не совсем так	1	1
149	которой мы встречаемся	1	1
150	те слова которые	1	1
151	происходит потому что	1	1
152	что же является	1	1
153	или иными предметами	1	1
154	это мы должны	1	1
155	того времени когда	1	1
156	и все же	2	1
157	свое выражение в	8	1
158	если б мы	1	1
159	от действительности как	1	1
160	мы прибегли к	2	1
161	тот же самый	2	1
162	играет решающую роль	2	1
163	так как нам	1	1
164	еще раз что	1	1
165	по сравнению с	45	1
166	как только мы	1	1
167	можем подвести некоторые	1	1
168	и является одной	1	1
169	являются как бы	3	1
170	и тем более	4	1
171	не мешает нам	1	1
172	как по отношению	1	1
173	в жизни и	1	1
174	мы говорили что	3	1
175	с другими людьми	1	1
176	но то что	3	1
177	независимо от развития	1	1
178	только благодаря тому	1	1
179	уже видели что	2	1
180	их точки зрения	1	1
181	а с помощью	1	1
182	вовсе и не	1	1
183	благодаря тому что	7	1
184	говорит один из	2	1
185	только одна из	1	1
186	находит свое отражение	1	1
187	остановимся только на	2	1
188	так как в	5	1
189	всего того что	1	1
190	определенное значение он	1	1
191	речи но все	2	1
192	в последнем счете	1	1
193	во второй стадии	1	1
194	то явление которое	1	1
195	не говоря уже	1	1
196	в их глазах	1	1
