N	4gram	Bakhtin_Pr	Formalny
1	в то же время	8	20
2	и не может быть	5	7
3	и в то же	3	6
4	все более и более	1	4
5	нет и не может	3	4
6	на самом же деле	2	3
7	мы уже знаем что	1	3
8	один и тот же	1	3
9	в том числе и	13	3
10	но в то же	3	3
11	чтобы убедиться в этом	1	3
12	не может войти в	1	2
13	и до сих пор	2	2
14	как если бы оно	1	2
15	до сих пор недостаточно	1	2
16	если бы оно было	1	2
17	с точки зрения своей	1	2
18	одним и тем же	1	2
19	очень важное место в	1	2
20	мы имеем в виду	3	2
21	и с точки зрения	1	2
22	убедиться в этом достаточно	1	2
23	в этом отношении очень	1	2
24	в более или менее	1	1
25	но тем не менее	1	1
26	с нашей точки зрения	1	1
27	по отношению к этой	2	1
28	не что иное как	1	1
29	только содержание но и	1	1
30	в этом романе и	1	1
31	одно и то же	1	1
32	мы можем сказать что	1	1
33	большей или меньшей степени	5	1
34	в этом смысле можно	1	1
35	не с точки зрения	1	1
36	до сих пор почти	2	1
37	и все в нем	1	1
38	к одной и той	1	1
39	свести концы с концами	1	1
40	дело в том что	2	1
41	в большей или меньшей	5	1
42	в одной плоскости с	1	1
43	мы еще вернемся в	2	1
44	мы говорили в предыдущей	1	1
45	мы не касаемся здесь	1	1
46	мы уже говорили что	1	1
47	не может быть никаких	2	1
48	может быть даже и	1	1
49	но и помимо этого	1	1
50	то что он не	1	1
51	одной и той же	1	1
52	говорили в предыдущей главе	1	1
53	мы уже указывали на	1	1
54	увидеть и показать такие	1	1
55	ее и до сих	1	1
56	в собственном смысле слова	1	1
57	в применении к литературе	1	1
58	положениях и в некоторых	1	1
59	жизни в связи с	1	1
60	не чем иным как	1	1
61	или во всяком случае	1	1
62	в этом смысле и	1	1
63	сами по себе лишены	1	1
64	но в таком случае	1	1
65	дистанцию по отношению к	1	1
66	мы ни на один	1	1
67	общественной и идеологической жизни	1	1
68	с другой стороны и	1	1
69	что он не есть	1	1
70	которые сами по себе	1	1
71	как раз и не	1	1
72	и в конце концов	1	1
73	моментом которого оно является	1	1
74	как и во всех	1	1
75	по мере того как	1	1
76	совпадает с самим собою	1	1
77	есть не что иное	1	1
