N	4gram	Trubetskoy	Formalny
1	в то же время	2	20
2	бы то ни было	2	7
3	и в то же	1	6
4	все более и более	1	4
5	вместе с тем и	1	3
6	один и тот же	1	3
7	в том числе и	4	3
8	во всяком случае в	1	3
9	но в то же	1	3
10	с этой точки зрения	2	2
11	мы имеем в виду	1	2
12	и в этом отношении	1	2
13	не в том что	1	2
14	в том или ином	1	2
15	с другой стороны сами	1	1
16	но тем не менее	1	1
17	с нашей точки зрения	1	1
18	и сами по себе	1	1
19	нет никаких указаний на	1	1
20	в том что они	1	1
21	в общем можно сказать	1	1
22	а вместе с тем	1	1
23	именно в эту сторону	1	1
24	во всяком случае с	1	1
25	а с точки зрения	1	1
26	между формой и содержанием	1	1
27	одного и того же	1	1
28	с тем что в	1	1
29	что так или иначе	1	1
30	друг с другом не	1	1
31	но вместе с тем	2	1
32	все что мы знаем	1	1
