N	2gram	Tiupa_Disk	Narrotol
1	не только	36	62
2	и не	25	50
3	при этом	22	47
4	но и	22	45
5	а не	35	38
6	в качестве	45	35
7	в частности	18	31
8	может быть	29	30
9	и в	27	30
10	в том	29	29
11	в этом	29	28
12	тогда как	28	28
13	своего рода	15	28
14	том что	27	28
15	а в	5	27
16	такого рода	11	26
17	с собачкой	2	25
18	представляет собой	24	25
19	только в	9	25
20	состоит в	20	25
21	в данном	9	24
22	как и	27	24
23	не в	8	23
24	то что	10	23
25	то есть	29	22
26	в тексте	5	22
27	не может	17	20
28	в рассказе	6	18
29	в себе	22	17
30	данном случае	6	17
31	так и	14	17
32	а также	15	17
33	со стороны	17	16
34	в его	9	16
35	к тому	6	15
36	можно сказать	7	15
37	и т.п	18	15
38	но в	15	15
39	иначе говоря	5	15
40	в жизни	2	14
41	картина мира	7	14
42	и его	4	14
43	то же	12	13
44	в своей	10	13
45	уже не	7	13
46	о том	12	13
47	в своем	11	13
48	времени и	5	13
49	все же	8	12
50	на протяжении	2	12
51	картины мира	8	12
52	сводится к	7	12
53	как в	16	12
54	перед нами	4	12
55	как бы	9	12
56	прежде всего	17	12
57	даме с	1	11
58	по отношению	13	11
59	об этом	3	11
60	к себе	2	11
61	хотя и	3	11
62	картиной мира	1	11
63	в мире	9	11
64	если бы	1	11
65	и тем	2	11
66	в этой	5	11
67	в нем	16	11
68	героя в	6	11
69	жизни в	4	11
70	в отличие	13	11
71	отличие от	13	11
72	тем самым	6	11
73	отношению к	13	11
74	один из	3	10
75	нарративного дискурса	4	10
76	как правило	5	10
77	никогда не	3	10
78	тому же	5	10
79	точки зрения	6	10
80	всего лишь	1	10
81	между тем	5	10
82	как это	2	10
83	в то	8	10
84	события рассказывания	4	10
85	и все	5	10
86	не является	5	10
87	жизни и	2	10
88	с его	9	10
89	ничего не	1	10
90	того что	4	10
91	коммуникативного события	19	10
92	но не	17	10
93	и т.д	5	10
94	в соответствии	4	9
95	как раз	1	9
96	тем не	1	9
