N	3gram	Savitsky_P	FransuaR
1	то же время	7	55
2	в то же	7	55
3	в том что	4	27
4	в том числе	2	27
5	в большинстве случаев	1	22
6	с точки зрения	3	20
7	но в то	1	20
8	для того чтобы	1	17
9	том числе и	1	17
10	но и в	2	15
11	не может быть	1	13
12	с одной стороны	3	13
13	и в то	2	12
14	с другой стороны	1	12
15	в отличие от	1	11
16	не только в	4	10
17	в эту эпоху	1	9
18	более или менее	1	8
19	в настоящее время	1	7
20	в отрыве от	1	7
21	в значительной мере	2	7
22	в xix веке	1	6
23	за то что	1	6
24	одной стороны и	2	5
25	в применении к	1	5
26	друг с другом	1	5
27	по сравнению с	1	5
28	и в частности	1	5
29	во всяком случае	1	5
30	все это в	1	5
31	в последующие века	1	5
32	том что в	1	4
33	в собственном смысле	1	4
34	так же как	1	4
35	и то что	1	4
36	и не может	1	4
37	же время в	1	4
38	можно говорить о	1	3
39	вместе с тем	1	3
40	большей степени чем	1	3
41	в этом смысле	1	3
42	именно потому что	1	3
43	и в этом	1	3
44	там где он	1	3
45	заключается в том	2	3
46	в ней и	1	3
47	но в общем	1	3
48	бы оно ни	1	3
49	о котором говорит	1	2
50	но также и	1	2
51	далеко не все	1	2
52	одно из важнейших	1	2
53	в нем в	1	2
54	с того света	1	2
55	в основном и	1	2
56	касается не только	1	2
57	в полной мере	2	2
58	и как раз	2	2
59	что уже в	1	2
60	было бы неправильно	1	2
61	в различных формах	1	2
62	мы знаем что	1	2
63	и не только	2	2
64	только в ее	1	2
65	прежде всего мы	1	2
66	в известном смысле	1	2
67	более широкой и	1	2
68	что дело идет	1	2
69	же в этой	1	2
70	настоящее время в	1	2
71	мы не будем	1	2
72	главным образом на	1	2
73	и вот как	1	1
74	полноте и чистоте	1	1
75	имеет не только	2	1
76	к первой половине	1	1
77	хотя бы и	1	1
78	начала и конца	1	1
79	совершенно ясно что	1	1
80	на библейские темы	1	1
81	но и другие	1	1
82	и тем самым	1	1
83	не в отрыве	1	1
84	хотя и менее	1	1
85	и пр в	1	1
86	что с точки	1	1
87	выходцы с того	1	1
88	одна из важнейших	1	1
89	чуть ли не	1	1
90	мы видим в	1	1
91	и потому в	2	1
92	в области отношения	1	1
93	гораздо большей степени	4	1
94	тем более что	1	1
95	и есть в	1	1
96	и философской мысли	1	1
97	в этом мире	1	1
98	тех кто не	1	1
99	многие из тех	1	1
100	с тем чтобы	1	1
101	св георгия в	1	1
102	та или иная	1	1
103	что в этом	1	1
104	и наряду с	1	1
105	нет ничего более	1	1
106	потому что по	1	1
107	к xv веку	1	1
108	как она есть	1	1
109	и не менее	1	1
110	есть как бы	1	1
111	в противоречии с	1	1
112	только в условиях	1	1
113	в борьбе с	1	1
114	она должна была	1	1
115	не в том	1	1
116	половины xix века	1	1
117	области отношения к	1	1
118	и тех кто	1	1
119	и будущее в	1	1
120	сами по себе	3	1
121	и если бы	2	1
122	само по себе	1	1
123	если бы мы	1	1
124	не может исчезнуть	1	1
125	с величайшим трудом	1	1
126	хотя и без	1	1
127	в частности в	1	1
128	и не столько	1	1
129	в области политической	1	1
130	дело идет именно	1	1
131	в этой перспективе	1	1
132	или хотя бы	1	1
133	можно судить по	1	1
134	между тем в	1	1
135	тот же период	1	1
136	и еще в	1	1
137	и в формах	1	1
138	и теперь в	1	1
139	почти исключительно на	1	1
140	в отношении к	5	1
141	она не только	1	1
142	не будем касаться	1	1
143	будущее в свете	1	1
144	есть прежде всего	1	1
145	в гораздо большей	4	1
146	не только как	1	1
147	в области архитектуры	1	1
