N	2gram	Vinokur_Ku	VelikijI
1	и не	23	20
2	и в	44	16
3	так как	16	9
4	то что	14	9
5	в истории	3	8
6	еще не	10	8
7	и потому	6	7
8	что они	5	7
9	а не	17	7
10	не есть	4	6
11	что есть	1	5
12	хотя и	7	5
13	того что	11	5
14	все это	10	5
15	по пути	2	5
16	как бы	11	5
17	на себя	3	5
18	но и	13	5
19	все что	1	4
20	в котором	4	4
21	в этом	31	4
22	что мы	6	4
23	потому что	40	4
24	в его	16	4
25	в ней	6	4
26	так и	10	4
27	это еще	1	4
28	говорить о	5	4
29	они будут	1	4
30	и есть	3	4
31	и все	4	4
32	что не	10	4
33	что все	6	4
34	как и	3	4
35	что он	7	4
36	в силах	2	4
37	в нем	7	4
38	во всех	1	3
39	что в	25	3
40	нет ничего	1	3
41	бы и	6	3
42	и против	2	3
43	из первого	1	3
44	и мы	2	3
45	не нужна	1	3
46	то это	3	3
47	в конце	5	3
48	должно быть	6	3
49	в первый	2	3
50	если не	4	3
51	хотя бы	19	3
52	в том	47	3
53	любовь к	2	3
54	тому что	3	3
55	от которого	1	3
56	не в	18	3
57	его во	1	3
58	и что	11	3
59	что и	5	3
60	ни в	3	3
61	превращается в	4	3
62	в этих	5	3
63	в них	10	3
64	оно не	5	3
65	не было	6	3
66	лишь в	6	3
67	к чему	1	3
68	в средство	1	3
69	в жизни	1	3
70	что я	4	3
71	как не	4	3
72	их в	1	3
73	в своей	4	3
74	должна быть	6	3
75	с его	4	3
76	от этого	4	3
77	не имеет	6	3
78	но это	4	3
79	и для	3	3
80	жизни и	1	3
81	в чем	2	3
82	все эти	17	3
83	тот же	7	3
84	отвращение к	1	3
85	но в	11	3
86	к тому	8	3
87	за то	1	3
88	никогда не	2	3
89	чтобы сделать	1	2
90	что было	2	2
91	всего в	2	2
92	государства и	1	2
93	под конец	1	2
94	во всяком	8	2
95	его и	1	2
96	что теперь	2	2
97	материалом для	2	2
98	уже на	3	2
99	что от	1	2
100	один из	8	2
101	превращаются в	1	2
102	мы и	1	2
103	в последнем	2	2
104	они и	1	2
105	самого себя	1	2
106	которые не	1	2
107	более чем	1	2
108	на том	4	2
109	чтобы овладеть	1	2
110	его не	1	2
111	не так	2	2
112	того чтобы	25	2
113	это не	13	2
114	это все	2	2
115	вместо того	1	2
116	между тем	11	2
117	не только	29	2
118	для него	2	2
119	вот почему	1	2
120	не любят	1	2
121	и тогда	4	2
122	с ним	5	2
123	на этих	1	2
124	не будет	1	2
125	ее в	2	2
126	для нас	6	2
127	и то	7	2
128	не с	4	2
129	на нас	1	2
130	прежде всего	14	2
131	для них	2	2
132	можно было	14	2
133	так не	1	2
134	в форме	3	2
135	вслед за	1	2
136	и это	3	2
137	мы не	1	2
138	конечно не	3	2
139	нет еще	1	2
140	и теперь	1	2
141	только в	15	2
142	все равно	4	2
143	а с	3	2
144	под этим	2	2
145	те которые	1	2
146	а в	7	2
147	до того	2	2
148	можешь и	1	2
149	в духе	3	2
150	не хотел	1	2
