N	3gram	Bakhtin_Fr	VelikijI
1	за то что	2	3
2	в первый раз	2	3
3	в том что	2	2
4	в вопросе о	1	2
5	бы и не	1	2
6	вместо того чтобы	1	2
7	но и в	4	2
8	так и в	1	1
9	и до того	1	1
10	но к счастью	1	1
11	не имеет никакой	1	1
12	и в духе	1	1
13	в конце концов	3	1
14	но прежде всего	1	1
15	свою роль в	2	1
16	и вместе с	1	1
17	мы видим что	2	1
18	его связь с	3	1
19	в истории и	1	1
20	есть то что	1	1
21	это одна из	1	1
22	по сравнению с	2	1
23	как и в	2	1
24	хотя бы и	1	1
25	смысл жизни и	1	1
26	в одном образе	1	1
27	в мире и	1	1
28	и если за	1	1
29	и не было	2	1
30	но все же	2	1
31	с другой стороны	5	1
32	бы то ни	1	1
33	раз и навсегда	1	1
34	все что было	1	1
35	и вообще в	2	1
36	после того как	1	1
37	и в этом	1	1
38	так как она	1	1
