N	2gram	Tiupa_Anal	VeschiIm
1	не есть	8	79
2	и не	33	57
3	не только	30	48
4	то что	11	48
5	не может	26	46
6	и в	30	45
7	вещи и	1	40
8	и есть	3	40
9	и т	3	39
10	может быть	33	39
11	а не	25	37
12	что я	1	26
13	потому что	3	25
14	не просто	2	24
15	было бы	4	24
16	только в	8	23
17	по себе	6	23
18	что она	1	23
19	в себе	17	23
20	сказать что	2	22
21	и что	2	22
22	как бы	15	20
23	что это	1	19
24	что же	3	19
25	но и	29	19
26	и ее	1	19
27	в этом	31	18
28	все же	4	18
29	так как	3	17
30	что мы	3	17
31	прежде всего	8	17
32	есть не	9	17
33	таким образом	5	16
34	вещи но	1	16
35	оно есть	1	16
36	того что	5	16
37	как раз	5	16
38	как и	23	15
39	уже не	6	15
40	в том	36	15
41	в ней	1	15
42	но это	1	14
43	и то	4	14
44	не в	17	14
45	в самом	12	13
46	не будет	3	13
47	том что	21	13
48	и больше	2	13
49	и для	3	13
50	а и	1	13
51	в себя	8	13
52	то ни	3	13
53	что в	7	12
54	и с	2	12
55	бы то	3	12
56	то же	12	12
57	и даже	10	12
58	в вещи	1	12
59	есть нечто	1	12
60	о том	11	12
61	еще не	5	12
62	не что	5	12
63	точки зрения	10	12
64	но если	1	12
65	она есть	2	12
66	ничего не	10	12
67	что иное	6	12
68	ни было	4	12
69	не значит	1	12
70	совершенно не	2	12
71	что и	5	12
72	между собою	1	12
73	и как	6	12
74	смысл и	3	12
75	иное как	6	12
76	и их	2	11
77	содержит в	3	11
78	не менее	5	11
79	себя в	8	11
80	еще и	1	11
81	тем не	3	11
82	ни в	5	11
83	что не	3	11
84	вовсе не	4	11
85	предполагает что	1	11
86	также и	3	11
87	в то	10	11
88	и только	1	11
89	по крайней	4	10
90	в чем	2	10
91	крайней мере	4	10
92	что оно	1	10
93	с ее	2	10
94	я и	8	9
95	с ним	6	9
96	в результате	3	9
97	со стороны	5	9
98	бы и	1	9
99	то и	2	9
100	хотя бы	4	9
101	нисколько не	1	9
102	говорить о	3	9
103	в своем	2	9
104	ни с	5	9
105	должно быть	2	9
106	это не	7	9
107	у нас	1	9
108	бы в	3	9
109	если оно	1	9
110	так что	3	9
111	но не	13	9
112	на то	2	9
113	и его	9	9
114	как с	1	8
115	должна быть	1	8
116	если бы	6	8
117	смысла и	3	8
118	с тем	1	8
119	что он	3	8
120	себя и	5	8
121	отличается от	3	8
122	но в	11	8
123	тут не	1	8
124	мы не	1	8
125	мы имеем	9	8
126	для него	5	8
127	в ее	2	8
128	все это	2	8
129	со своим	4	8
130	с другими	4	8
131	в отношении	2	8
132	его в	2	8
133	указывает на	1	8
134	только и	1	8
135	и потому	2	8
136	не с	8	8
137	даже не	2	8
138	с другой	7	8
139	можно сказать	6	8
140	отнюдь не	22	8
141	есть вещь	2	7
142	с этой	2	7
143	в сущности	10	7
144	оно не	1	7
145	самом деле	3	7
146	вещь в	1	7
147	все эти	3	7
148	тем что	2	7
149	ни на	1	7
150	в действительности	2	7
151	и тогда	3	7
152	никак не	2	7
153	если вещь	1	7
154	или не	2	7
155	вообще не	2	7
156	сама по	1	7
157	я не	2	7
158	вещь но	1	7
159	и тем	4	7
160	а в	11	7
161	из них	2	7
162	с чем	1	7
163	в той	8	6
164	для себя	3	6
165	в разных	1	6
166	есть сама	1	6
167	их в	1	6
168	в своей	7	6
169	в каком	1	6
170	в данном	6	6
171	из себя	1	6
172	в одном	3	6
173	вообще но	1	6
174	и до	3	6
175	как я	1	6
176	одна из	1	6
177	вопрос о	2	6
178	несмотря на	5	6
179	с точки	6	6
180	все равно	2	6
181	или иначе	2	6
182	быть только	1	6
183	и другое	1	6
184	между ними	1	6
185	в нем	3	6
186	так или	1	6
187	определенным образом	2	6
188	одно и	2	6
189	можно было	1	6
190	этот вопрос	1	6
191	вещи или	1	6
192	как мы	3	6
193	бытия и	2	6
194	жизни и	1	6
195	тех или	3	6
196	независимо от	2	6
197	ведь и	1	6
198	и все	5	6
199	никогда не	4	6
200	она сама	1	5
201	все что	3	5
202	как это	5	5
203	один из	4	5
204	на себе	3	5
205	и здесь	1	5
206	внутреннего и	2	5
207	вещей но	1	5
208	как к	2	5
209	тогда когда	3	5
210	подобно тому	5	5
211	в жизни	1	5
212	как о	2	5
213	вместе с	6	5
214	да и	2	5
215	себе в	2	5
216	в свою	1	5
217	и если	2	5
218	быть не	3	5
219	свою очередь	1	5
220	вообще и	2	5
221	нет и	2	5
222	того же	7	5
223	только не	6	5
224	во всех	5	5
225	мы видим	1	5
226	в его	15	5
227	хотя и	4	5
228	мы находим	1	5
229	знания и	1	5
230	в которой	3	5
231	на себя	5	5
232	в понятии	1	5
233	как она	1	5
234	по смыслу	1	5
235	между прочим	1	5
236	об этом	1	5
237	должен быть	6	5
238	действительности и	1	5
239	тому как	5	5
240	мы должны	2	5
241	быть и	1	5
242	есть всегда	1	5
243	то или	1	5
244	собственно говоря	6	5
245	требует чтобы	1	5
246	на это	2	5
247	что для	1	5
248	для этого	2	5
249	в особенности	1	4
250	и от	1	4
251	не мешает	1	4
252	собственном смысле	1	4
253	существования и	2	4
254	или других	1	4
255	еще более	1	4
256	с самим	3	4
257	сам по	1	4
258	говорит о	5	4
259	сводится к	6	4
260	более или	2	4
261	этой точки	2	4
262	равно как	1	4
263	есть в	4	4
264	его на	1	4
265	с ними	2	4
266	том как	1	4
267	во всяком	1	4
268	его и	3	4
269	реальности и	2	4
270	в основе	6	4
271	и более	5	4
272	в котором	5	4
273	того чтобы	3	4
274	но то	1	4
275	явления и	1	4
276	обойтись без	1	4
277	только тогда	1	4
278	об отношении	1	4
279	вы говорите	1	4
280	отношении к	1	4
281	же время	7	4
282	так же	1	4
283	при помощи	2	4
284	она может	3	4
285	на него	3	4
286	что все	2	4
287	что именно	2	4
288	тут же	2	4
289	тот же	2	4
290	то в	2	4
291	может не	2	4
292	к себе	1	4
293	в качестве	38	4
294	себя самого	2	4
295	так и	16	4
296	же не	3	4
297	в их	8	4
298	есть уже	1	4
299	однако не	4	4
300	и эта	1	4
301	в конце	4	4
302	и вещь	2	4
303	не предполагает	2	4
304	или менее	2	4
305	на этом	4	4
306	не было	1	4
307	она должна	1	4
308	я должен	1	4
309	дело не	5	4
310	он не	4	4
311	оно и	1	4
312	в силу	4	4
313	веры в	1	4
314	и сам	4	4
315	по своей	6	4
316	в этой	12	4
317	отношение к	2	4
318	и о	3	4
319	ничего иного	2	3
320	только что	1	3
321	можно и	1	3
322	на ее	1	3
323	была бы	4	3
324	а вот	1	3
325	случае не	2	3
326	что то	1	3
327	из которых	4	3
328	существенно для	1	3
329	из того	5	3
330	вещь может	2	3
331	другой стороны	2	3
332	быть может	2	3
333	себе не	2	3
334	в своих	1	3
335	сами по	3	3
336	если не	2	3
337	но все	1	3
338	ни о	3	3
339	заключается в	2	3
340	себя как	1	3
341	если он	1	3
342	отношения к	4	3
343	в собственном	3	3
344	как личность	2	3
345	как в	3	3
346	жизни в	1	3
347	не имеет	1	3
348	к тому	12	3
349	перед нами	1	3
350	понимание и	1	3
351	не является	3	3
352	было в	1	3
353	применении к	1	3
354	оба эти	1	3
355	принципиально не	3	3
356	одной стороны	6	3
357	отрыве от	2	3
358	у меня	1	3
359	из его	2	3
360	только один	1	3
361	только на	3	3
362	и выражение	1	3
363	превращается в	3	3
364	а только	1	3
365	что ее	1	3
366	есть она	1	3
367	то зачем	1	3
368	тогда как	30	3
369	и во	3	3
370	не все	3	3
371	только с	2	3
372	казалось бы	2	3
373	неотделимо от	2	3
374	нельзя сказать	1	3
375	не мог	3	3
376	вопроса о	4	3
377	в самой	1	3
378	или другой	1	3
379	в другом	4	3
380	к нему	4	3
381	но когда	1	3
382	что раз	1	3
383	свидетельствует о	4	3
384	не можем	1	3
385	с одной	7	3
386	при переходе	1	3
387	имеем дело	7	3
388	ее нет	1	3
389	это именно	2	3
390	как нечто	1	3
391	у него	5	3
392	в виде	1	3
393	всех прочих	2	3
394	но он	1	3
395	или в	2	3
396	быть ни	1	3
397	не говорит	2	3
398	по существу	1	3
399	чтобы быть	1	3
400	же оно	1	3
401	к личности	1	3
402	а так	1	3
403	тем более	2	3
404	иного как	2	3
405	той или	8	3
406	этих двух	1	3
407	но как	1	3
408	и эти	2	3
409	а с	3	3
410	от бытия	1	3
411	мы уже	2	3
412	с какой	1	3
413	и может	1	3
414	в частности	32	3
415	в науке	1	3
416	для человека	2	3
417	к ее	1	3
418	стало быть	2	3
419	что из	2	3
420	человека и	1	3
421	для того	4	3
422	могла бы	3	3
423	а тем	1	3
424	в отрыве	2	3
425	я в	5	3
426	однако в	4	3
427	или о	1	3
428	мы будем	1	3
429	все еще	1	3
430	из этого	2	3
431	бы ни	2	3
432	оно может	3	3
433	может и	2	3
434	бы я	1	3
435	в целом	9	3
436	не к	3	3
437	к другому	1	3
438	а я	1	3
439	во всем	1	2
440	и к	5	2
441	от нее	1	2
442	не так	3	2
443	к действительности	1	2
444	утверждать что	1	2
445	является в	1	2
446	во втором	1	2
447	и уже	1	2
448	логического анализа	2	2
449	еще раз	1	2
450	и мира	1	2
451	и на	10	2
452	же и	1	2
453	то есть	19	2
454	связан с	1	2
455	или иных	3	2
456	или по	1	2
457	в применении	1	2
458	тому что	2	2
459	реальной жизни	1	2
460	действительность но	1	2
461	о чем	3	2
462	не как	2	2
463	а затем	3	2
464	поэтому в	1	2
465	и внешнего	2	2
466	в последние	1	2
467	одно из	2	2
468	в связи	2	2
469	до всякого	1	2
470	не столько	5	2
471	его от	3	2
472	становится на	1	2
473	с собой	1	2
474	конечно и	1	2
475	отличаются от	1	2
476	функции и	1	2
477	в первом	3	2
478	есть лишь	1	2
479	в столь	2	2
480	тьмы и	1	2
481	по природе	4	2
482	явлений в	1	2
483	именно в	6	2
484	исходить из	1	2
485	том или	4	2
486	тем самым	9	2
487	в в	1	2
488	как не	1	2
489	к его	3	2
490	быть понято	1	2
491	приводит к	2	2
492	почти все	1	2
493	о котором	1	2
494	ее смысла	1	2
495	которую я	1	2
496	свое время	3	2
497	только одно	2	2
498	говорится о	1	2
499	нет ничего	2	2
500	и того	5	2
501	нам не	2	2
502	было и	1	2
503	то он	3	2
504	с данной	1	2
505	на этой	2	2
506	своей собственной	2	2
507	личность а	1	2
508	прочим и	1	2
509	будучи в	1	2
510	ничто не	2	2
511	на основе	3	2
512	только мы	1	2
513	и уж	1	2
514	это только	2	2
515	раз она	1	2
516	для нее	2	2
517	но о	3	2
518	со всей	1	2
519	и внешнее	1	2
520	язык есть	2	2
521	смысл в	1	2
522	себе и	1	2
523	не обязательно	1	2
524	не вполне	2	2
525	еще один	1	2
526	не я	1	2
527	может ли	2	2
528	переход от	1	2
529	на две	1	2
530	в данной	1	2
531	между собой	2	2
532	тем же	1	2
533	том чтобы	7	2
534	от смысла	1	2
535	быть в	1	2
536	то она	1	2
537	здесь не	2	2
538	таково что	1	2
539	с его	3	2
540	вещи ибо	1	2
541	он сам	1	2
542	моментов а	1	2
543	к этому	2	2
544	друг с	2	2
545	время была	1	2
546	всяком случае	1	2
547	к этим	1	2
548	точку зрения	1	2
549	моментов в	1	2
550	смысла есть	4	2
551	едва ли	4	2
552	постановки вопроса	1	2
553	меня не	1	2
554	той же	4	2
555	зачем же	2	2
556	и такой	1	2
557	в свое	3	2
558	есть выражение	1	2
559	ее и	1	2
560	но на	1	2
561	по преимуществу	4	2
562	смысле что	1	2
563	она и	1	2
564	основе своей	2	2
565	данном случае	3	2
566	на вопрос	5	2
567	первом случае	2	2
568	зависит от	1	2
569	уже в	1	2
570	есть у	1	2
571	в состоянии	1	2
572	получает в	1	2
573	под собой	1	2
574	есть его	1	2
575	языка как	1	2
576	для всего	1	2
577	к истории	1	2
578	этом отношении	5	2
579	он и	3	2
580	для нас	1	2
581	сознания и	1	2
582	слово в	1	2
583	когда же	1	2
584	и сознания	1	2
585	затем и	1	2
586	связи с	2	2
587	не о	3	2
588	когда оно	1	2
589	а также	8	2
590	установки и	1	2
591	в виду	2	2
592	здравого смысла	1	2
593	в бытии	1	2
594	бытия в	1	2
595	очевидно что	1	2
596	для науки	3	2
597	понимать как	3	2
598	но ведь	1	2
599	учение о	1	2
600	нечто внутреннее	1	2
601	но я	1	2
602	помнить что	1	2
603	чего бы	1	2
604	же точно	2	2
605	когда говорится	1	2
606	на все	2	2
607	того и	5	2
