N	4gram	Bakhtin_Fr	Literetu
1	в то же время	14	21
2	с одной стороны и	1	3
3	в том числе и	3	3
4	дело в том что	4	2
5	одно и то же	1	2
6	в том что ему	1	1
7	не что иное как	1	1
8	с таким расчетом чтобы	1	1
9	только и не столько	1	1
10	и не может быть	1	1
11	и в соответствии с	1	1
12	в том что в	1	1
13	здесь как и во	2	1
14	нет и не может	1	1
15	и в то же	3	1
16	одного и того же	1	1
17	но дело в том	1	1
18	не может быть ни	1	1
19	то же время в	1	1
20	в данном случае не	1	1
21	не только и не	1	1
22	то же время она	1	1
23	и внешнее и внутреннее	2	1
24	то же время он	1	1
25	с того что у	1	1
26	в той или иной	1	1
27	но в то же	6	1
