N	2gram	Vinokur_Ku	RusskieA
1	и в	44	79
2	в том	47	64
3	том что	30	59
4	что в	25	57
5	т е	54	54
6	не только	29	41
7	а а	4	40
8	так как	16	34
9	и другие	1	33
10	в этом	31	33
11	состоит в	4	32
12	как бы	11	31
13	но и	13	31
14	в других	1	30
15	п в	3	30
16	как и	3	28
17	и на	8	28
18	может быть	25	28
19	одна из	1	24
20	о том	10	23
21	и т	62	23
22	при этом	6	22
23	т д	21	21
24	это не	13	20
25	е в	3	20
26	а в	7	20
27	как мы	2	20
28	из них	4	19
29	все это	10	18
30	с тем	5	17
31	таким образом	17	17
32	то что	14	17
33	вместе с	8	17
34	об этом	4	17
35	показывает что	1	17
36	потому что	40	17
37	во многих	3	16
38	мы не	1	16
39	будто бы	3	15
40	один из	8	15
41	в них	10	14
42	и с	11	14
43	не менее	12	14
44	тем не	10	14
45	как это	6	14
46	и что	11	14
47	мы видели	3	14
48	и не	23	14
49	для нас	6	14
50	у нас	19	14
51	в день	2	13
52	уже не	13	13
53	к этому	4	13
54	в некоторых	1	13
55	так что	5	13
56	и по	4	13
57	как в	6	13
58	в которых	8	13
59	еще не	10	13
60	не может	13	13
61	тем что	9	12
62	полагает что	1	12
63	этом случае	4	12
64	мы имеем	11	12
65	в виде	1	12
66	мы увидим	3	11
67	следующим образом	1	11
68	не имеет	6	11
69	но это	4	11
70	а на	3	11
71	далеко не	2	11
72	что на	2	11
73	все же	17	10
74	так например	3	10
75	том чтобы	9	10
76	его в	1	10
77	между тем	11	10
78	что и	5	10
79	так и	10	10
80	или в	5	10
81	а также	3	10
82	по существу	9	10
83	и других	1	10
84	то же	12	9
85	о чем	2	9
86	видно что	2	9
87	что они	5	9
88	к жизни	2	9
89	п с	1	9
90	и все	4	9
91	данном случае	2	9
92	того как	6	9
93	том же	3	9
94	но в	11	9
95	в честь	1	9
96	в русском	14	9
97	в г	3	9
98	но не	11	9
99	одно из	3	8
100	в этих	5	8
101	представление о	3	8
102	так же	8	8
103	связи с	8	8
104	на себя	3	8
105	во всех	1	8
106	что это	11	8
107	их в	1	8
108	в россии	1	8
109	того чтобы	25	8
110	как например	3	8
111	того что	11	8
112	ее в	2	8
113	в данном	8	8
114	не все	4	8
115	для того	23	8
116	же в	5	8
117	в это	3	7
118	настоящее время	2	7
119	в лес	1	7
120	в своем	4	7
121	на них	1	7
122	к нему	1	7
123	не в	18	7
124	в свете	1	7
125	а с	3	7
126	было бы	28	7
127	главным образом	3	7
128	только в	15	7
129	с этого	1	7
130	это время	1	7
131	связанные с	3	7
132	из этих	5	7
133	а не	17	7
134	н а	1	7
135	до конца	3	7
136	в настоящее	2	7
137	ничего не	6	7
138	и как	3	7
139	предположить что	2	7
140	мы должны	2	7
141	как будто	2	7
142	в эти	1	7
143	пишет в	1	7
144	для этого	6	7
145	в году	3	6
146	же как	3	6
147	к тому	8	6
148	что этот	2	6
149	не всегда	4	6
150	только на	1	6
151	но они	1	6
152	в одном	4	6
153	что она	5	6
154	после того	3	6
155	в качестве	12	6
156	чем в	3	6
157	в таком	3	6
158	тому что	3	6
159	также в	1	6
160	должно было	1	6
161	и у	3	6
162	на этом	4	6
163	многих случаях	1	6
164	после чего	2	6
165	должны были	1	6
166	в этой	8	6
167	в нем	7	6
168	должен был	1	6
169	с ними	6	6
170	приводит к	3	6
171	и более	3	6
172	что здесь	1	6
173	и пр	23	6
174	в первый	2	6
175	в их	3	6
176	все эти	17	6
177	так в	2	6
178	она не	1	6
179	и их	2	6
180	и о	3	6
181	и к	1	5
182	в разных	2	5
183	стоит в	5	5
184	некоторые другие	1	5
185	например в	5	5
186	только для	3	5
187	тогда как	2	5
188	с этим	6	5
189	вопрос о	11	5
190	рассматриваться как	1	5
191	с другой	14	5
192	связь между	1	5
193	к ним	2	5
194	как правило	2	5
195	по поводу	2	5
196	что от	1	5
197	не было	6	5
198	в связи	4	5
199	такие же	2	5
200	в целях	2	5
201	мы уже	1	5
202	или же	3	5
203	в тех	4	5
204	можно было	14	5
205	в москве	2	5
206	и др	1	5
207	чаще всего	2	5
208	там где	7	5
209	в то	4	5
210	прежде всего	14	5
211	нет никаких	1	5
212	в особенности	6	5
213	тогда когда	7	5
214	с ним	5	5
215	для них	2	5
216	что он	7	5
217	ничего общего	2	5
218	то и	4	5
219	в свою	4	5
220	к себе	4	5
221	или вообще	1	5
222	заметить что	1	5
223	но если	2	5
224	и для	3	5
225	тот же	7	5
226	в его	16	5
227	на самом	3	5
228	за этим	2	5
229	или даже	2	5
230	к вам	1	5
231	и потому	6	5
232	отнюдь не	5	5
233	не с	4	5
234	этих случаях	2	5
235	в целом	5	5
236	во всем	1	4
237	только тогда	4	4
238	можно встретить	2	4
239	кроме того	2	4
240	не столько	2	4
241	их не	1	4
242	как они	2	4
243	в своих	2	4
244	но все	5	4
245	именно в	7	4
246	всякого рода	2	4
247	во всяком	8	4
248	на этой	4	4
249	в котором	4	4
250	но эти	1	4
251	не что	2	4
252	в отличие	3	4
253	от них	1	4
254	идут в	1	4
255	не просто	7	4
256	влияние на	1	4
257	что у	3	4
258	что иное	2	4
259	несмотря на	6	4
260	не соответствует	1	4
261	как можно	2	4
262	но он	2	4
263	которое в	2	4
264	не был	2	4
265	в руки	1	4
266	здесь мы	2	4
267	тем и	1	4
268	этот вопрос	7	4
269	ко времени	1	4
270	что для	3	4
271	но есть	2	4
272	могут быть	5	4
273	и от	2	4
274	своего рода	4	4
275	и здесь	8	4
276	та же	1	4
277	бы дело	1	4
278	они и	1	4
279	если в	2	4
280	в основном	1	4
281	и при	3	4
282	не на	4	4
283	вряд ли	5	4
284	в круг	1	4
285	на основе	2	4
286	в середине	1	4
287	связанных с	2	4
288	и а	2	4
289	и там	2	4
290	переход от	4	4
291	и под	3	4
292	этого слова	8	4
293	всяком случае	8	4
294	у них	1	4
295	и после	1	4
296	уже в	5	4
297	его и	1	4
298	пишет что	1	4
299	в таких	7	4
300	такой же	1	4
301	по своему	1	4
302	в уже	1	4
303	отличие от	3	4
304	в ней	6	4
305	дело не	4	4
306	связано с	3	4
307	к тем	1	4
308	которые в	2	4
309	и тогда	4	4
310	таким же	1	4
311	иное как	3	4
312	все что	1	3
313	к другу	1	3
314	можно говорить	4	3
315	же и	4	3
316	которые не	1	3
317	некоторой степени	1	3
318	говорит о	1	3
319	в какой	7	3
320	в виду	7	3
321	связь с	1	3
322	более или	3	3
323	из самых	1	3
324	есть в	6	3
325	а именно	4	3
326	в одно	2	3
327	в природе	1	3
328	е на	1	3
329	как только	2	3
330	на первый	1	3
331	от этого	4	3
332	сразу же	1	3
333	из других	1	3
334	может рассматриваться	1	3
335	и такие	1	3
336	он был	1	3
337	пор пока	1	3
338	только как	3	3
339	увидим что	2	3
340	в различных	1	3
341	по отношению	9	3
342	и те	1	3
343	что ее	1	3
344	до того	2	3
345	свою очередь	4	3
346	и еще	4	3
347	как на	4	3
348	находится в	2	3
349	что все	6	3
350	точки зрения	25	3
351	что именно	2	3
352	именно с	3	3
353	тем это	1	3
354	для этой	2	3
355	вся эта	2	3
356	никогда не	2	3
357	как средство	1	3
358	с одной	3	3
359	мы знаем	3	3
360	хотя и	7	3
361	в ее	2	3
362	по содержанию	1	3
363	это конечно	2	3
364	тому же	2	3
365	или не	1	3
366	в которой	7	3
367	и некоторые	1	3
368	же значение	1	3
369	их по	1	3
370	очевидно что	4	3
371	связанными с	1	3
372	чтобы на	1	3
373	большинстве случаев	3	3
374	в области	15	3
375	и это	3	3
376	много и	1	3
377	сих пор	5	3
378	но можно	2	3
379	к слову	2	3
380	сюда же	3	3
381	совсем не	1	3
382	в форме	3	3
383	с таким	1	3
384	имеет тот	1	3
385	возможно что	1	3
386	когда они	1	3
387	его к	5	3
388	же смысл	1	3
389	всех этих	4	3
390	чтобы не	1	3
391	любви и	1	3
392	до сих	5	3
393	имело место	1	3
394	также что	2	3
395	известно что	1	3
396	из таких	1	3
397	до некоторой	1	3
398	из которых	3	3
399	сводится к	3	3
400	независимо от	1	3
401	если бы	21	3
402	в своей	4	3
403	жизни в	1	3
404	том как	3	3
405	так чтобы	1	3
406	с точки	16	3
407	них как	1	3
408	тех пор	2	3
409	значение и	2	3
410	каждый из	1	3
411	из наиболее	1	3
412	нет и	1	3
413	и во	1	3
414	при котором	1	3
415	на этот	4	3
416	здесь не	5	3
417	по происхождению	1	3
418	увидим ниже	1	3
419	говорилось выше	1	3
420	и то	7	3
421	нас нет	1	3
422	однако как	1	3
423	это и	6	3
424	что с	2	3
425	же не	1	3
426	своей книге	1	3
427	между собою	3	3
428	с той	2	3
429	на все	3	3
430	по его	1	3
431	или менее	3	3
432	в одной	1	3
433	до тех	1	3
434	так называемой	2	3
435	быть и	1	3
436	когда он	4	3
