N	3gram	Bakhtin_fo	Problema
1	о том что	2	39
2	в том что	4	37
3	и т д	3	33
4	то же самое	1	30
5	в связи с	12	29
6	в данном случае	2	28
7	той или иной	3	26
8	во всяком случае	1	25
9	с другой стороны	1	25
10	с точки зрения	9	25
11	в конце концов	1	23
12	сама по себе	1	21
13	как раз и	2	18
14	для того чтобы	11	17
15	то есть в	2	17
16	в то же	10	17
17	же самое время	1	16
18	до сих пор	4	14
19	в этом случае	1	14
20	это значит что	2	13
21	сами по себе	2	13
22	на самом деле	1	13
23	не может быть	4	12
24	и в частности	2	12
25	и в этом	2	12
26	можно сказать что	1	12
27	в то время	3	12
28	то время как	2	12
29	дело в том	2	11
30	с одной стороны	3	11
31	в той или	2	10
32	по своему содержанию	1	10
33	вместе с тем	3	10
34	вовсе не является	2	10
35	не только в	6	10
36	может быть и	4	9
37	только в том	1	8
38	вовсе не являются	1	8
39	может быть только	3	8
40	это вовсе не	1	8
41	о том как	2	7
42	когда мы говорим	1	7
43	к тому же	2	7
44	но и в	5	7
45	не о чем	1	7
46	с самого начала	3	7
47	в значительной мере	2	7
48	мы находим в	1	7
49	для нас не	1	7
50	тот или иной	1	7
51	и как бы	2	6
52	в самом деле	1	6
53	и то же	4	6
54	так и в	1	6
55	но отнюдь не	1	6
56	то что в	1	6
57	в буквальном смысле	2	6
58	то есть не	3	6
59	и в других	4	6
60	на первый план	2	6
61	есть прежде всего	1	6
62	в этом отношении	5	6
63	в литературе и	1	5
64	в чем не	3	5
65	а также и	3	5
66	имеем в виду	3	5
67	так же как	2	5
68	та или иная	1	5
69	в том числе	7	5
70	до некоторой степени	1	5
71	в зависимости от	1	5
72	и прежде всего	4	5
73	а вовсе не	1	5
74	одно и то	4	5
75	смысле слова и	1	5
76	что в нем	1	5
77	же как и	2	5
78	ни в чем	3	5
79	потому что они	1	5
80	на том что	1	4
81	мы еще не	1	4
82	друг от друга	2	4
83	как мы уже	11	4
84	связи с этим	4	4
85	том числе и	4	4
86	и вместе с	1	4
87	они вовсе не	1	4
88	но все же	3	4
89	у нас и	1	4
90	этой точки зрения	1	4
91	в других областях	1	4
