N	3gram	Tiupa_Hudo	Sotsiolo
1	по отношению к	15	2
2	в том что	15	2
3	но ведь это	1	2
4	в конце концов	1	2
5	не в том	2	2
6	и только когда	1	1
7	и в то	2	1
8	в то же	11	1
9	друг от друга	2	1
10	может не вызвать	1	1
11	а между тем	3	1
12	в конечном счете	4	1
13	между собой не	1	1
14	с одной стороны	4	1
15	в связи с	3	1
16	то же самое	3	1
17	о том как	4	1
18	то же время	11	1
19	а с другой	1	1
20	во всяком случае	1	1
21	и что на	1	1
22	а в том	1	1
23	и в этом	3	1
24	в него и	1	1
25	не один из	1	1
26	в том и	1	1
27	не может не	1	1
28	один из путей	2	1
29	а тем более	1	1
30	в настоящее время	1	1
