N	2gram	Voloshinov	StatiiOP
1	и в	16	103
2	в том	3	89
3	том что	3	77
4	в этом	9	76
5	что в	3	74
6	не только	7	60
7	о том	2	47
8	но и	4	46
9	то что	3	44
10	что он	2	42
11	в его	4	42
12	и не	4	41
13	может быть	17	38
14	было бы	2	32
15	в этой	4	31
16	вовсе не	1	31
17	все это	4	29
18	таким образом	9	28
19	а в	3	27
20	а не	1	27
21	но в	4	26
22	что это	2	25
23	так и	4	25
24	этом отношении	1	24
25	и его	8	24
26	все же	1	23
27	точки зрения	8	23
28	для того	1	22
29	прежде всего	9	22
30	у нас	1	22
31	в области	3	22
32	и пр	12	21
33	того чтобы	1	21
34	до сих	3	20
35	в своей	2	19
36	сих пор	3	19
37	только в	4	19
38	с другой	1	18
39	он не	2	18
40	не может	8	18
41	в самом	2	17
42	в году	1	17
43	как на	1	17
44	самом деле	6	17
45	как бы	5	17
46	в данном	1	17
47	в этих	3	16
48	с этим	2	16
49	сказать что	7	16
50	можно было	1	16
51	если бы	1	16
52	в ней	1	16
53	с тем	1	15
54	как и	2	15
55	по поводу	1	15
56	из этих	2	15
57	у него	2	15
58	я не	1	15
59	и на	4	15
60	как раз	1	15
61	для него	6	15
62	то же	2	14
63	к тому	1	14
64	с точки	6	14
65	и что	1	14
66	в течение	1	14
67	во всяком	3	13
68	в качестве	1	13
69	а с	1	13
70	в конце	1	13
71	в нем	4	13
72	вместе с	3	13
73	со стороны	1	13
74	всяком случае	3	13
75	но это	2	13
76	дело в	1	13
77	жизни и	3	13
78	в своих	1	12
79	не менее	2	12
80	хотя бы	4	12
81	ни в	5	12
82	так как	4	12
83	что они	1	12
84	в них	2	11
85	в другом	1	11
86	никогда не	2	11
87	и с	8	11
88	и по	2	11
89	вопрос о	1	11
90	все эти	5	11
91	это было	1	11
92	в виду	1	10
93	связь с	1	10
94	так же	2	10
95	отметить что	1	10
96	что такое	5	10
97	что и	2	10
98	во всех	3	10
99	в каком	2	10
100	ничего не	1	10
101	на вопрос	1	10
102	на самом	4	10
103	но не	1	10
104	в частности	2	10
105	в начале	2	10
106	и к	6	9
107	с этой	2	9
108	говорит о	1	9
109	можно сказать	4	9
110	он был	1	9
111	в одном	3	9
112	внимание на	1	9
113	несмотря на	1	9
114	его жизни	1	9
115	и это	6	9
116	в чем	5	9
117	во время	3	9
118	времени и	1	9
119	что же	1	9
120	и для	2	9
121	для нас	2	9
122	что мы	2	9
123	но ведь	2	8
124	и об	1	8
125	и даже	4	8
126	связано с	1	8
127	по его	1	8
128	еще более	1	8
129	что она	1	8
130	к этому	2	8
131	связи с	1	8
132	и др	3	8
133	могут быть	3	8
134	в общем	3	8
135	к сожалению	1	8
136	не имеет	1	8
137	совершенно не	8	8
138	мы имеем	1	8
