N	2gram	Voloshinov	Retstnzi
1	не может	8	4
2	и в	13	3
3	в.в виноградова	14	3
4	социального общения	6	2
5	один из	1	2
6	общения и	2	2
7	в.в виноградов	20	2
8	направления абстрактного	1	1
9	произведения но	2	1
10	литературного языка	2	1
11	может и	1	1
12	этой проблемы	2	1
13	нуждаются в	1	1
14	в особенности	1	1
15	несмотря на	2	1
16	самых первых	1	1
17	может быть	8	1
18	и истории	2	1
19	не только	6	1
20	и лингвистики	2	1
21	в.в виноградовым	3	1
22	точки зрения	7	1
23	с точки	5	1
24	событий и	1	1
25	неполно и	1	1
26	для него	2	1
27	подхода к	1	1
28	в ней	2	1
29	формального метода	1	1
30	в каждом	4	1
31	связи с	1	1
32	не из	1	1
33	и предварительно	1	1
34	этого общения	1	1
35	в выводах	1	1
36	обратное явление	1	1
37	ставить в	1	1
38	сил которые	1	1
39	если бы	2	1
40	в школе	4	1
41	школы фосслера	1	1
42	художественного произведения	5	1
43	литературного произведения	2	1
44	школе фосслера	1	1
45	виноградова в	1	1
46	в его	7	1
47	не менее	2	1
48	границ поэтики	1	1
49	именно с	1	1
50	виноградова при	1	1
51	и социальной	1	1
52	поэтики и	2	1
53	в языке	2	1
54	но и	3	1
55	в выборе	4	1
56	мы видим	2	1
57	к тому	2	1
58	не смог	1	1
59	тому что	1	1
60	анализе именно	1	1
61	языка как	3	1
62	организующих сил	1	1
63	быть подхода	1	1
64	социальной борьбы	1	1
65	разных категорий	1	1
66	виноградовым методы	1	1
67	фосслера и	1	1
68	школе соссюра	2	1
69	в то	1	1
70	социально-иерархического взаимоотношения	1	1
71	ни один	3	1
72	же время	1	1
73	то же	4	1
74	абстрактного объективизма	10	1
75	при анализе	3	1
76	а не	2	1
77	художественных категорий	1	1
78	бы в	2	1
79	нет и	1	1
80	в лингвистике	2	1
81	и должно	2	1
82	в системе	1	1
83	и не	8	1
84	о литературе	1	1
85	и все	3	1
86	вполне понятно	4	1
87	это направление	1	1
