N	3gram	Tiupa_Anal	Myshleni
1	в том что	13	133
2	с точки зрения	6	89
3	для того чтобы	3	78
4	заключается в том	1	51
5	по отношению к	9	42
6	с одной стороны	6	39
7	друг с другом	2	35
8	то же самое	3	31
9	во внутренней речи	1	31
10	в этом отношении	5	30
11	можно было бы	1	28
12	в этом случае	4	27
13	в собственном смысле	1	26
14	вместе с тем	1	26
15	с другой стороны	2	26
16	на то что	2	25
17	о том что	8	25
18	не может быть	17	23
19	смысле этого слова	1	22
20	к тому что	2	22
21	в зависимости от	1	22
22	не только не	2	21
23	можно сказать что	1	21
24	в самом деле	3	19
25	и тем самым	2	19
26	так же точно	1	19
27	из того что	3	19
28	в отличие от	8	18
29	состоит в том	6	18
30	во всяком случае	1	18
31	в этом смысле	3	18
32	до сих пор	1	17
33	и того же	2	17
34	этой точки зрения	2	17
35	в связи с	2	17
36	одного и того	2	17
37	с этой точки	2	16
38	и то что	1	15
39	в данном случае	3	15
40	в известном смысле	2	15
41	и той же	1	15
42	одной и той	1	15
43	на всем протяжении	1	14
44	на этот вопрос	1	14
45	в первую очередь	1	14
46	в свою очередь	1	14
47	подобно тому как	5	14
48	в сущности говоря	1	14
49	а с другой	1	13
50	то и другое	1	13
51	и то же	2	12
52	в том чтобы	7	12
53	один и тот	1	12
54	и тот же	2	12
55	тем не менее	3	12
56	одно и то	2	12
57	в такой же	1	11
58	только тогда когда	1	11
59	такой же мере	1	10
60	том числе и	1	10
61	по своей природе	1	10
62	в самом начале	3	10
63	в том числе	3	10
64	не в состоянии	1	10
65	сама по себе	1	9
66	собственном смысле слова	1	9
67	как и в	2	9
68	приводит нас к	1	9
69	на вопрос о	1	9
70	более или менее	2	9
71	в конечном счете	5	9
72	именно в этом	2	9
73	том что он	2	9
74	только в том	1	8
75	в целом но	1	8
76	сам по себе	1	8
77	речь идет о	1	8
78	той или иной	8	8
79	связей и отношений	1	8
80	не могут быть	2	8
81	в том же	1	8
82	в равной мере	2	8
83	о том как	1	7
84	и вместе с	1	7
85	включает в себя	1	7
86	содержит в себе	3	7
87	же самое что	1	7
88	в том виде	1	7
89	в первом случае	2	7
90	приводит к тому	1	7
91	и тогда когда	2	6
92	те же самые	1	6
93	в обоих случаях	2	6
94	и таким образом	1	6
95	и тем же	1	6
96	и в частности	1	6
97	то что мы	1	6
98	и не может	4	6
99	в том смысле	1	6
100	того что мы	1	6
101	не что иное	5	6
102	одним и тем	1	6
103	в том и	2	6
104	что иное как	6	6
105	мере в какой	2	5
106	и как бы	1	5
107	не совпадает с	1	5
108	как если бы	1	5
109	той мере в	2	5
110	того и другого	2	5
111	содержат в себе	1	5
112	как мы увидим	1	5
113	в той мере	2	5
114	прежде всего в	2	5
115	том смысле что	1	5
116	в той же	1	5
117	во втором случае	1	5
118	сами по себе	3	5
119	связи и отношения	1	5
120	с другом в	1	5
121	и в этом	4	5
122	в свое время	3	5
123	в то же	9	5
124	же мере как	1	5
125	ответ на этот	1	5
126	не только в	3	5
127	все эти три	1	5
128	едва ли не	1	5
129	а отнюдь не	1	4
130	одни и те	2	4
131	виде в каком	1	4
132	между тем как	2	4
133	по аналогии с	1	4
134	имеет дело с	1	4
135	на этот раз	1	4
136	в тех случаях	1	4
137	мы имеем дело	7	4
138	представляет собой не	1	4
139	но и в	3	4
140	далеко за пределы	1	4
141	если бы он	1	4
142	у одного и	1	4
143	несмотря на то	1	4
144	в самом простом	1	4
145	как более или	1	4
146	есть не что	4	4
147	в значительной степени	1	4
148	и те же	2	4
149	в сущности это	1	4
150	есть в сущности	2	4
151	той же мере	1	4
152	тому или иному	2	4
153	тех случаях когда	1	4
154	этом случае в	1	4
155	это означает что	2	4
156	вместе с ним	2	4
157	но то что	1	3
158	выходит далеко за	1	3
159	же самое время	2	3
160	в применении к	1	3
161	никак не может	1	3
162	то ни было	3	3
163	хотя бы и	1	3
164	сказать что в	1	3
165	они относятся к	1	3
166	к тому же	6	3
167	свойств присущих целому	1	3
168	или во всяком	1	3
169	то же время	7	3
170	но не может	1	3
171	как это ни	1	3
172	а затем уже	1	3
173	но и не	5	3
174	одна и та	1	3
175	мышления в частности	1	3
176	по поводу того	1	3
177	того или иного	3	3
178	мы имеем в	1	3
179	которые могут быть	1	3
180	и не могут	1	3
181	если в основе	1	3
182	оно может быть	1	3
183	как и во	1	3
184	отношение к предмету	1	3
185	не остается ничего	2	3
186	и во всех	1	3
187	том виде в	1	3
188	то что она	1	3
189	тех или иных	3	3
190	как мы это	1	3
191	в соответствии с	2	3
192	во всей своей	1	3
193	что как бы	1	3
194	как раз и	2	3
195	бы то ни	3	3
196	не подлежит никакому	1	3
197	внешней и внутренней	1	3
198	в чем дело	1	3
199	внимание на то	1	3
200	и отношения между	1	3
201	к тому или	1	3
202	а вместе с	1	3
203	и в самом	3	3
204	мере как и	1	3
205	я не могу	1	3
206	и та же	1	3
207	того что в	2	3
208	имеем в виду	1	3
209	имеем дело с	4	3
210	как мы постараемся	1	3
211	разложения на элементы	1	3
212	нет и не	2	3
213	в той или	3	2
214	только частный случай	1	2
215	как в этом	1	2
216	истинном значении этого	1	2
217	с ним в	1	2
218	по отношению ко	1	2
219	в достаточной мере	1	2
220	в частности в	2	2
221	присущих целому и	1	2
222	для другого в	1	2
223	как бы не	2	2
224	том и заключается	1	2
225	мы встречаемся с	1	2
226	речи и к	1	2
227	может быть понят	1	2
228	оно представляет собой	1	2
229	самом же деле	1	2
230	на самом же	1	2
231	поводу того что	1	2
232	в этой связи	2	2
233	в ответ на	2	2
234	не только для	1	2
235	никогда не бывает	1	2
236	не в его	1	2
237	что даже в	1	2
238	значение только в	1	2
239	не может остаться	1	2
240	в силу своей	3	2
241	и не совпадает	1	2
242	здесь мы имеем	1	2
243	все же не	1	2
244	на элементы не	1	2
245	и тем что	1	2
246	как и на	2	2
247	в основе которого	1	2
248	как это свойственно	1	2
249	из сказанного выше	1	2
250	том что начальные	1	2
251	как и ее	1	2
252	выходит за пределы	1	2
253	заключенное в нем	1	2
254	и все же	2	2
255	при этом она	1	2
256	в этом последнем	1	2
257	и отношений между	1	2
258	в целом все	1	2
259	в себе в	1	2
260	и на все	1	2
261	до известной степени	1	2
262	те же слова	1	2
263	который по своей	1	2
264	до некоторой степени	1	2
265	всей своей полноте	1	2
266	в том случае	1	2
267	на точку зрения	1	2
268	там и здесь	1	2
269	могут быть поставлены	1	2
270	методом разложения на	1	2
271	значении этого слова	7	2
272	по этому пути	1	2
273	и в качестве	1	2
274	или хотя бы	1	2
275	рода что и	1	2
276	в этих случаях	1	2
277	том случае если	1	2
278	так как если	1	2
279	что то что	1	2
280	не столько в	1	2
281	отличие от элементов	1	2
282	здесь как и	1	2
283	самом деле не	1	2
284	самом деле как	1	2
285	только для того	1	2
286	и при этом	1	2
287	и т.д в	2	2
288	тот же самый	1	2
289	во всех этих	1	2
290	в результате чего	2	2
291	быть сведено к	2	2
292	основе которого лежит	1	2
293	может быть сведено	3	2
294	или можно сказать	1	1
295	нельзя сказать что	1	1
296	самом простом первоначальном	1	1
297	в частности к	1	1
298	не изменилось бы	1	1
299	к разрешению конкретных	1	1
300	он не должен	1	1
301	а тем самым	1	1
302	распространено и на	1	1
303	к другому в	1	1
304	в том или	3	1
305	не говорит о	1	1
306	ничего не говорит	1	1
307	рассказывает об этом	1	1
308	мы постараемся сейчас	1	1
309	как и его	1	1
310	говоря уже о	1	1
311	дело не в	2	1
312	в течение всего	1	1
313	в коем случае	2	1
314	во внешнем мире	2	1
315	далеко не всегда	2	1
316	и к тому	2	1
317	как бы с	1	1
318	которых предпринимается анализ	1	1
319	внутренней речи первое	1	1
320	так или иначе	1	1
321	возможно только в	1	1
322	по своему содержанию	1	1
323	начало и конец	1	1
324	вновь и вновь	1	1
325	лишь в самом	1	1
326	в контакте с	1	1
327	не свидетельствует о	1	1
328	означает что в	2	1
329	почти из одних	1	1
330	ибо и в	1	1
331	не сводится к	2	1
