N	2gram	Bakhtin_Pr	Marksizm
1	чужой речи	3	85
2	прямой речи	1	77
3	точки зрения	31	69
4	может быть	43	64
5	и в	64	63
6	и не	55	55
7	как бы	33	53
8	прямая речь	2	49
9	не может	26	47
10	с точки	21	46
11	и пр	5	42
12	и его	21	41
13	в этом	33	39
14	таким образом	15	38
15	в процессе	6	33
16	как мы	13	32
17	в пределах	24	31
18	лишь в	4	30
19	не только	26	29
20	то же	18	28
21	в нем	28	28
22	но и	26	27
23	в языке	1	26
24	связи с	3	25
25	речи и	4	25
26	самом деле	10	25
27	в самом	17	24
28	как и	25	24
29	прежде всего	16	24
30	только в	13	23
31	так и	8	23
32	и т.п	1	23
33	в том	12	22
34	то что	21	22
35	а не	29	22
36	при этом	8	20
37	чужое высказывание	2	20
38	так сказать	9	20
39	для него	23	20
40	если мы	3	20
41	на почве	5	19
42	не в	15	19
43	если бы	12	19
44	том что	8	19
45	в его	30	19
46	языка в	1	18
47	в ее	2	18
48	в слове	3	18
49	чужого слова	23	18
50	и для	7	18
51	но в	14	18
52	вовсе не	12	18
53	все же	11	17
54	в сущности	10	17
55	по отношению	12	16
56	ни было	4	16
57	речь в	2	16
58	слова и	8	16
59	социального общения	1	16
60	и как	9	16
61	в то	15	16
62	с помощью	2	15
63	во всех	4	15
64	в связи	1	15
65	что он	15	15
66	высказывания и	3	15
67	же время	13	15
68	отношению к	12	15
69	в данном	2	14
70	хотя бы	4	14
71	в контексте	2	14
72	в смысле	3	14
73	в своей	11	13
74	так же	8	13
75	авторского контекста	2	13
76	то ни	3	13
77	в направлении	4	13
78	что в	11	13
79	и здесь	6	13
80	того чтобы	2	13
81	было бы	8	13
82	ничего не	8	13
83	мы не	4	13
84	слова в	12	13
85	идеологического творчества	2	12
86	для того	1	12
87	того же	3	12
88	бы то	3	12
89	в результате	7	12
90	выражение в	6	12
91	между тем	7	12
92	он не	14	12
93	в основе	4	12
94	высшей степени	1	12
95	является не	2	12
96	а в	10	12
97	в высшей	1	12
98	монологическое высказывание	1	11
99	не столько	1	11
100	на материале	5	11
101	чужое слово	43	11
102	к нему	11	11
103	мы уже	4	11
104	и что	5	11
105	и от	3	11
106	слова как	3	11
107	до сих	9	11
108	и на	16	11
109	и все	6	11
110	как в	7	11
111	еще не	10	11
112	высказывание в	1	11
113	друг друга	4	11
114	так как	9	11
115	на самом	5	11
116	авторской и	1	11
117	все эти	13	11
118	в ней	2	11
119	высказывания в	1	11
120	сих пор	9	11
121	именно в	5	10
122	авторский контекст	2	10
123	во всяком	7	10
124	самого начала	2	10
125	с другой	7	10
126	сказать что	4	10
127	к этому	1	10
128	никогда не	11	10
129	в своем	12	10
130	его в	8	10
131	в таком	3	10
132	одна из	5	10
133	чужую речь	4	10
134	в каждом	15	10
135	в основном	2	10
136	здесь мы	4	10
137	в большинстве	11	10
138	совершенно не	5	10
139	конечно не	4	10
140	в отличие	4	10
141	с его	11	10
142	здесь в	2	10
143	и потому	7	10
144	с самого	1	10
145	отличие от	4	10
146	бытия в	3	10
147	более того	8	10
148	быть и	2	9
149	к тому	4	9
150	одного и	1	9
151	только на	3	9
152	в нашем	2	9
153	точка зрения	13	9
154	в себе	11	9
155	лишь на	5	9
156	большинстве случаев	10	9
157	рядом с	19	9
158	и следовательно	7	9
159	и это	8	9
160	а как	11	9
161	мы видели	1	9
162	что это	2	9
163	ни в	5	9
164	не имеет	2	9
165	как целое	3	9
166	отношении к	5	9
167	это не	12	9
168	как если	3	9
169	в истории	2	9
170	одной из	1	9
171	и эта	2	9
172	же самое	1	9
173	кроме того	5	8
174	мысли и	6	8
175	не как	20	8
176	другой стороны	6	8
177	но что	1	8
178	и даже	5	8
179	и с	9	8
180	психики и	1	8
181	на этой	1	8
182	настоящее время	3	8
183	в данной	1	8
184	мы знаем	1	8
185	что и	7	8
186	у него	11	8
187	не было	5	8
188	что не	3	8
189	тому что	3	8
190	мы можем	1	8
191	или же	2	8
192	не будет	1	8
193	в форме	8	8
194	за пределы	7	8
195	в отношении	5	8
196	слове и	1	8
197	в каком	1	8
198	к другому	6	8
199	перед нами	12	8
200	в свою	1	8
201	в кавычки	2	8
202	этого слова	3	8
203	в настоящее	3	8
204	с этим	3	8
205	у нас	3	8
206	смысле этого	1	8
207	в их	6	8
208	в прямой	1	8
209	и их	3	8
210	и ее	5	8
211	речь и	2	8
212	или иной	1	8
213	на то	5	8
214	от него	1	7
215	следует что	1	7
216	в этих	5	7
217	социальной группы	2	7
218	лингвистических категорий	1	7
219	не существует	1	7
220	в котором	7	7
221	свою очередь	1	7
222	он сам	5	7
223	те же	3	7
224	нашей работы	2	7
225	как раз	9	7
226	в качестве	1	7
227	слово как	5	7
228	бы в	7	7
229	в этой	5	7
230	могут быть	9	7
231	оно может	2	7
232	там где	12	7
233	речи как	3	7
234	с ними	2	7
235	может стать	5	7
236	данной социальной	2	7
237	до настоящего	2	7
238	вполне понятно	2	7
239	прямой и	3	7
240	по себе	16	7
241	той же	8	7
242	до конца	10	7
243	о том	5	7
244	того что	3	7
245	в формах	3	7
246	является лишь	4	7
247	конечно в	2	7
248	в начале	1	7
249	далеко не	7	7
250	бы он	4	7
251	место в	1	7
252	настоящего времени	2	7
253	в той	5	6
254	является в	2	6
255	точном смысле	1	6
256	по мере	4	6
257	от одного	2	6
258	теперь мы	1	6
259	в корне	1	6
260	уже не	15	6
261	входит в	9	6
262	одной стороны	1	6
263	в другом	3	6
264	в различных	3	6
265	для понимания	4	6
266	она может	2	6
267	как такое	1	6
268	с одной	1	6
269	в разрезе	6	6
270	с другими	8	6
271	из важнейших	1	6
272	здесь же	1	6
273	между ними	6	6
274	не есть	4	6
275	из одного	8	6
276	всяком случае	4	6
277	должны быть	3	6
278	этот вопрос	4	6
279	с ее	1	6
280	авторском контексте	1	6
281	то есть	3	6
282	должна быть	8	6
283	смысле слова	2	6
284	в единстве	9	6
285	его формы	1	6
286	от своего	2	6
287	в точном	1	6
288	зависимости от	5	6
289	ничего общего	1	6
290	и между	1	6
291	что же	9	6
292	тем же	3	6
293	для всего	1	6
294	слово и	9	6
295	тот же	2	6
296	он и	8	6
297	все это	9	6
298	сознания и	8	6
299	слово в	10	6
300	в какой	2	6
301	лишь с	1	6
302	вопрос о	3	6
303	мы должны	3	6
304	из этих	3	6
305	лишь как	9	6
306	же в	2	6
307	не к	1	6
308	еще более	2	5
309	формы в	1	5
310	о чем	1	5
311	монологического высказывания	2	5
312	в одном	20	5
313	нами в	3	5
314	в виду	3	5
315	в первом	2	5
316	она является	2	5
317	не менее	3	5
318	социальной ситуации	1	5
319	авторской речи	3	5
320	связано с	1	5
321	понятно что	2	5
322	этой почве	1	5
323	был бы	6	5
324	как на	4	5
325	от того	4	5
326	себя в	3	5
327	по преимуществу	2	5
328	должно быть	8	5
329	что такое	2	5
330	речи на	1	5
331	как же	6	5
332	все время	3	5
333	от этого	2	5
334	лишь для	2	5
335	и у	3	5
336	той или	1	5
337	но как	4	5
338	и тем	1	5
339	этих форм	1	5
340	и является	2	5
341	же он	1	5
342	в конце	8	5
343	этой проблемы	1	5
344	то в	2	5
345	для себя	3	5
346	оно ни	2	5
347	языковых явлений	1	5
348	вместе с	1	5
349	дело идет	6	5
350	да и	2	5
351	слова о	3	5
352	и вот	1	5
353	ее в	3	5
354	и лишь	2	5
355	вне его	4	5
356	хотя и	5	5
357	в конкретном	3	5
358	из него	1	5
359	точку зрения	7	5
360	этом случае	1	5
361	в более	1	5
362	значение в	2	5
363	связи между	3	5
364	этом отношении	3	5
365	отсюда следует	1	5
366	то мы	1	5
367	таком случае	1	5
368	или в	7	5
369	для других	2	5
370	и всякое	3	5
371	но не	12	5
372	менее всего	7	5
373	в условиях	2	5
374	как слово	5	5
375	к одному	7	5
376	в данную	1	5
377	контекста и	1	5
378	она не	10	5
379	данную эпоху	1	5
380	со всею	5	5
381	ведь если	1	5
382	конечно совершенно	1	5
383	в особенности	1	5
384	и к	5	4
385	речь героя	2	4
386	же и	5	4
387	только что	1	4
388	какой бы	2	4
389	в рамки	3	4
390	в них	5	4
391	но все	6	4
392	тем что	6	4
393	здесь происходит	1	4
394	он является	3	4
395	предметный смысл	1	4
396	отвлечемся от	1	4
397	к другой	1	4
398	речью и	1	4
399	на чужое	12	4
400	он был	2	4
401	и иных	1	4
402	перед ним	1	4
403	точке зрения	3	4
404	самого говорящего	1	4
405	в зависимости	5	4
406	во всей	3	4
407	исходит из	1	4
408	из них	3	4
409	едва ли	1	4
410	переходим к	4	4
411	что они	1	4
412	него как	3	4
413	и он	5	4
414	она и	1	4
415	о слове	2	4
416	оценки и	1	4
417	узком смысле	2	4
418	несмотря на	7	4
419	что все	2	4
420	конкретного высказывания	2	4
421	не знает	6	4
422	в которой	2	4
423	одним из	7	4
424	что она	7	4
425	но для	3	4
426	слово слово	4	4
427	но ведь	3	4
428	сознания как	2	4
429	следовательно и	3	4
430	его значение	1	4
431	в других	2	4
432	но к	1	4
433	находит свое	2	4
434	для его	4	4
435	в устах	2	4
436	ведь в	2	4
437	не дает	3	4
438	в работе	1	4
439	и речи	1	4
440	но при	4	4
441	между двумя	1	4
442	к этим	2	4
443	так что	6	4
444	если же	7	4
445	все те	3	4
446	в тех	1	4
447	внешнее выражение	1	4
448	говорящего коллектива	1	4
449	его к	4	4
450	независимо от	1	4
451	и особенно	2	4
452	в единство	9	4
453	и ту	1	4
454	от нее	2	4
455	разобранные нами	3	4
456	лишь там	2	4
457	мы замечаем	2	4
458	разрезе данного	2	4
459	не могут	10	4
460	со всеми	2	4
461	и действительно	1	4
462	можно назвать	1	4
463	может получить	1	4
464	к его	1	4
465	быть понято	1	4
466	подхода к	2	4
467	установкой на	1	4
468	эта последняя	1	4
469	первом случае	1	4
470	бы и	6	4
471	в неразрывной	1	4
472	идеологическое творчество	2	4
473	автора и	7	4
474	речи не	1	4
475	именно на	3	4
476	слов и	2	4
477	целый ряд	2	4
478	и до	6	4
479	нет и	1	4
480	мог бы	1	4
481	но именно	3	4
482	только при	1	4
483	в чужую	1	4
484	только с	1	4
485	данное слово	2	4
486	уже в	5	4
487	лишь то	1	4
488	это и	5	4
