N	2gram	Nazirov_Tv	DiskursI
1	в качестве	2	72
2	а не	9	60
3	может быть	11	56
4	не только	16	49
5	и в	40	49
6	как и	16	47
7	тогда как	3	47
8	при этом	14	46
9	и не	12	44
10	в том	13	44
11	представляет собой	4	41
12	то есть	16	41
13	в прозе	1	41
14	том что	14	40
15	в этом	11	38
16	в себе	3	37
17	в частности	4	36
18	но и	10	35
19	своего рода	7	32
20	но не	7	31
21	отличие от	3	28
22	со стороны	1	28
23	но в	11	28
24	так и	5	28
25	в отличие	3	27
26	не может	9	27
27	как в	10	25
28	такого рода	1	24
29	отнюдь не	9	23
30	еще не	5	23
31	в рамках	1	23
32	в своей	8	19
33	все же	9	19
34	в нем	4	19
35	прежде всего	10	19
36	далеко не	3	18
37	в основе	3	18
38	то же	19	17
39	в данном	2	17
40	с другой	4	17
41	в мире	8	17
42	по отношению	3	17
43	отношению к	3	17
44	только в	7	16
45	о том	9	15
46	то что	9	15
47	роль в	2	15
48	в его	19	15
49	не менее	8	14
50	можно сказать	2	14
51	одной стороны	1	14
52	с одной	2	14
53	не в	3	14
54	ни к	2	14
55	не является	3	14
56	это не	9	14
57	или иной	1	14
58	как бы	26	13
59	для него	9	13
60	в целом	7	13
61	в своих	8	12
62	ведет к	3	12
63	при всей	1	12
64	в своем	4	12
65	того же	2	12
66	и на	12	12
67	и все	6	12
68	данном случае	2	12
69	по мысли	1	11
70	как правило	3	11
71	по природе	6	11
72	не было	3	11
73	не сводится	1	11
74	столь же	2	11
75	что в	17	11
76	с его	12	11
77	и как	5	11
78	в тексте	1	11
79	не столько	4	10
80	той или	1	10
81	а с	4	10
82	для себя	1	10
83	вследствие этого	1	10
84	по сути	6	10
85	а в	10	10
86	же время	18	10
87	также и	1	10
88	в них	1	9
89	уже не	6	9
90	пока еще	1	9
91	себя в	3	9
92	внимание на	1	9
93	между тем	2	9
94	в то	23	9
95	героя в	4	9
96	сводится к	2	9
97	художественного целого	1	9
98	еще в	3	9
99	тем самым	10	9
100	в этих	2	8
101	и даже	8	8
102	в соответствии	7	8
103	к тому	2	8
104	в котором	8	8
105	в противоположность	1	8
106	в творчестве	10	8
107	в одном	3	8
108	из них	4	8
109	хотя и	5	8
110	в себя	3	8
111	он не	10	8
112	если в	3	8
113	не на	1	8
114	жизни в	9	8
115	потому что	10	8
116	соответствии с	7	8
117	человека в	9	8
118	как уже	2	8
119	и о	2	8
120	о чем	1	7
121	другой стороны	2	7
122	таким образом	14	7
123	в русской	5	7
124	одной из	7	7
125	что и	3	7
126	тому же	2	7
127	его в	2	7
128	к этому	4	7
129	в этой	7	7
130	я в	1	7
131	могут быть	4	7
132	в рассказе	4	7
133	например в	3	7
134	ни в	2	7
135	в процессе	3	7
136	приводит к	4	7
137	перед нами	3	7
138	той же	4	7
139	но это	10	7
140	в пределах	1	7
141	лишь в	1	7
142	в ходе	1	7
143	и ее	1	7
144	и его	14	7
145	мира в	2	7
146	одно из	1	6
147	именно в	6	6
148	конечном счете	4	6
149	и того	2	6
150	в противовес	1	6
151	времени в	13	6
152	одна из	5	6
153	крайней мере	4	6
154	картину мира	1	6
155	никогда не	13	6
156	то в	2	6
157	в принципе	5	6
158	в ее	3	6
159	в конечном	4	6
160	не знает	2	6
161	во всех	2	6
162	героя и	4	6
163	однако в	3	6
164	в сущности	1	6
165	имеет место	1	6
166	и одновременно	1	6
167	что он	11	6
168	к его	1	6
169	в которых	3	6
170	по крайней	4	6
171	в истории	2	6
172	что же	1	6
173	в трагедии	1	6
174	одновременно и	2	6
175	дело в	4	6
176	в эпоху	1	6
177	времени и	4	6
178	в одной	5	6
179	отношение к	1	6
180	одного из	3	6
181	можно говорить	1	5
182	русской литературе	4	5
