N	2gram	Bakhtin_sl	BTomashe
1	у нас	2	3
2	все это	14	2
3	в ней	7	2
4	можно было	2	2
5	и не	32	2
6	говорить о	2	1
7	и о	3	1
8	выпадают из	1	1
9	со всем	1	1
10	и нет	3	1
11	не только	37	1
12	всего в	1	1
13	таким образом	16	1
14	не было	4	1
15	прежде всего	14	1
16	бы только	2	1
17	без понимания	1	1
18	и в	69	1
19	на самом	2	1
20	так и	22	1
21	в своей	8	1
22	стиля и	7	1
23	во всяком	9	1
24	и потому	9	1
25	и во	3	1
26	за пределы	6	1
27	говорить об	1	1
28	же не	1	1
29	по крайней	1	1
30	с другой	8	1
31	об этом	1	1
32	художественного произведения	1	1
33	своей книге	1	1
34	точке зрения	2	1
35	совершенно не	2	1
36	не о	1	1
37	другой стороны	5	1
38	крайней мере	1	1
39	всяком случае	7	1
40	кроме того	6	1
41	было бы	3	1
42	установка на	8	1
43	и ее	3	1
44	одной из	4	1
45	в значительной	6	1
46	о художественной	1	1
47	в пределах	27	1
48	в данном	5	1
49	должна быть	3	1
50	необходимо отметить	3	1
51	в области	1	1
52	далеко не	7	1
53	тем более	1	1
54	в научном	1	1
55	и более	3	1
56	что все	2	1
57	не все	2	1
58	значительной степени	6	1
59	его не	4	1
60	также не	1	1
61	а не	29	1
62	как некоторого	1	1
63	о художественном	1	1
64	отнюдь не	1	1
65	до конца	25	1
66	как всякий	2	1
67	не укладывается	2	1
68	и на	17	1
69	приемов построения	1	1
70	выходит за	3	1
71	между ними	2	1
72	еще не	9	1
73	к ней	2	1
74	все же	10	1
75	что в	3	1
76	меньше чем	2	1
