N	3gram	Tiupa_Hudo	Morfolog
1	и т д	5	60
2	в этом случае	1	10
3	не может быть	5	9
4	в связи с	3	9
5	по отношению к	15	7
6	с точки зрения	5	6
7	тем не менее	6	6
8	связи с этим	2	5
9	подобно тому как	4	5
10	с другой стороны	1	5
11	а также и	1	5
12	в том что	15	4
13	на самом деле	1	4
14	к тому что	8	4
15	но все же	2	4
16	на то что	2	3
17	здесь прежде всего	1	3
18	о том что	14	3
19	как и в	5	3
20	для того чтобы	2	3
21	в настоящее время	1	3
22	бы то ни	1	3
23	состоит в том	3	3
24	в том случае	2	3
25	в первом случае	2	3
26	на первый взгляд	1	3
27	о том как	4	2
28	с того что	2	2
29	можно заметить что	1	2
30	более или менее	1	2
31	том случае если	2	2
32	в иных случаях	1	2
33	это еще не	1	2
34	можно было бы	5	2
35	точно так же	1	2
36	в данном случае	3	2
37	и в других	1	2
38	во всяком случае	1	2
39	с одной стороны	4	2
40	в этом отношении	4	2
41	т д он	1	2
42	в этой главе	1	1
43	на вопрос что	1	1
44	но то что	1	1
45	ответить на вопрос	1	1
46	может быть объяснена	1	1
47	имеет ничего общего	1	1
48	в свою очередь	1	1
49	в тот момент	3	1
50	ни одна не	1	1
51	мы уже знаем	2	1
52	или с того	1	1
53	до известной степени	1	1
54	формы представляют собой	1	1
55	отношению к этой	1	1
56	тот момент когда	3	1
57	и в последней	1	1
58	они и в	2	1
59	самом деле в	2	1
60	перед нами в	1	1
61	в первый раз	1	1
62	что же касается	2	1
63	она могла бы	1	1
64	с этой точки	1	1
65	так что даже	1	1
66	т е все	1	1
67	перед нами две	1	1
68	из этих двух	1	1
69	можно сказать что	1	1
70	только в том	4	1
71	между тем не	1	1
72	во что бы	1	1
73	в этом и	2	1
74	могло бы быть	1	1
75	более и более	1	1
76	в то же	11	1
77	но и его	1	1
78	в таком случае	1	1
79	уже не может	1	1
80	во многих отношениях	1	1
81	и как будто	1	1
82	прежде всего о	1	1
83	друг с другом	1	1
84	что бы то	1	1
85	до сих пор	3	1
86	не потому что	1	1
87	все более и	1	1
88	не означает что	1	1
89	как это обычно	1	1
90	той или иной	1	1
91	и соответствующего согласия	1	1
92	вместо того чтобы	2	1
93	это уже не	1	1
94	его и т	1	1
95	то можно было	1	1
96	следует отличать от	1	1
97	с самого начала	1	1
98	том что он	1	1
99	не имеет ничего	1	1
100	есть на самом	1	1
101	это было бы	1	1
102	в высшей степени	1	1
103	но в этом	1	1
104	этой точки зрения	1	1
105	между тем в	2	1
106	и там где	1	1
107	слушателю или читателю	1	1
108	а для того	1	1
109	как бы в	2	1
110	то же время	11	1
111	приводит к тому	2	1
112	что несмотря на	1	1
113	то ни стало	1	1
