N	4gram	Bakhtin_Fr	EvropaiE
1	в то же время	14	14
2	и в то же	3	8
3	с одной стороны и	1	6
4	так же как и	2	3
5	в той или иной	1	3
6	можно сказать что в	1	2
7	но в то же	6	2
8	дело в том что	4	1
9	в том числе и	3	1
10	и с точки зрения	2	1
11	одна и та же	1	1
12	в большей или меньшей	1	1
13	с другой стороны в	1	1
14	то же время в	1	1
15	в связи с этим	3	1
16	и примыкающих к ним	1	1
17	мы можем сказать что	1	1
18	большей или меньшей степени	1	1
19	одного и того же	1	1
20	с одной стороны в	1	1
21	мы не находим в	1	1
22	один и тот же	1	1
