N	2gram	Bakhtin_Fr	Myslijsy
1	потому что	6	182
2	то есть	71	142
3	и в	105	121
4	может быть	11	107
5	в том	17	103
6	то что	7	83
7	для нас	5	75
8	что в	4	73
9	и не	34	73
10	только в	16	72
11	т с	1	71
12	не только	24	67
13	а не	1	67
14	таким образом	5	64
15	в языке	1	60
16	в этом	22	59
17	но и	20	59
18	том что	9	59
19	так как	11	59
20	то же	6	56
21	не в	4	54
22	если бы	1	53
23	в себе	7	53
24	по себе	1	52
25	не может	9	52
26	того что	3	47
27	было бы	4	45
28	в нем	16	45
29	не есть	1	42
30	как и	15	42
31	так что	1	39
32	вместе с	1	39
33	что и	2	38
34	мы не	1	38
35	при этом	10	37
36	как в	6	37
37	так и	16	37
38	что мы	2	36
39	тем что	5	33
40	по отношению	2	30
41	а в	4	30
42	что не	3	29
43	между тем	5	29
44	но не	7	29
45	вовсе не	25	28
46	мы можем	2	28
47	для него	12	28
48	есть только	3	28
49	с этим	1	27
50	могут быть	4	27
51	не было	3	26
52	независимо от	1	26
53	то и	1	26
54	отношению к	2	26
55	языка и	1	25
56	в то	5	24
57	с тем	1	23
58	как бы	33	23
59	того как	1	23
60	от того	2	23
61	а потому	1	22
62	по мере	1	22
63	что слово	3	22
64	с другой	3	22
65	но в	16	22
66	и потому	14	21
67	внутренняя форма	1	21
68	не менее	2	21
69	вместе и	1	21
70	в одном	8	20
71	это не	4	20
72	в ней	7	20
73	мысли и	4	19
74	и как	2	19
75	но это	5	19
76	сказать что	12	19
77	с ним	6	19
78	того же	1	19
79	из этих	7	19
80	о том	5	19
81	тем самым	1	19
82	есть не	1	19
83	в самом	7	18
84	в таком	2	18
85	там же	2	18
86	для того	2	18
87	по поводу	2	18
88	не могут	4	18
89	в человеке	1	18
90	бы не	1	18
91	еще не	8	18
92	точки зрения	10	17
93	со стороны	1	17
94	слова и	1	17
95	уже в	5	17
96	в его	24	17
97	во всяком	2	17
98	и на	25	16
99	к тому	3	16
100	так же	2	16
101	в своем	11	16
102	в которой	1	16
103	в них	13	16
104	же с	2	16
105	в звуке	1	16
106	на то	2	16
107	в этих	6	15
108	уже не	3	15
109	только как	1	15
110	с одной	2	15
111	и по	3	15
112	что он	5	15
113	прежде всего	26	15
114	в ряду	3	15
115	думать что	2	15
116	тому как	2	15
117	на деле	1	14
118	все же	10	14
119	в котором	1	14
120	связи с	5	14
121	так сказать	5	14
122	во всех	13	14
123	бы ни	2	14
124	там где	3	14
125	в истории	5	14
126	же время	5	14
127	и без	4	14
128	мысли в	1	14
129	мы должны	2	14
130	те же	1	13
131	например в	3	13
132	а между	1	13
133	как на	4	13
134	из них	7	13
135	что все	1	13
136	в смысле	2	13
137	есть для	2	13
138	и все	7	13
139	образом в	3	13
140	и может	1	13
141	и его	24	13
142	от него	2	12
143	одно из	7	12
144	другой стороны	1	12
145	до сих	7	12
146	никогда не	11	12
147	и при	1	12
148	хотя и	4	12
149	быть только	3	12
150	в чем	2	12
151	под влиянием	3	12
152	сих пор	7	12
153	оно не	2	12
154	все остальные	1	12
155	всяком случае	2	12
156	относится к	4	12
157	друг друга	3	12
158	только потому	1	12
159	что такое	1	12
160	все это	16	12
161	есть в	6	12
162	человека и	4	12
163	как мы	12	12
164	что на	1	12
165	все что	2	11
166	и если	1	11
167	только для	1	11
168	которые мы	1	11
169	только на	3	11
170	и это	3	11
171	к нему	5	11
172	в состоянии	3	11
173	его в	7	11
174	подобно тому	2	11
175	в силу	1	11
176	речи и	2	11
177	мы видели	3	11
178	сами по	1	11
179	того чтобы	3	11
180	к ней	2	11
181	той же	1	11
182	с нею	2	11
183	что для	3	11
184	если не	1	11
185	и вообще	5	11
186	и только	1	11
187	другими словами	2	11
188	и их	3	11
189	же в	4	11
190	быть названо	1	10
191	и с	8	10
192	хотя бы	2	10
193	одной стороны	2	10
194	одной и	1	10
195	духа и	3	10
196	находится в	1	10
197	мы видим	2	10
198	а и	2	10
199	что при	1	10
200	и следовательно	3	10
201	что как	1	10
202	в других	3	10
203	бы в	2	10
204	тем и	1	10
205	что только	2	10
206	и от	3	10
207	бы быть	2	10
208	он не	3	10
209	образа и	1	10
210	тем же	1	10
211	и для	3	10
212	образ и	1	10
213	так в	4	10
214	и понимания	1	10
215	между прочим	2	10
216	по которому	1	10
217	только по	1	10
218	ко всем	1	9
219	и даже	10	9
220	во многих	2	9
221	до того	1	9
222	на него	2	9
223	на язык	2	9
224	только от	1	9
225	о происхождении	1	9
226	во время	14	9
227	один из	5	9
228	самом деле	3	9
229	никто не	1	9
230	но оно	1	9
231	с точки	6	9
232	мысли а	1	9
233	это было	2	9
234	и других	6	9
235	далеко не	6	9
236	в целом	3	9
237	нам кажется	2	9
238	и о	4	9
239	можно сказать	4	9
240	таким же	1	9
241	во всем	5	8
242	которые не	1	8
243	говорить о	1	8
244	но все	5	8
245	мы называем	1	8
246	именно в	6	8
247	что по	2	8
248	их в	3	8
249	в более	4	8
250	так например	3	8
251	перестает быть	3	8
252	что они	2	8
253	только не	1	8
254	влияние на	8	8
255	мы в	1	8
256	смысле в	1	8
257	от них	1	8
258	отношений между	1	8
259	с ними	2	8
260	в которых	1	8
261	между ними	4	8
262	и той	1	8
263	на другие	1	8
