N	3gram	Losev_Prob	FransuaR
1	в то же	4	55
2	как мы уже	2	28
3	в том что	7	27
4	в том числе	2	27
5	до сих пор	6	27
6	с точки зрения	3	20
7	но в то	1	20
8	в этом отношении	2	20
9	для того чтобы	9	17
10	том числе и	2	17
11	о том что	16	17
12	в связи с	7	16
13	как мы видели	1	16
14	то есть в	6	15
15	но и в	3	15
16	не может быть	5	13
17	дело в том	3	13
18	с одной стороны	4	13
19	на самом деле	6	13
20	а также и	2	12
21	в известной мере	2	12
22	и в то	1	12
23	с другой стороны	7	12
24	мы уже сказали	1	12
25	можно сказать что	6	11
26	в той или	1	10
27	самом же деле	1	10
28	той или иной	5	10
29	как и в	1	10
30	на самом же	1	10
31	до наших дней	1	10
32	в данном случае	10	10
33	в конце концов	11	10
34	не только в	3	10
35	так и в	2	9
36	до известной степени	1	9
37	таким образом в	1	8
38	в его целом	1	8
39	более или менее	7	8
40	в самом деле	4	7
41	в то время	2	7
42	о том как	2	7
43	в чем же	1	7
44	можно было бы	4	7
45	и в других	3	7
46	на первый план	3	7
47	в настоящее время	17	7
48	подобно тому как	2	7
49	во всех этих	2	7
50	в значительной мере	2	7
51	о чем мы	2	6
52	к тому же	1	6
53	но все же	1	6
54	имеем в виду	1	6
55	выходит за пределы	1	6
56	это прежде всего	1	6
57	и во всех	1	6
58	то есть только	2	6
59	даже и в	3	6
60	с самого начала	2	6
61	как мы сказали	1	6
62	и в литературе	1	6
63	одной стороны и	2	5
64	до настоящего времени	1	5
65	мы уже указывали	1	5
66	то же самое	9	5
67	в этом образе	1	5
68	и до наших	2	5
69	и в частности	3	5
70	мы имеем в	1	5
71	во всяком случае	11	5
72	все это в	1	5
73	и тот же	1	5
74	в том же	1	5
75	только то что	6	5
76	искусства и литературы	1	5
77	в это время	1	5
78	как раз в	1	5
79	и вовсе не	6	5
80	в основе своей	1	5
81	то что в	4	4
82	том что в	2	4
83	в собственном смысле	1	4
84	литературы и искусства	5	4
85	и той же	1	4
86	но даже и	1	4
87	связи с этим	2	4
88	так же как	2	4
89	и то что	9	4
90	в нем только	2	4
91	как мы увидим	2	4
92	литературе и в	1	4
93	в самом начале	1	4
94	также и в	2	4
95	может быть и	5	4
96	здесь перед нами	3	4
