N	3gram	Tiupa_Narr	VerxiiNi
1	с одной стороны	5	7
2	с точки зрения	2	6
3	во всяком случае	2	6
4	друг с другом	1	5
5	по крайней мере	1	5
6	а с другой	2	5
7	до сих пор	3	5
8	для того чтобы	4	5
9	в том числе	1	5
10	более или менее	2	5
11	том числе и	1	4
12	но все же	1	4
13	о том что	3	4
14	к тому же	8	4
15	в том что	11	3
16	так же как	1	3
17	в связи с	3	3
18	точно так же	2	3
19	тем не менее	6	3
20	так или иначе	1	3
21	и после смерти	1	2
22	и потому что	1	2
23	той или иной	6	2
24	на то что	2	2
25	сих пор еще	1	2
26	то ни было	1	2
27	этой точки зрения	1	2
28	заключает в себе	2	2
29	то же самое	3	2
30	по сравнению с	1	2
31	можно сказать что	5	2
32	бы то ни	1	2
33	в этом отношении	5	2
34	то же время	7	2
35	в том виде	1	2
36	в то же	7	2
37	том виде в	1	2
38	с этой точки	1	2
39	друг на друга	2	2
40	может быть и	1	2
41	но в конце	1	1
42	сами по себе	2	1
43	так и в	1	1
44	жизни то есть	1	1
45	и т.д вплоть	2	1
46	но при этом	3	1
47	в первом случае	3	1
48	и потому-то с	1	1
49	потому что в	1	1
50	самое следует сказать	1	1
51	в свою очередь	2	1
52	и тот же	1	1
53	к новой жизни	1	1
54	не только не	2	1
55	по своему характеру	1	1
56	иметь в виду	1	1
57	же самое следует	2	1
58	речь идет о	3	1
59	в этом направлении	1	1
60	к созерцательности и	1	1
61	вследствие того что	2	1
62	в то что	1	1
63	один из этих	1	1
64	до известной степени	1	1
65	в соответствии с	7	1
66	не может быть	6	1
67	т.д вплоть до	2	1
68	по отношению к	5	1
69	и в то	2	1
70	одной из этих	1	1
71	в данном случае	12	1
72	в том или	1	1
73	и все же	4	1
74	не только от	2	1
75	в отличие от	6	1
76	а в том	2	1
77	следует сказать и	1	1
78	виде в каком	1	1
79	в одну из	1	1
80	из них не	1	1
81	говорить не приходится	1	1
82	но и от	2	1
83	тем или иным	2	1
84	и того же	2	1
85	же самое происходит	1	1
86	один и тот	1	1
87	новое и особенно	1	1
88	случае мы имеем	1	1
89	не может не	1	1
90	что все эти	1	1
91	том или ином	1	1
92	еще при жизни	1	1
93	которые к тому	1	1
94	на этот раз	1	1
95	в самом деле	3	1
96	в таком случае	1	1
97	но с другой	1	1
98	в этом процессе	1	1
99	состоит в том	5	1
100	для него событий	1	1
101	только то что	1	1
102	не представляется возможным	1	1
103	как бы в	2	1
104	оставляя после себя	1	1
105	сказать и о	1	1
106	с другой стороны	1	1
107	к нему в	1	1
108	не в том	1	1
109	в то время	1	1
110	но они не	1	1
111	жизни а именно	1	1
112	вернемся к тому	1	1
113	здесь говорить не	1	1
114	еще и потому	1	1
115	с этого момента	1	1
116	это главным образом	1	1
117	одного и того	2	1
118	в этом последнем	2	1
119	лишь то что	1	1
