N	2gram	Bakhtin_Pr	KFilosof
1	может быть	23	45
2	в его	15	42
3	в нем	21	32
4	не может	18	29
5	и не	41	28
6	и в	83	28
7	по отношению	6	26
8	в котором	8	24
9	не есть	1	22
10	отношению к	5	22
11	в себе	10	21
12	только в	10	18
13	и его	13	18
14	в своем	2	17
15	в ее	3	17
16	а не	19	17
17	в этом	24	15
18	для него	1	13
19	как момент	1	13
20	не в	10	13
21	точки зрения	17	13
22	к нему	3	12
23	мир в	1	12
24	ни в	4	12
25	и единственного	1	12
26	но не	9	12
27	и это	3	12
28	в своей	5	11
29	все эти	9	11
30	во всех	15	11
31	в единственном	1	10
32	все это	11	10
33	это не	10	10
34	с точки	13	10
35	его целом	1	10
36	и есть	1	10
37	бытия и	5	10
38	от себя	1	10
39	и для	5	10
40	в целом	3	10
41	в их	7	9
42	и все	14	9
43	единого и	2	9
44	но и	16	9
45	как бы	27	9
46	для нее	1	9
47	не было	5	8
48	если бы	1	8
49	быть только	2	8
50	в мире	8	8
51	со стороны	1	8
52	было бы	6	8
53	лишь в	1	8
54	в себя	8	8
55	жизни и	13	8
56	себя в	1	8
57	во всем	5	7
58	и здесь	4	7
59	этот момент	1	7
60	что и	4	7
61	вовсе не	12	7
62	уже не	5	7
63	совершенно не	4	7
64	то что	14	7
65	конечно не	11	7
66	на основе	4	7
67	ее и	1	6
68	мир как	1	6
69	должно быть	4	6
70	но все	1	6
71	но эта	2	6
72	менее всего	4	6
73	я не	6	6
74	не имеет	1	6
75	в смысле	2	6
76	в том	22	6
77	и их	6	6
78	и действительно	3	6
79	отношение к	14	6
80	жизнь как	1	6
81	место в	3	6
82	он не	5	6
83	но это	7	6
84	от его	1	5
85	со всем	1	5
86	то же	10	5
87	ко всему	1	5
88	мы имеем	4	5
89	не только	14	5
90	с ним	3	5
91	но как	2	5
92	его в	4	5
93	не проникает	2	5
94	не знает	8	5
95	в основе	6	5
96	но в	12	5
97	именно в	3	5
98	бы быть	1	5
99	но ведь	3	5
100	как и	13	5
101	все же	3	5
102	жизни в	4	5
103	себя и	3	5
104	еще не	10	5
105	что я	2	5
106	время и	3	5
107	хотя бы	6	5
108	в одном	4	5
109	от своей	2	5
110	а в	4	5
111	я и	2	5
112	его как	3	5
113	жизни как	4	5
114	там где	3	5
115	никогда не	10	5
116	что в	5	4
117	отношению ко	1	4
118	поскольку мы	1	4
119	должна быть	1	4
120	и весь	1	4
121	при этом	6	4
122	что это	2	4
123	о нем	2	4
124	не как	5	4
125	прежде всего	20	4
126	но изнутри	1	4
127	в своих	4	4
128	как его	2	4
129	с ними	2	4
130	мира и	3	4
131	том что	9	4
132	в чем	1	4
133	могло бы	3	4
134	и жизни	3	4
135	входит в	1	4
136	нисколько не	1	4
137	во всей	5	4
138	между тем	2	4
139	здесь мы	3	4
140	его конкретной	1	4
141	времени и	4	4
142	тем самым	2	4
143	и т.д	5	4
144	к ним	5	4
145	из него	1	4
146	меня не	1	4
147	жизни но	1	3
148	от него	3	3
149	и может	1	3
150	та же	1	3
151	и на	27	3
152	слово не	1	3
153	здесь нет	2	3
154	на язык	4	3
155	и пр	1	3
156	мы не	7	3
157	тогда когда	1	3
158	того что	1	3
159	где он	1	3
160	и этим	3	3
161	ее целом	1	3
162	сознания и	1	3
163	на самом	2	3
164	в виду	3	3
165	и тот	4	3
166	и делает	1	3
167	положения в	3	3
168	и отношения	1	3
169	ибо все	1	3
170	в некотором	1	3
171	тем что	2	3
172	но для	2	3
173	людей и	6	3
174	в акте	1	3
175	в корне	1	3
176	отвлечения от	1	3
177	не дает	3	3
178	рядом с	2	3
179	не менее	4	3
180	для этой	2	3
181	по своему	6	3
182	бы не	1	3
183	здесь не	5	3
184	один и	1	3
185	его жизни	2	3
186	войти в	3	3
187	лишь как	1	3
188	себе и	2	3
189	в момент	1	3
190	и другого	2	3
191	но конечно	3	3
192	той или	2	3
193	в каждом	5	3
194	это и	1	3
195	бы и	3	3
196	моменты и	1	3
197	что не	1	3
198	не могу	3	3
199	но здесь	2	3
200	в свою	1	3
201	не должен	1	3
202	и ни	1	3
203	лежат в	1	3
204	в другом	1	3
205	для того	1	3
206	в ней	8	3
207	быть и	2	3
208	вступает в	1	3
209	и та	1	3
210	других людей	2	3
211	как событие	1	3
212	этом смысле	5	3
213	в современной	1	3
214	человека и	10	3
215	с человеком	3	3
216	а лишь	2	3
217	мы здесь	4	3
218	нем и	1	3
219	целом и	1	3
220	из его	1	3
221	нет и	3	3
222	только с	3	3
223	могут быть	5	3
224	до конца	3	3
225	о том	3	3
226	теории и	1	3
227	тем как	1	3
228	и единство	1	3
229	в то	8	3
230	а следовательно	2	3
231	события в	1	3
232	независимо от	1	3
233	всех этих	2	3
234	и совершенно	3	3
235	тот же	2	3
236	и тем	4	3
237	ничего не	8	3
238	в единство	1	3
239	котором он	2	3
240	меня и	1	3
241	или иным	1	2
242	были бы	1	2
243	его целостности	1	2
244	и развивается	1	2
245	один из	7	2
246	вступить в	2	2
247	необходимый момент	1	2
248	бы он	1	2
249	ему в	1	2
250	и конечно	2	2
251	его с	2	2
252	оценки и	1	2
253	дело с	1	2
254	еще более	6	2
255	конечно в	2	2
256	тому что	1	2
257	есть его	1	2
258	герой и	3	2
259	мысль не	1	2
260	все ценности	1	2
261	в теоретическом	1	2
262	а это	2	2
263	чтобы стать	1	2
264	это уже	2	2
265	тем не	2	2
266	так и	9	2
267	жить и	4	2
268	из которых	2	2
269	и то	2	2
270	в качестве	1	2
271	и свой	2	2
272	нами в	1	2
273	и само	1	2
274	по себе	3	2
275	жизни мира	1	2
276	со всеми	8	2
277	могут стать	1	2
278	он может	2	2
279	не о	2	2
280	этических норм	1	2
281	даны в	1	2
