N	3gram	Propp_Isto	UchenyiS
1	не может быть	5	4
2	то ни было	1	3
3	с другой стороны	17	3
4	бы то ни	1	3
5	и то что	1	2
6	в том что	7	2
7	в самом деле	1	2
8	до сих пор	4	2
9	то же самое	1	2
10	еще ничего не	1	2
11	что по его	1	1
12	друг с другом	1	1
13	и в конце	1	1
14	дело конечно не	1	1
15	так или иначе	2	1
16	на своем месте	1	1
17	на первый взгляд	5	1
18	в своей работе	2	1
19	она сводится к	1	1
20	не входит в	1	1
21	таким образом на	1	1
22	это не вполне	1	1
23	с тем что	2	1
24	с одной стороны	11	1
25	еще один пример	1	1
26	она все же	1	1
27	можно сказать что	1	1
28	конечно не в	1	1
29	вот почему и	1	1
30	на первый план	1	1
31	это не все	1	1
32	все это в	1	1
33	на то что	1	1
34	не только в	9	1
35	одним из самых	1	1
36	более или менее	3	1
37	что она все	1	1
38	но это не	3	1
39	в данном случае	7	1
40	то что все	1	1
41	мы имеем в	7	1
42	и все они	1	1
43	в этом случае	4	1
44	все же не	1	1
45	и у других	1	1
