N	3gram	Trubetskoy	TeoriaLi
1	в том что	3	10
2	по отношению к	1	10
3	в то же	2	8
4	то же время	2	8
5	в отличие от	1	7
6	с другой стороны	1	6
7	более или менее	5	6
8	состоит в том	1	6
9	не может быть	1	5
10	для того чтобы	5	5
11	так или иначе	3	5
12	в данном случае	1	5
13	одного и того	1	4
14	и того же	1	4
15	в свою очередь	1	3
16	той или иной	2	3
17	с точки зрения	6	3
18	имеем в виду	1	3
19	в том числе	5	3
20	тем не менее	3	3
21	можно сказать что	2	3
22	мы имеем в	1	3
23	в связи с	3	3
24	с одной стороны	7	3
25	в слове о	1	2
26	до известной степени	1	2
27	этой точки зрения	2	2
28	с этой точки	2	2
29	в самом деле	1	2
30	в таком случае	1	2
31	слове о полку	1	2
32	но в то	1	2
33	том числе и	4	2
34	и в то	1	2
35	в соответствии с	1	2
36	а с другой	5	2
37	не только не	1	2
38	тем или иным	1	2
39	то ни было	2	2
40	как и ее	1	2
41	о полку игореве	1	2
42	бы то ни	2	2
43	может быть и	2	2
44	может и не	1	1
45	жизни то есть	1	1
46	неизбежно заключает в	1	1
47	в одном и	1	1
48	и потому что	2	1
49	те и другие	2	1
50	и том же	1	1
51	иметь в виду	1	1
52	вследствие того что	1	1
53	ни к чему	1	1
54	к чему не	1	1
55	на задний план	1	1
56	по крайней мере	5	1
57	о том что	4	1
58	то или иное	2	1
59	есть как бы	2	1
60	случае мы имеем	1	1
61	в ритмическом отношении	1	1
62	заключает в себе	2	1
63	как бы в	1	1
64	каждая из которых	1	1
65	и те и	2	1
66	это и есть	1	1
67	как видно из	1	1
68	тем и другим	1	1
69	в настоящее время	1	1
70	не совпадает с	1	1
71	при этом не	1	1
72	именно потому что	1	1
73	области духовной культуры	2	1
74	а между тем	1	1
75	в первом случае	1	1
76	в то время	1	1
77	в первую очередь	1	1
78	при этом может	1	1
79	речь идет о	1	1
80	точно так же	3	1
81	так же как	3	1
82	более высокое место	1	1
83	в том или	1	1
84	во всей своей	1	1
85	а в том	1	1
86	но не с	1	1
87	к тому же	4	1
88	своей индивидуальности и	1	1
89	в области духовной	1	1
90	то же самое	2	1
91	и в сущности	1	1
92	каждая из этих	1	1
93	что даже в	1	1
94	том или ином	1	1
95	только то что	1	1
96	одном и том	1	1
97	того чтобы такое	1	1
98	еще и потому	1	1
99	и в этой	1	1
