N	3gram	Propp_Morf	KulturaY
1	и т д	60	42
2	для того чтобы	3	38
3	с точки зрения	6	36
4	в том что	4	33
5	можно было бы	2	25
6	тем не менее	6	19
7	во всяком случае	2	19
8	с другой стороны	5	17
9	до сих пор	1	14
10	по отношению к	7	13
11	в связи с	9	12
12	не может быть	9	11
13	в этом отношении	2	11
14	о том что	3	10
15	на самом деле	4	8
16	в этом случае	10	8
17	в том случае	3	7
18	в свою очередь	1	7
19	и тем не	2	7
20	только в том	1	7
21	с одной стороны	2	7
22	после того как	1	7
23	то же время	1	6
24	той или иной	1	6
25	этой точки зрения	1	6
26	было бы сказать	1	6
27	в то же	1	6
28	дело не в	2	5
29	с этой точки	1	5
30	и пр и	3	5
31	более или менее	2	5
32	в данном случае	2	5
33	но все же	4	5
34	что же касается	1	5
35	не потому что	1	5
36	на этот вопрос	1	5
37	т е на	1	4
38	то же в	1	4
39	том что он	1	4
40	в иных случаях	2	4
41	в первом случае	3	4
42	к тому что	4	4
43	к вопросу о	2	4
44	состоит в том	3	4
45	т е о	1	4
46	т д и	1	4
47	на то что	3	4
48	бы сказать что	1	4
49	точно так же	2	4
50	в этой области	1	4
51	о том как	2	3
52	в таком случае	1	3
53	совершенно ясно что	1	3
54	в наши дни	1	3
55	вместо того чтобы	1	3
56	тех или иных	1	3
57	тех случаях когда	2	3
58	мы приходим к	3	3
59	не то что	1	3
60	те или иные	1	3
61	в тех случаях	2	3
62	том случае когда	1	3
63	мы увидим что	2	3
64	в настоящее время	3	3
65	в то время	3	3
66	уже не может	1	3
67	в противном случае	1	3
68	прежде всего следует	3	3
69	что и в	1	3
70	не могут быть	4	3
71	тем что она	1	3
72	в таких случаях	2	3
73	том случае если	2	3
74	уже не только	1	3
75	эти могут быть	1	3
76	это не значит	2	2
77	в тех же	4	2
78	в применении к	1	2
79	но если это	2	2
80	можно себе представить	1	2
81	в большинстве случаев	3	2
82	это дает нам	1	2
83	здесь прежде всего	3	2
84	самом деле в	1	2
85	в собственном смысле	3	2
86	ответить на этот	1	2
87	и в других	2	2
88	и тот же	1	2
89	между тем не	1	2
90	потому что в	1	2
91	но они не	1	2
92	может быть заменено	1	2
93	и то же	1	2
94	иметь в виду	1	2
95	то во всяком	1	2
96	поставить вопрос о	1	2
97	в научной литературе	2	2
