N	2gram	Tiupa_Narr	Myshleni
1	в том	20	195
2	внутренней речи	3	191
3	в этом	23	167
4	то что	14	166
5	и в	22	162
6	том что	15	161
7	в развитии	1	151
8	таким образом	5	147
9	точки зрения	8	143
10	с помощью	2	131
11	что в	6	119
12	не только	50	116
13	того что	7	109
14	в процессе	2	101
15	так же	2	100
16	речи и	1	99
17	потому что	7	95
18	того чтобы	7	91
19	может быть	24	89
20	с точки	2	89
21	что он	7	86
22	не может	16	81
23	как и	15	79
24	для того	4	78
25	так как	1	78
26	и не	34	78
27	только в	23	75
28	в целом	5	74
29	как мы	3	72
30	но и	39	70
31	в его	12	67
32	сказать что	5	65
33	как бы	11	64
34	вместе с	3	62
35	представляет собой	21	60
36	и что	1	60
37	было бы	2	60
38	в качестве	27	60
39	то же	12	58
40	в основе	1	58
41	мышления в	1	56
42	в отношении	1	55
43	могли бы	1	54
44	между собой	3	53
45	в силу	5	53
46	что мы	2	53
47	в самом	8	52
48	по сравнению	1	51
49	в сущности	2	51
50	мы должны	1	50
51	к тому	13	49
52	что они	1	48
53	тем что	1	48
54	мы можем	2	48
55	мы не	5	47
56	сравнению с	1	46
57	если бы	9	46
58	по отношению	5	45
59	но не	7	45
60	с другой	6	45
61	с тем	1	43
62	же как	2	43
63	тем самым	9	43
64	тому что	4	42
65	как это	7	42
66	отношению к	5	42
67	в ходе	4	41
68	не является	7	41
69	о том	5	40
70	по своей	3	40
71	одной стороны	5	40
72	никогда не	8	39
73	с одной	5	39
74	так и	12	39
75	мы видели	1	38
76	в области	4	38
77	и к	7	37
78	вопрос о	1	37
79	не в	12	37
80	в этой	8	37
81	в своем	7	36
82	речи как	1	36
83	все эти	3	36
84	как в	9	36
85	а не	27	36
86	и его	12	36
87	того же	2	35
88	с другом	1	35
89	можно было	2	35
90	в себе	14	35
91	в которой	2	35
92	и т.д	7	35
93	друг с	1	35
94	он не	8	35
95	для себя	3	35
96	связи с	3	34
97	и как	4	34
98	приводит к	2	34
99	прежде всего	7	33
100	при этом	31	33
101	по себе	4	33
102	именно в	5	32
103	и на	5	32
104	той же	2	32
105	нас к	1	32
106	по своему	3	32
107	же самое	3	32
108	что и	3	32
109	и тем	9	32
110	но в	10	32
111	слова и	1	32
112	все же	10	31
113	из того	1	31
114	и то	3	31
115	мысли и	1	30
116	на то	4	30
117	этом отношении	5	30
118	между тем	5	29
119	как известно	3	29
120	могут быть	1	29
121	с этим	1	28
122	что с	2	28
123	самом деле	4	28
124	переход от	2	28
125	к слову	1	28
126	только что	4	27
127	с этой	3	27
128	в результате	4	27
129	другой стороны	2	27
130	в то	9	27
131	и с	3	27
132	в своей	8	27
133	что все	1	27
134	речи но	1	27
135	перед нами	9	27
136	в их	1	26
137	что это	4	26
138	для него	8	26
139	в частности	23	26
140	в чем	3	25
141	что она	3	25
142	еще не	6	25
143	уже в	1	25
144	все это	1	25
145	можно сказать	11	25
146	по мере	2	25
147	только не	2	25
148	мы уже	1	25
149	это не	6	25
150	тот же	1	24
151	зависимости от	3	24
152	целый ряд	1	24
153	в сфере	2	24
154	на этот	2	24
155	того как	1	24
156	в какой	2	24
157	так что	1	24
158	что эта	1	24
159	в нем	9	24
160	в слове	4	24
161	оба эти	1	24
162	друг друга	2	23
163	в детском	1	23
164	этот вопрос	1	23
165	состоит в	19	23
166	бы в	2	23
167	отношение между	1	23
168	ни в	1	23
169	как он	3	23
170	связи между	1	23
171	слова в	4	23
172	во всяком	2	22
173	не могут	1	22
174	то время	1	22
175	процесс развития	1	22
176	столь же	6	22
177	в известном	4	22
178	и мышления	1	22
179	в зависимости	3	22
180	отношения между	1	22
181	между ними	3	21
182	человеческой речи	1	21
183	к этому	2	21
184	как говорит	1	21
185	и ее	3	21
186	с таким	1	21
187	на основании	1	21
188	в нашем	4	21
189	его в	1	21
190	все время	2	21
191	там где	1	21
192	и все	7	21
193	не имеет	3	21
194	в сознании	6	21
195	ее в	1	21
196	и более	2	21
197	отношение к	2	21
198	в виду	2	20
199	не менее	6	20
200	в котором	3	20
201	в другом	5	20
202	к которому	1	20
203	из них	4	20
204	время как	1	20
205	из этих	6	20
206	в такой	1	20
207	а в	19	20
208	едва ли	5	20
209	как раз	9	20
210	как показывает	2	20
211	на этом	1	20
212	должно быть	1	20
213	в речи	5	19
214	но мы	1	19
215	в связи	3	19
216	во всех	2	19
217	а с	2	19
218	и по	3	19
219	один из	8	19
220	в данном	17	19
221	для других	3	19
222	в той	4	19
223	мы и	2	19
224	как на	2	19
225	с ним	6	19
226	в себя	3	19
227	из которых	1	19
228	во всем	1	18
229	в психологии	1	18
230	одного и	2	18
231	но это	2	18
232	в отличие	6	18
233	отличие от	6	18
234	в образовании	1	18
235	для развития	1	18
236	этом смысле	1	18
237	всяком случае	2	18
238	в этих	3	17
239	в своих	2	17
240	к другим	1	17
241	их в	4	17
242	казалось бы	2	17
243	в одном	5	17
244	я не	5	17
245	сих пор	3	17
246	до сих	3	17
247	в свою	4	17
248	тем же	3	17
249	до конца	2	17
250	и для	4	17
251	для этого	1	17
252	все что	4	17
253	иначе как	1	17
254	и того	5	17
255	у него	13	17
256	этой точки	1	17
257	и от	3	17
258	и есть	1	17
259	то и	3	17
260	интересующей нас	1	17
261	и только	2	17
262	своей природе	1	16
263	в которых	1	16
264	языка и	1	16
265	значение в	1	16
266	мы имеем	6	16
267	вовсе не	2	16
268	к одному	1	16
269	которые не	1	16
270	и даже	4	16
271	между двумя	6	16
272	по поводу	3	16
273	то в	4	16
274	перехода от	2	16
275	для нас	2	16
276	тому как	4	16
277	является в	1	15
278	что при	1	15
279	и является	2	15
280	подобно тому	4	15
281	со всеми	3	15
282	данном случае	12	15
283	тем более	2	15
284	хотя бы	4	15
285	в начале	4	15
286	отличается от	1	15
287	между этими	1	15
288	но как	3	15
289	известном смысле	4	15
290	которое мы	1	15
291	представить себе	3	15
292	на всем	1	15
293	ничего не	8	15
294	как она	2	15
295	является не	1	15
296	когда он	1	15
297	но что	1	14
298	свою очередь	2	14
