N	3gram	Vygotskiy_	Narrotol
1	в том что	20	18
2	в данном случае	5	17
3	в отличие от	1	11
4	к тому же	2	9
5	о том что	8	9
6	не может быть	3	8
7	в этом отношении	1	8
8	и тем самым	1	6
9	состоит в том	2	6
10	можно сказать что	1	6
11	с одной стороны	6	6
12	для того чтобы	17	5
13	но при этом	1	5
14	в свою очередь	3	5
15	на самом деле	3	5
16	подобно тому как	1	5
17	и все же	1	5
18	начала и конца	1	4
19	в конечном счете	1	4
20	к тому что	5	4
21	во всяком случае	6	4
22	которая состоит в	1	3
23	в том как	2	3
24	заключает в себе	1	3
25	в самом деле	29	3
26	и не может	1	3
27	а в том	1	3
28	до сих пор	6	3
29	в этом и	1	3
30	в первом случае	1	3
31	речь идет о	5	3
32	в зависимости от	1	3
33	точно так же	3	3
34	то же самое	12	3
35	а также и	1	3
36	внимание на то	3	3
37	того или иного	2	3
38	на то что	16	3
39	с точки зрения	11	3
40	как раз в	3	3
41	несет в себе	3	3
42	и то что	3	3
43	мере в какой	1	2
44	все то что	13	2
45	и т п	7	2
46	здесь не только	1	2
47	если бы она	2	2
48	не в том	2	2
49	более или менее	1	2
50	и то же	3	2
51	в таком случае	1	2
52	одного и того	1	2
53	что у него	2	2
54	сами по себе	3	2
55	а между тем	1	2
56	может быть не	2	2
57	как и всякий	1	2
58	не только не	3	2
59	как если бы	3	2
60	и того же	1	2
61	на то чтобы	2	2
62	а с другой	1	2
63	это то что	1	2
64	прежде всего на	1	2
65	на второй план	1	2
66	в том смысле	2	2
67	но все же	1	2
68	но и не	1	2
69	здесь мы имеем	1	2
70	тому или иному	1	2
71	для нее было	1	2
72	одно и то	3	2
73	можно было бы	6	2
74	так же как	2	2
75	в этом месте	1	2
76	не зависит от	1	2
77	на первый взгляд	1	2
78	что иное как	1	2
79	как бы в	1	2
80	всего рассказа а	1	1
81	не могли бы	1	1
82	в том именно	1	1
83	и тот же	1	1
84	и столь же	1	1
85	и как бы	2	1
86	перед мысленным взором	1	1
87	мы уже знаем	2	1
88	вслед за этим	2	1
89	не могло бы	1	1
90	о том как	3	1
91	никак не может	3	1
92	том смысле что	1	1
93	в той же	2	1
94	что в ней	3	1
95	то что он	3	1
96	по сравнению с	1	1
97	бы перед нами	1	1
98	целый ряд других	1	1
99	и в другом	2	1
100	самом деле в	1	1
101	то или иное	1	1
102	в первый раз	2	1
103	степени в какой	1	1
104	он не может	1	1
105	которые все еще	1	1
106	в обращении с	1	1
107	иначе говоря мы	1	1
108	бы не было	1	1
109	потому что в	2	1
110	свидетельствует о том	1	1
111	могло бы быть	1	1
112	но они не	1	1
113	так или иначе	1	1
114	сам по себе	2	1
115	друг с другом	2	1
116	что для него	2	1
117	в том случае	4	1
118	в разговоре с	1	1
119	с этой стороны	1	1
120	и о его	1	1
121	таким образом что	2	1
122	что все эти	2	1
123	бросается в глаза	2	1
124	по мере усиления	1	1
125	и о каждом	1	1
126	по аналогии с	2	1
127	каждого из этих	1	1
128	первая из этих	1	1
129	том что в	1	1
130	в том или	1	1
131	в своем роде	2	1
132	и всякий другой	1	1
133	из них не	1	1
134	того о чем	1	1
135	жизни а не	1	1
136	имеет место в	2	1
137	но в этом	1	1
138	несмотря на свой	1	1
139	но в его	1	1
140	в своем составе	1	1
141	только то что	3	1
142	как мы узнаем	1	1
143	слушатель или читатель	1	1
144	с другой стороны	5	1
145	из того что	1	1
146	перед нами совершенно	1	1
147	да и не	1	1
148	как мы увидим	2	1
149	а не только	1	1
150	не то что	4	1
151	автора и читателя	1	1
152	о которых он	1	1
153	случае если она	2	1
154	не мог бы	1	1
155	или хотя бы	1	1
156	в ней есть	1	1
157	и т д	6	1
158	ему что он	1	1
159	в евгении онегине	2	1
160	при этом становится	1	1
161	которые по словам	1	1
162	к такого рода	1	1
163	то есть в	1	1
