N	2gram	Voloshinov	VelikijI
1	и не	14	20
2	и в	42	16
3	так как	8	9
4	то что	9	9
5	в истории	1	8
6	еще не	3	8
7	и потому	2	7
8	а не	7	7
9	к людям	1	6
10	человека и	2	6
11	не есть	2	6
12	хотя и	3	5
13	того что	4	5
14	все это	4	5
15	как бы	30	5
16	на себя	1	5
17	в мире	2	5
18	но и	16	5
19	все что	1	4
20	в котором	3	4
21	в этом	10	4
22	что мы	11	4
23	потому что	7	4
24	в его	6	4
25	в ней	8	4
26	так и	7	4
27	это еще	1	4
28	говорить о	1	4
29	они будут	1	4
30	и есть	1	4
31	и все	4	4
32	как и	12	4
33	что он	2	4
34	к личности	1	4
35	в нем	6	4
36	во всех	6	3
37	что в	1	3
38	нет ничего	2	3
39	бы и	2	3
40	за ним	1	3
41	в конце	6	3
42	должно быть	2	3
43	если не	3	3
44	хотя бы	18	3
45	в том	3	3
46	тому что	5	3
47	этих трех	1	3
48	не в	6	3
49	и что	1	3
50	что и	3	3
51	ни в	1	3
52	превращается в	1	3
53	людей он	1	3
54	в этих	2	3
55	в вопросе	1	3
56	не было	2	3
57	лишь в	4	3
58	к чему	2	3
59	и будет	1	3
60	в жизни	2	3
61	что я	1	3
62	как не	2	3
63	их в	3	3
64	в своей	2	3
65	с его	8	3
66	от этого	1	3
67	но это	2	3
68	и для	3	3
69	истории человечества	1	3
70	жизни и	3	3
71	в чем	1	3
72	все эти	3	3
73	тот же	2	3
74	отвращение к	1	3
75	но в	5	3
76	к тому	4	3
77	никогда не	7	3
78	что было	3	2
79	всего в	4	2
80	его и	3	2
81	материалом для	1	2
82	а к	3	2
83	один из	4	2
84	в последнем	1	2
85	более чем	1	2
86	в земной	1	2
87	его не	2	2
88	не так	3	2
89	того чтобы	7	2
90	это не	3	2
91	между тем	3	2
92	не только	28	2
93	для него	3	2
94	и тогда	2	2
95	с ним	2	2
96	является в	1	2
97	не будет	3	2
98	ее в	1	2
99	для нас	3	2
100	и то	5	2
101	не с	3	2
102	прежде всего	22	2
103	лишь из	1	2
104	для них	2	2
105	можно было	4	2
106	в форме	6	2
107	вслед за	1	2
108	и это	8	2
109	от этих	1	2
110	мы не	9	2
111	конечно не	3	2
112	и теперь	1	2
113	только в	7	2
114	все равно	1	2
115	а с	5	2
116	те которые	1	2
117	а в	5	2
118	до того	3	2
119	будет уже	1	2
120	истории и	1	2
121	и сам	2	2
122	людей так	1	2
123	нет и	3	2
124	это мы	1	2
125	раз навсегда	1	2
126	но не	2	2
127	и никогда	1	2
128	тем что	2	2
129	и во	1	2
130	мы это	1	2
131	с тем	8	2
132	уж конечно	1	2
133	одна из	1	2
134	назначения в	1	2
135	не могут	1	2
136	да и	4	2
137	том что	3	2
138	когда в	1	2
139	так много	1	2
140	для человека	1	2
141	но мы	2	2
142	в себя	1	2
143	уже не	4	2
144	вопросе о	1	2
145	не к	4	2
146	я был	1	1
147	в новом	1	1
148	в самом	5	1
149	и каким	1	1
150	ли они	1	1
151	перестает быть	1	1
152	конечно это	1	1
153	связь с	2	1
154	и другие	1	1
155	то есть	5	1
156	только себя	1	1
157	человека в	2	1
158	но как	2	1
159	мы видим	4	1
160	и самое	1	1
161	что оно	3	1
162	человек был	1	1
163	слова которое	1	1
164	из сторон	1	1
165	они станут	1	1
