N	4gram	Losev_Dial	TeoriaLi
1	в то же время	7	8
2	ни в коем случае	1	2
3	в коем случае не	1	2
4	в том что он	1	2
5	одно и то же	8	2
6	но в то же	1	2
7	приводит к тому что	1	2
8	и в то же	3	2
9	но в силу своей	1	1
10	как один из видов	2	1
11	сама по себе а	1	1
12	иметь в виду что	2	1
13	не что иное как	4	1
14	а между тем в	1	1
15	в том что она	1	1
16	как более или менее	2	1
17	но я никогда не	1	1
18	с одной стороны и	3	1
19	дело в том что	1	1
20	всегда так или иначе	1	1
21	не содержит в себе	1	1
22	то или иное логическое	1	1
23	не сама по себе	1	1
24	в связи с этим	2	1
25	том или ином отношении	1	1
26	точно так же как	1	1
27	есть не что иное	3	1
