N	2gram	Voloshinov	VerxiiNi
1	и в	42	26
2	таким образом	8	22
3	с тем	8	18
4	в этом	10	15
5	вместе с	5	15
6	точки зрения	11	13
7	как бы	30	12
8	в том	3	11
9	не только	28	10
10	и с	5	10
11	может быть	13	10
12	из этих	2	10
13	что в	1	9
14	так как	8	9
15	связи с	3	9
16	но и	16	9
17	в области	6	9
18	в общем	1	8
19	и не	14	8
20	главным образом	3	8
21	с другой	1	8
22	но не	2	8
23	но все	5	7
24	связанные с	2	7
25	том что	3	7
26	потому что	7	7
27	а с	5	7
28	то что	9	7
29	но в	5	7
30	из них	3	7
31	к нему	2	7
32	так и	7	6
33	в конце	6	6
34	несмотря на	3	6
35	все это	4	6
36	что и	3	6
37	в отношении	2	6
38	все эти	3	6
39	все же	9	6
40	к тому	4	6
41	о том	4	6
42	и потому	2	6
43	мы должны	10	6
44	и т.д	21	6
45	с точки	5	6
46	в себе	10	6
47	того же	1	6
48	и к	4	5
49	до сих	1	5
50	в его	6	5
51	тому же	2	5
52	более или	1	5
53	в мире	2	5
54	или менее	1	5
55	сих пор	2	5
56	по крайней	1	5
57	того чтобы	7	5
58	для того	9	5
59	так же	4	5
60	лишь в	4	5
61	отношение к	2	5
62	одной из	2	5
63	образом в	1	5
64	в силу	1	5
65	а не	7	5
66	и для	3	5
67	крайней мере	1	5
68	никогда не	7	5
69	в самом	5	4
70	что оно	3	4
71	ничем не	2	4
72	то есть	5	4
73	и по	1	4
74	то же	16	4
75	из которых	3	4
76	только в	7	4
77	в этих	2	4
78	должен был	1	4
79	с другими	2	4
80	целый ряд	3	4
81	что он	2	4
82	в которых	2	4
83	русской жизни	1	4
84	в котором	3	4
85	в течение	1	4
86	и тогда	2	4
87	он не	2	4
88	и что	1	4
89	а в	5	4
90	в этой	6	4
91	и от	7	4
92	не может	13	4
93	на этот	2	4
94	в виде	1	4
95	в то	9	4
96	в нем	6	4
97	во время	1	4
98	в так	2	4
99	уже с	1	3
100	к сожалению	1	3
101	и другие	1	3
102	с этой	1	3
103	и при	2	3
104	при этом	9	3
105	для него	3	3
106	из всех	1	3
107	что это	4	3
108	тем не	1	3
109	и если	1	3
110	в качестве	4	3
111	в результате	1	3
112	к достижению	2	3
113	и даже	3	3
114	если бы	4	3
115	в которой	7	3
116	с ней	2	3
117	с самого	4	3
118	в таком	1	3
119	в связи	2	3
120	ясно что	2	3
121	и как	10	3
122	же как	1	3
123	если в	1	3
124	не менее	1	3
125	из которого	1	3
126	путь к	1	3
127	и нет	2	3
128	что эти	3	3
129	можно сказать	4	3
130	за собой	1	3
131	хотя бы	18	3
132	в значительной	2	3
133	представляет собой	2	3
134	так что	1	3
135	так называемые	4	3
136	у них	3	3
137	когда он	1	3
138	в одном	4	3
139	оказывается что	1	3
140	и те	2	3
141	к ним	1	3
142	и о	1	3
143	культуры и	1	3
144	отношению к	2	3
145	в своем	1	3
146	уже не	4	3
147	подойти к	2	3
148	с течением	1	3
149	к этому	2	3
150	конце концов	3	3
151	того что	4	3
152	течением времени	1	3
153	связан с	1	2
154	все что	1	2
155	взгляд на	1	2
156	для всех	2	2
157	один из	4	2
158	и здесь	3	2
159	ему в	1	2
160	и на	7	2
161	связанных с	5	2
162	благодаря этому	1	2
163	свидетельствует о	1	2
164	к одной	1	2
165	уже в	5	2
166	тогда когда	1	2
167	мы имеем	2	2
168	не с	3	2
169	человека над	1	2
170	утверждать что	1	2
171	этом отношении	2	2
172	только не	1	2
173	те же	5	2
174	не как	1	2
175	прежде всего	22	2
176	одно из	1	2
177	как от	1	2
178	этими двумя	1	2
179	не могут	1	2
180	связь с	2	2
181	похож на	1	2
182	не было	2	2
183	отличаются от	1	2
184	не в	6	2
185	образом если	1	2
186	в виду	3	2
187	одним из	1	2
188	мысль о	1	2
189	по существу	1	2
190	именно в	1	2
191	и действительно	1	2
192	в процессе	6	2
193	между этими	1	2
194	с одним	1	2
195	к которым	1	2
196	для каждого	2	2
197	в одно	1	2
198	по своему	3	2
199	на все	1	2
200	должно было	3	2
201	в новом	1	2
202	о котором	1	2
203	сравнению с	1	2
204	связанный с	2	2
205	так например	1	2
206	явлений природы	1	2
207	связано с	2	2
208	еще не	3	2
209	во всех	6	2
210	ли они	1	2
211	перестает быть	1	2
212	выступает в	1	2
213	мы можем	7	2
214	что мы	11	2
215	совершенно иной	1	2
216	если не	3	2
217	так называемой	4	2
218	но при	3	2
219	его не	2	2
220	без сновидений	1	2
