N	3gram	Medvedev_V	Poddanst
1	то же время	5	7
2	в то же	5	7
3	в том что	5	4
4	не только в	2	4
5	сами по себе	1	3
6	с одной стороны	2	3
7	но и в	1	2
8	в ней не	1	2
9	заключает в себе	1	2
10	в значительной мере	3	2
11	и в то	3	2
12	в том числе	2	2
13	одной стороны и	2	2
14	и т д	16	1
15	не было бы	4	1
16	эта не только	1	1
17	чуть ли не	2	1
18	вместе с тем	4	1
19	но в то	1	1
20	в применении к	1	1
21	том числе и	2	1
22	мы знаем что	2	1
23	не может быть	8	1
24	та или иная	3	1
25	в качестве общего	1	1
26	в этом смысле	1	1
27	по сравнению с	1	1
28	что во всех	1	1
29	и есть в	1	1
30	хотя бы и	5	1
31	главным образом на	1	1
32	во всяком случае	2	1
33	для того чтобы	3	1
34	и тем более	1	1
35	с другой стороны	8	1
36	и в качестве	1	1
37	и не может	2	1
38	мы не будем	1	1
39	не в том	2	1
40	более или менее	6	1
41	так же как	1	1
42	тот или иной	1	1
43	в частности в	2	1
