N	2gram	Bakhtin_Pr	VeschiIm
1	т е	44	81
2	не есть	4	79
3	и не	55	57
4	не только	26	48
5	то что	21	48
6	не может	26	46
7	и в	64	45
8	и есть	3	40
9	и т	14	39
10	может быть	43	39
11	т д	4	38
12	а не	29	37
13	что я	7	26
14	потому что	8	25
15	было бы	8	24
16	только в	13	23
17	по себе	16	23
18	что она	7	23
19	в себе	11	23
20	сказать что	4	22
21	в смысле	3	22
22	и что	5	22
23	как бы	33	20
24	что такое	2	20
25	и следовательно	7	20
26	что это	2	19
27	что же	9	19
28	с нею	2	19
29	но и	26	19
30	и ее	5	19
31	в этом	33	18
32	все же	11	18
33	так как	9	17
34	что мы	1	17
35	прежде всего	16	17
36	и это	8	17
37	таким образом	15	16
38	оно есть	1	16
39	того что	3	16
40	как раз	9	16
41	как и	25	15
42	уже не	15	15
43	в том	12	15
44	в ней	2	15
45	но это	6	14
46	не в	15	14
47	в самом	17	13
48	не будет	1	13
49	том что	8	13
50	и больше	1	13
51	есть и	5	13
52	и для	7	13
53	а и	1	13
54	это и	5	13
55	в себя	6	13
56	то ни	3	13
57	что в	11	12
58	и с	9	12
59	бы то	3	12
60	то же	18	12
61	и даже	5	12
62	есть нечто	2	12
63	есть то	3	12
64	о том	5	12
65	еще не	10	12
66	если мы	3	12
67	точки зрения	31	12
68	но если	1	12
69	ничего не	8	12
70	что они	1	12
71	ни было	4	12
72	не значит	4	12
73	совершенно не	5	12
74	что и	7	12
75	между собою	5	12
76	и как	9	12
77	смысл и	1	12
78	вещей и	1	12
79	и их	3	11
80	не менее	3	11
81	себя в	3	11
82	и пр	5	11
83	еще и	1	11
84	тем не	2	11
85	ни в	5	11
86	что не	3	11
87	вовсе не	12	11
88	предполагает что	1	11
89	также и	3	11
90	в то	15	11
91	и только	3	11
92	по крайней	2	10
93	крайней мере	2	10
94	что оно	2	10
95	с ее	1	10
96	я и	2	9
97	с ним	8	9
98	в результате	7	9
99	со стороны	1	9
100	бы и	6	9
101	то и	3	9
102	хотя бы	4	9
103	нисколько не	3	9
104	в своем	12	9
105	ни с	1	9
106	должно быть	8	9
107	это не	12	9
108	у нас	3	9
109	но что	1	9
110	бы в	7	9
111	если оно	3	9
112	она не	10	9
113	другими словами	1	9
114	так что	6	9
115	но не	12	9
116	на то	5	9
117	и его	21	9
118	как с	1	8
119	должна быть	8	8
120	это есть	1	8
121	если бы	12	8
122	смысла и	1	8
123	что он	15	8
124	себя и	5	8
125	отличается от	5	8
126	в свете	4	8
127	по сравнению	1	8
128	но в	14	8
129	мы не	4	8
130	мы имеем	1	8
131	для него	23	8
132	в ее	2	8
133	все это	9	8
134	со своим	2	8
135	с другими	8	8
136	в отношении	5	8
137	его в	8	8
138	указывает на	2	8
139	только и	1	8
140	и потому	7	8
141	в философии	1	8
142	не с	1	8
143	даже не	1	8
144	с другой	7	8
145	и явления	2	8
146	можно сказать	2	8
147	что есть	1	8
148	с этой	2	7
149	не действительность	1	7
150	в сущности	10	7
151	оно не	3	7
152	самом деле	10	7
153	все эти	13	7
154	тем что	6	7
155	сравнению с	1	7
156	ни на	3	7
157	в действительности	1	7
158	относится к	1	7
159	и тогда	1	7
160	слова и	8	7
161	не потому	2	7
162	без всякого	1	7
163	мог бы	1	7
164	никак не	4	7
165	вообще не	2	7
166	сама по	5	7
167	я не	6	7
168	и тем	1	7
169	е в	3	7
170	от того	4	7
171	а в	10	7
172	из них	3	7
173	в той	5	6
174	для себя	3	6
175	их в	8	6
176	в своей	11	6
177	с собою	4	6
178	в каком	1	6
179	в данном	2	6
180	в одном	20	6
181	и до	6	6
182	одна из	5	6
183	вопрос о	3	6
184	от ее	3	6
185	на почве	5	6
186	она имеет	2	6
187	для всякого	1	6
188	несмотря на	7	6
189	с точки	21	6
190	эти две	1	6
191	все равно	2	6
192	как же	6	6
193	или иначе	1	6
194	дело в	2	6
195	быть только	1	6
196	и другое	1	6
197	между ними	6	6
198	в нем	28	6
199	и вообще	1	6
200	так или	1	6
201	определенным образом	1	6
202	понимать себя	1	6
