N	2gram	Ircho_Kome	VelikijI
1	и не	28	20
2	и в	37	16
3	так как	16	9
4	то что	5	9
5	в истории	2	8
6	еще не	10	8
7	и потому	2	7
8	что они	3	7
9	а не	5	7
10	на земле	2	7
11	к людям	1	6
12	человека и	2	6
13	хотя и	6	5
14	того что	1	5
15	все это	7	5
16	ты не	1	5
17	как бы	7	5
18	бога и	1	5
19	на себя	10	5
20	в мире	2	5
21	но и	18	5
22	все что	6	4
23	в котором	6	4
24	в этом	18	4
25	что мы	4	4
26	потому что	19	4
27	в его	12	4
28	в ней	7	4
29	так и	4	4
30	говорить о	6	4
31	они будут	2	4
32	и есть	3	4
33	и все	6	4
34	что не	5	4
35	в образе	5	4
36	что все	1	4
37	как и	10	4
38	что он	15	4
39	и я	3	4
40	в нем	8	4
41	во всех	4	3
42	что в	11	3
43	нет ничего	4	3
44	к счастью	1	3
45	бы и	1	3
46	и мы	5	3
47	за ним	3	3
48	то это	5	3
49	в конце	14	3
50	мы же	1	3
51	если не	7	3
52	хотя бы	5	3
53	в том	24	3
54	любовь к	4	3
55	тому что	5	3
56	от которого	1	3
57	не в	7	3
58	не захотел	1	3
59	и что	8	3
60	что и	12	3
61	же ты	3	3
62	ни в	14	3
63	превращается в	1	3
64	в этих	2	3
65	в них	6	3
66	не было	6	3
67	что ты	3	3
68	в средство	1	3
69	в жизни	1	3
70	что я	5	3
71	по этому	3	3
72	как не	2	3
73	их в	3	3
74	в своей	6	3
75	должна быть	2	3
76	с его	6	3
77	от этого	1	3
78	не имеет	6	3
79	и для	7	3
80	жизни и	1	3
81	в чем	7	3
82	все эти	1	3
83	тот же	11	3
84	отвращение к	1	3
85	но в	7	3
86	к тому	11	3
87	за то	2	3
88	никогда не	5	3
89	все тот	1	2
90	чтобы сделать	1	2
91	всего в	1	2
92	тем кто	1	2
93	во всяком	3	2
94	от него	2	2
95	его и	3	2
96	третье и	1	2
97	ее и	1	2
98	над ними	1	2
99	а к	1	2
100	один из	6	2
101	это дело	2	2
102	которые не	1	2
103	более чем	6	2
104	ли ты	4	2
105	когда я	1	2
106	его не	3	2
107	не так	4	2
108	того чтобы	9	2
109	это не	3	2
110	вместо того	1	2
111	между тем	6	2
112	не только	13	2
113	для него	1	2
114	человека как	1	2
115	с ним	10	2
116	не будет	2	2
117	с презрением	1	2
118	пред тобой	1	2
119	для нас	7	2
120	не с	2	2
121	с тобой	1	2
122	прежде всего	7	2
123	для них	1	2
124	который тоже	1	2
125	можно было	3	2
126	людей и	2	2
127	вслед за	1	2
128	и это	4	2
129	мы не	6	2
130	конечно не	4	2
131	и теперь	2	2
132	только в	3	2
133	все равно	3	2
134	а с	2	2
135	а в	12	2
136	до того	4	2
137	в духе	1	2
138	в прошлом	1	2
139	в число	1	2
140	и сам	11	2
141	было еще	1	2
142	нет и	4	2
143	ненависти и	1	2
144	и последний	1	2
145	но не	9	2
146	и никогда	1	2
147	тем что	12	2
148	по которым	1	2
149	и во	3	2
150	могут быть	3	2
151	с тем	6	2
152	и т	5	2
153	мы слышим	1	2
154	его к	1	2
155	не могут	2	2
156	т д	1	2
157	да и	3	2
158	том что	22	2
159	когда в	1	2
160	почему в	2	2
161	так много	1	2
162	для человека	2	2
163	но мы	1	2
164	в себя	1	2
165	что их	4	2
166	не к	1	2
167	от своей	2	2
168	я говорю	2	2
169	с радостью	2	1
170	в новом	1	1
171	с которыми	1	1
172	отвергает все	1	1
173	в самом	17	1
174	во всем	2	1
175	бы то	3	1
176	ли они	1	1
177	в образах	1	1
178	которых этот	1	1
179	конечно это	1	1
180	могли бы	1	1
181	и другие	1	1
182	достоинства и	1	1
183	перестала быть	1	1
184	и стало	1	1
185	человека в	4	1
186	но как	1	1
187	мы видим	2	1
188	ты можешь	1	1
189	самой жизни	1	1
190	на котором	1	1
191	для нашего	1	1
192	тебя и	1	1
193	речь идет	5	1
194	из сторон	1	1
195	и столь	1	1
196	он говорит	3	1
197	будто бы	1	1
198	и на	6	1
199	ничем не	4	1
200	он дал	2	1
201	она и	2	1
202	вопрос о	2	1
203	с тремя	1	1
204	сошел с	1	1
205	на этом	3	1
206	же и	2	1
207	может быть	14	1
208	хоть и	3	1
209	они не	2	1
210	после того	3	1
211	важный для	1	1
212	к человеку	2	1
213	ты хочешь	1	1
214	свое место	1	1
215	здесь есть	1	1
216	человека не	2	1
217	она с	1	1
218	если в	4	1
219	и нам	1	1
220	ее на	2	1
221	чтобы человек	1	1
222	лет назад	2	1
223	тебе в	2	1
224	того как	5	1
225	это как	1	1
226	из образов	1	1
227	мы увидим	1	1
228	до времени	1	1
229	он делает	1	1
230	от природы	1	1
231	забота о	1	1
232	в руки	2	1
233	и вот	3	1
234	его с	1	1
235	только до	1	1
236	она не	3	1
237	уже в	3	1
238	в состоянии	1	1
239	для себя	1	1
240	и два	1	1
241	у них	1	1
242	с этой	5	1
243	то же	14	1
244	и если	3	1
245	для всякого	1	1
246	живет в	2	1
247	тебе была	1	1
248	и полюбил	1	1
249	не даст	2	1
250	по сравнению	3	1
251	то ни	4	1
252	для того	9	1
253	iv в	9	1
254	смысл все	1	1
255	это только	1	1
256	не по	7	1
257	нельзя не	1	1
258	не для	1	1
259	эта идея	1	1
260	и любовь	2	1
261	человеком как	1	1
262	ничего кроме	1	1
263	на два	1	1
264	эта новая	1	1
265	утверждают что	1	1
266	и новой	2	1
267	не всегда	2	1
268	него в	3	1
269	в глазах	10	1
270	о чем	11	1
271	их жизни	1	1
272	в ее	3	1
273	и тем	4	1
274	и уже	1	1
275	говорит о	2	1
276	нашего времени	1	1
277	как это	5	1
278	как сам	2	1
279	от людей	2	1
280	не понимает	1	1
281	мы в	3	1
282	что человек	1	1
283	соединения с	1	1
284	в которую	1	1
285	и всегда	1	1
286	этому же	1	1
287	в тот	1	1
288	не были	1	1
289	среди людей	1	1
290	в одном	3	1
291	же что	1	1
292	у нас	1	1
293	на пути	2	1
294	нового времени	5	1
295	о своем	1	1
296	в этой	7	1
297	со словами	1	1
298	в результате	2	1
299	кто бы	1	1
300	в виду	3	1
301	другой стороны	2	1
302	в день	1	1
303	слова с	1	1
304	еще больше	4	1
305	и хотя	3	1
306	я не	4	1
307	как можно	2	1
308	в русском	1	1
309	у него	10	1
310	из нас	1	1
311	вот в	1	1
312	ведет не	1	1
313	так же	8	1
314	себя от	2	1
315	не была	1	1
316	любви к	5	1
317	не был	2	1
318	iii наконец	1	1
319	в своих	4	1
320	и третье	1	1
321	себя за	1	1
322	проявляется и	1	1
323	о возможности	1	1
324	из ненависти	1	1
325	знаешь ли	1	1
326	отказаться от	3	1
327	и остается	1	1
328	с другой	5	1
329	на которых	1	1
330	конечно в	2	1
331	свою роль	1	1
332	в которой	6	1
333	но все	5	1
334	богами и	1	1
335	вот что	1	1
336	я в	1	1
337	и с	5	1
338	к ним	5	1
339	жизнь в	1	1
340	в лице	1	1
341	видно и	1	1
342	не знающего	1	1
343	каким образом	1	1
344	отношение к	7	1
345	ко всем	1	1
346	наконец не	2	1
347	имя его	1	1
348	которого они	2	1
349	что любит	1	1
350	и думать	1	1
351	места в	1	1
352	в мир	1	1
353	себя с	1	1
354	то и	1	1
355	себе такую	2	1
356	или даже	1	1
357	в понимании	1	1
358	но вот	1	1
359	не надо	2	1
360	он так	4	1
361	оправдание на	1	1
362	него не	1	1
363	найти в	2	1
364	дело к	1	1
365	и начало	1	1
366	как мы	6	1
367	происхождение и	2	1
368	но нет	2	1
369	и до	2	1
370	прошлом и	2	1
371	это отец	1	1
