N	2gram	Voloshinov	NovoeSre
1	а не	1	17
2	не может	8	16
3	и в	16	16
4	совсем не	2	12
5	и не	4	11
6	и есть	3	10
7	что в	3	9
8	истории и	1	9
9	в эпоху	1	9
10	в том	3	8
11	как не	2	8
12	жизни и	3	8
13	он не	2	8
14	в этом	9	7
15	может быть	17	7
16	не будет	2	7
17	культуры и	1	7
18	как и	2	7
19	ни в	5	6
20	не знает	2	6
21	лишь в	1	6
22	высшей степени	1	6
23	с его	7	6
24	но это	2	6
25	в высшей	1	6
26	никогда не	2	6
27	и к	6	5
28	живем в	1	5
29	не только	7	5
30	в ней	1	5
31	все это	4	5
32	мы живем	1	5
33	в жизни	2	5
34	в нем	4	5
35	с ее	4	5
36	и потому	3	4
37	и мы	2	4
38	по своему	2	4
39	быть может	2	4
40	со всех	1	4
41	прежде всего	9	4
42	в них	2	4
43	то что	3	4
44	и все	4	4
45	всех сторон	1	4
46	не менее	2	4
47	не имеет	1	4
48	и для	2	4
49	о том	2	4
50	во всех	3	3
51	вопрос о	1	3
52	и пр	12	3
53	она не	1	3
54	тому как	1	3
55	что такое	5	3
56	за пределы	2	3
57	конечно не	6	3
58	подобно тому	1	3
59	не существует	2	3
60	в духе	1	3
61	с другой	1	3
62	в основе	3	3
63	к ним	2	3
64	сказать что	7	3
65	и начало	1	3
66	с тем	1	3
67	не есть	2	3
68	в своей	2	3
69	в мире	1	3
70	жизни в	1	3
71	перейти к	1	3
72	но и	4	3
73	это было	1	3
74	к ее	1	3
75	к тому	1	3
76	человека и	1	3
77	еще не	5	3
78	с этим	2	2
79	центр тяжести	1	2
80	это и	1	2
81	в центре	1	2
82	и что	1	2
83	на протяжении	2	2
84	на путях	1	2
85	что она	1	2
86	не имеют	1	2
87	зависит от	1	2
88	с одной	1	2
89	хотя бы	4	2
90	мы не	2	2
91	нем нет	2	2
92	того чтобы	1	2
93	хотя и	1	2
94	так и	4	2
95	нашего времени	2	2
96	как это	3	2
97	этот мир	1	2
98	одной стороны	1	2
99	можно было	1	2
100	времени и	1	2
101	с их	3	2
102	этом смысле	3	2
103	в русском	1	2
104	у него	2	2
105	и общества	1	2
106	а в	3	2
107	все время	1	2
108	и даже	4	2
109	в свои	1	2
110	и с	8	2
111	государство и	1	2
112	и начинается	1	2
113	для этого	2	2
114	нет и	2	2
115	могут быть	3	2
116	и культуры	1	2
117	и на	4	2
118	уже не	1	2
119	я не	1	2
120	все эти	5	2
121	есть в	2	2
122	же как	2	2
123	жизни ни	1	2
124	вместе с	3	2
125	одна из	1	2
126	мира и	3	2
127	роль в	1	2
128	но не	1	2
129	том что	3	2
130	не будут	1	2
131	так же	2	2
132	и это	6	2
133	можно назвать	2	2
134	в смысле	1	2
135	себя в	1	2
136	но в	4	2
137	и т.п	2	2
138	мысли и	4	2
139	формы и	1	2
140	мир не	1	1
141	и мир	1	1
142	в самом	2	1
143	во всем	1	1
144	нет ничего	1	1
145	они являются	1	1
146	и пути	1	1
147	и того	1	1
148	от нее	1	1
149	философии и	1	1
150	может иметь	2	1
151	возврата и	1	1
152	можно сказать	4	1
153	все что	4	1
154	человека в	1	1
155	но оно	3	1
156	для всех	4	1
157	с ужасом	1	1
158	и быть	1	1
159	в более	1	1
160	до сих	3	1
161	бы он	1	1
162	и этот	2	1
163	находится во	1	1
164	и всех	2	1
165	пр в	1	1
166	и разложения	1	1
167	мир в	1	1
168	же и	1	1
169	конечно есть	1	1
170	нельзя сказать	1	1
171	они не	2	1
172	ориентироваться в	1	1
173	современной культуры	1	1
174	очень сложно	1	1
175	мы уже	2	1
176	которая в	1	1
177	уже в	1	1
178	не интересуется	1	1
179	на ее	1	1
180	во власти	1	1
181	к себе	3	1
182	в свою	1	1
183	есть прежде	1	1
184	в состоянии	1	1
185	из этих	2	1
186	во всяком	3	1
187	их совершенно	1	1
188	философии жизни	1	1
189	в человеческом	1	1
190	для того	1	1
191	в глубину	2	1
192	в каких	1	1
193	быть не	1	1
194	вся жизнь	1	1
195	протяжении всей	2	1
196	оказалась на	1	1
197	не всегда	1	1
198	а это	1	1
199	в этот	2	1
200	это уже	1	1
201	должны перейти	1	1
202	личность от	1	1
203	было бы	2	1
204	мы должны	1	1
205	и тенденции	1	1
206	в сущности	1	1
207	не должна	1	1
208	в его	4	1
209	к такой	1	1
210	к тем	1	1
211	ли это?	1	1
212	но ведь	2	1
213	и вся	2	1
214	значение для	1	1
215	должны быть	1	1
216	и через	2	1
217	и их	4	1
218	в которую	1	1
219	говорить о	2	1
220	всего как	1	1
221	есть и	2	1
222	теми которые	1	1
223	у нас	1	1
224	для них	1	1
225	совершенно так	1	1
226	освобождение от	1	1
227	других людей	1	1
228	с другими	3	1
229	разложения и	1	1
230	ни одно	1	1
231	в виду	1	1
232	или к	1	1
233	еще в	1	1
234	в мир	2	1
235	борьбой с	1	1
236	весь мир	1	1
237	привела к	1	1
238	только в	4	1
239	не на	2	1
240	не могут	2	1
241	власти и	1	1
242	от того	1	1
243	есть еще	1	1
244	свободно и	1	1
245	творчества и	1	1
246	в большинстве	3	1
247	а во	1	1
248	и политические	1	1
249	оно не	2	1
250	мышления не	1	1
251	и исключительно	2	1
