N	3gram	Tiupa_Teor	VeschiIm
1	не может быть	5	24
2	бы то ни	2	12
3	не что иное	1	12
4	то ни было	2	12
5	что иное как	1	12
6	тем не менее	3	11
7	содержит в себе	1	11
8	по крайней мере	1	10
9	в том что	10	9
10	а и в	1	9
11	есть не что	1	8
12	в самом деле	2	7
13	сама по себе	2	7
14	с точки зрения	3	6
15	так или иначе	5	6
16	в свою очередь	3	5
17	в то же	8	5
18	и то же	2	5
19	одно и то	2	5
20	подобно тому как	3	5
21	этой точки зрения	2	4
22	с этой точки	2	4
23	в то время	1	4
24	более или менее	6	4
25	не только не	2	4
26	дело в том	1	4
27	о том что	1	4
28	это и есть	1	4
29	то же время	8	4
30	вбирает в себя	1	3
31	заключается в том	1	3
32	ту или иную	2	3
33	можно сказать что	3	3
34	из того что	1	3
35	и в то	2	3
36	есть как бы	1	3
37	только то что	1	3
38	с одной стороны	3	3
39	с другой стороны	6	3
40	так же как	1	2
41	имеем дело не	1	2
42	в той или	1	2
43	в одном и	1	2
44	все то что	1	2
45	сводится к одному	1	2
46	превращая его в	1	2
47	не только к	1	2
48	вещи но и	1	2
49	в данном случае	5	2
50	в свое время	1	2
51	она могла бы	1	2
52	в этом смысле	3	2
53	с самим собою	1	2
54	только о том	1	2
55	для того чтобы	5	2
56	в себя смысл	1	2
57	том что он	2	2
58	чего бы то	1	2
59	и в частности	1	2
60	в том или	1	2
61	в первом случае	1	2
62	в отношении к	2	2
63	как раз в	1	2
64	тех или иных	3	2
65	уже не просто	1	2
66	в отдельности и	1	2
67	можно говорить о	1	2
68	в связи с	3	2
69	к тому что	2	2
70	а не только	1	2
71	в основе своей	2	2
72	мы имеем дело	2	2
73	что он не	1	1
74	у нее нет	1	1
75	в другом –	1	1
76	в полной мере	1	1
77	нести на себе	1	1
78	о том о	1	1
79	в самом начале	2	1
80	одной стороны и	1	1
81	ни от кого	1	1
82	с тем же	1	1
83	не только мы	1	1
84	весьма узко и	1	1
85	и как бы	1	1
86	и потому что	1	1
87	и том же	1	1
88	как бы вбирает	1	1
89	и прежде всего	1	1
90	по себе а	1	1
91	вмещает в себя	1	1
92	никак не может	1	1
93	имя как раз	1	1
94	себя и что	1	1
95	не содержит в	1	1
96	человек имеет дело	1	1
97	в данный момент	2	1
98	ту же самую	1	1
99	один из видов	1	1
100	для него не	1	1
101	не в состоянии	1	1
102	в xix веке	1	1
103	то или иное	1	1
104	основе своей является	1	1
105	вещей но в	1	1
106	с другой –	1	1
107	и в самом	2	1
108	дело не в	1	1
109	в себе и	1	1
110	в частности –	1	1
111	какой бы то	1	1
112	в коем случае	2	1
113	и многих других	1	1
114	– не может	1	1
115	от этого в	1	1
116	на вопрос о	1	1
117	личности а не	1	1
118	в самом общем	1	1
119	в себе никаких	1	1
120	внутренней и внешней	2	1
121	именно потому что	1	1
122	одного и того	4	1
123	и здесь мы	1	1
124	самом деле –	1	1
125	таким образом и	1	1
126	по своей структуре	1	1
127	ни в коем	2	1
128	в самой себе	1	1
129	бы вбирает в	1	1
130	самим собою в	1	1
131	прежде всего к	1	1
132	таким образом что	1	1
133	а не сама	1	1
134	речь идет о	1	1
135	том о чем	1	1
136	и его носителя	1	1
137	по своей природе	3	1
138	в себя не	1	1
139	это уже не	1	1
140	и того же	4	1
141	в этом случае	1	1
142	суть то что	2	1
143	я в свою	1	1
144	но в то	2	1
145	а в том	1	1
146	и а и	1	1
147	каждой из них	1	1
148	слова в отличие	1	1
149	в зависимости от	1	1
150	к другому человеку	1	1
151	в новое время	1	1
152	то же самое	1	1
153	– независимо от	1	1
154	та или иная	1	1
155	относится не только	1	1
156	что несмотря на	1	1
157	думаю что в	1	1
158	в одном случае	1	1
159	точки зрения и	1	1
160	вслед за кантом	2	1
161	одном и том	1	1
162	строго говоря и	1	1
163	является одним из	1	1
164	предстают перед нами	1	1
165	того же типа	1	1
166	тот или иной	3	1
167	это было бы	1	1
168	еще и потому	1	1
169	внутреннее и внешнее	1	1
170	коем случае не	2	1
171	может быть и	2	1
