N	2gram	Losev_Dial	Myslijsy
1	потому что	21	182
2	то есть	1	142
3	и в	34	121
4	может быть	30	107
5	в том	17	103
6	то что	25	83
7	в слове	3	78
8	для нас	2	75
9	что в	12	73
10	и не	50	73
11	только в	10	72
12	не только	35	67
13	а не	39	67
14	таким образом	14	64
15	в этом	14	59
16	но и	14	59
17	том что	18	59
18	так как	12	59
19	то же	9	56
20	не в	11	54
21	если бы	10	53
22	в себе	8	53
23	по себе	31	52
24	не может	29	52
25	того что	22	47
26	в душе	1	45
27	было бы	13	45
28	и проч	1	45
29	в нем	7	45
30	не есть	95	42
31	как и	14	42
32	так что	11	39
33	вместе с	3	39
34	что и	8	38
35	мы не	11	38
36	при этом	7	37
37	как в	2	37
38	так и	11	37
39	тогда когда	9	36
40	чувственный образ	1	36
41	что мы	10	36
42	точно так	3	35
43	тем что	5	33
44	и что	21	32
45	а в	3	30
46	что не	8	29
47	но не	3	29
48	вовсе не	18	28
49	мы можем	3	28
50	для него	4	28
51	есть только	13	28
52	с этим	4	27
53	могут быть	5	27
54	не было	6	26
55	независимо от	3	26
56	и т	41	26
57	то и	5	26
58	между собою	3	24
59	в то	9	24
60	с тем	4	23
61	как бы	19	23
62	того как	2	23
63	чувственного образа	1	23
64	от того	9	23
65	а потому	1	22
66	то это	9	22
67	с другой	5	22
68	чувства и	1	22
69	не имеет	18	22
70	только тогда	7	22
71	но в	3	22
72	и потому	6	21
73	не менее	11	21
74	вместе и	1	21
75	в одном	3	20
76	это не	13	20
77	в ней	4	20
78	и как	13	19
79	но это	10	19
80	сказать что	7	19
81	с ним	3	19
82	тем не	10	19
83	что это	20	19
84	и то	7	19
85	из этих	5	19
86	о том	11	19
87	есть уже	2	19
88	тем самым	3	19
89	должно быть	7	19
90	есть не	11	19
91	в самом	9	18
92	в таком	15	18
93	для того	4	18
94	в мысли	2	18
95	не могут	6	18
96	очевидно что	1	18
97	в человеке	1	18
98	в каком	9	18
99	для меня	2	18
100	тогда как	1	18
101	что я	3	18
102	еще не	7	18
103	точки зрения	43	17
104	крайней мере	10	17
105	со стороны	5	17
106	по крайней	10	17
107	слова и	1	17
108	заметить что	2	17
109	что оно	9	17
110	в его	6	17
111	во всяком	5	17
112	не можем	3	17
113	только что	7	16
114	и на	6	16
115	к тому	4	16
116	так же	7	16
117	в своем	7	16
118	в которой	1	16
119	а только	2	16
120	в них	6	16
121	слово есть	1	16
122	или же	3	16
123	есть нечто	26	16
124	что если	5	16
125	на то	5	16
126	быть может	3	15
127	в этих	3	15
128	уже не	9	15
129	только как	7	15
130	с одной	4	15
131	с другими	1	15
132	и тем	3	15
133	в нас	2	15
134	и по	2	15
135	что он	18	15
136	стало быть	23	15
137	т д	38	15
138	прежде всего	20	15
139	думать что	3	15
140	тому как	5	15
141	все же	4	14
142	в природе	5	14
143	в котором	2	14
144	то в	5	14
145	связи с	3	14
146	во всех	2	14
147	когда мы	3	14
148	бы ни	1	14
149	там где	1	14
150	должны быть	7	14
151	сам по	6	14
152	в истории	7	14
153	же время	5	14
154	и без	4	14
155	мы должны	1	14
156	само по	8	14
157	те же	1	13
158	например в	3	13
159	как на	6	13
160	из них	4	13
161	что все	16	13
162	в смысле	4	13
163	т п	1	13
164	есть для	1	13
165	и все	17	13
166	том смысле	1	13
167	зависит от	4	13
168	образом в	1	13
169	и может	2	13
170	и его	8	13
171	от него	2	12
172	одно из	8	12
173	другой стороны	4	12
174	до сих	1	12
175	более или	1	12
176	не то	3	12
177	никогда не	9	12
178	и при	4	12
179	хотя и	9	12
180	быть только	2	12
181	и вместе	1	12
182	в чем	11	12
183	сих пор	1	12
184	оно не	7	12
185	всяком случае	3	12
186	что же	12	12
187	друг друга	3	12
188	только потому	4	12
189	что такое	25	12
190	все это	13	12
191	возможно только	7	12
192	есть в	4	12
193	или менее	1	12
194	тем более	5	12
195	человека и	2	12
196	как мы	4	12
197	что на	3	12
198	все что	3	11
199	и если	5	11
200	что человек	1	11
201	в первом	2	11
202	из себя	3	11
203	только на	8	11
204	и это	12	11
205	к нему	4	11
206	в состоянии	1	11
207	души и	3	11
208	его в	2	11
209	и притом	10	11
210	подобно тому	5	11
211	в силу	5	11
212	сами по	3	11
213	того чтобы	1	11
214	быть не	3	11
215	к ней	1	11
216	той же	6	11
217	с нею	1	11
218	что для	5	11
219	что например	1	11
220	если не	3	11
221	и вообще	7	11
