N	4gram	Voloshinov	OGranits
1	не чем иным как	2	2
2	не что иное как	1	2
3	одно и то же	1	2
4	есть не что иное	1	2
5	но тем не менее	1	1
6	нигде и никогда не	1	1
7	в то же время	6	1
8	в узком смысле слова	2	1
9	и не может быть	3	1
10	но что же является	1	1
11	в том что в	1	1
12	но в то же	3	1
13	ничего общего не имеет	1	1
14	может быть и речи	3	1
15	не может быть и	4	1
16	нет и не может	2	1
17	само собою разумеется что	1	1
18	на этом мы закончим	2	1
19	в собственном смысле слова	1	1
20	один и тот же	3	1
