N	3gram	Vinokur_Vv	VeschiIm
1	и т д	39	38
2	не может быть	10	24
3	бы то ни	1	12
4	не что иное	5	12
5	то ни было	1	12
6	что иное как	5	12
7	т д и	1	11
8	тем не менее	9	11
9	по крайней мере	4	10
10	в том что	15	9
11	есть не что	3	8
12	в самом деле	6	7
13	по сравнению с	4	7
14	т е в	4	7
15	сама по себе	3	7
16	с точки зрения	4	6
17	может быть только	1	6
18	так или иначе	4	6
19	в свою очередь	2	5
20	и тем не	3	5
21	в чем же	3	5
22	в то же	6	5
23	и то же	2	5
24	и то что	3	5
25	не потому что	1	5
26	одно и то	2	5
27	подобно тому как	2	5
28	не только в	4	5
29	т е не	2	5
30	что в ней	1	4
31	от того что	1	4
32	этой точки зрения	2	4
33	с этой точки	2	4
34	более или менее	1	4
35	сам по себе	2	4
36	но что такое	1	4
37	дело в том	3	4
38	значит не только	1	4
39	о том что	13	4
40	само по себе	4	4
41	то же время	6	4
42	потому что они	1	4
43	как она есть	2	3
44	вместе с тем	3	3
45	что это есть	1	3
46	заключается в том	3	3
47	ту или иную	1	3
48	тем что не	2	3
49	и не в	1	3
50	можно сказать что	3	3
51	из того что	1	3
52	можно было бы	4	3
53	в собственном смысле	3	3
54	не может не	1	3
55	то без чего	1	3
56	только то что	1	3
57	с одной стороны	4	3
58	с другой стороны	5	3
59	так же как	1	2
60	в той или	1	2
61	случае не есть	1	2
62	в одном и	1	2
63	все то что	1	2
64	а так как	2	2
65	в применении к	6	2
66	бы сказать что	1	2
67	дело не с	2	2
68	в данном случае	4	2
69	в том чтобы	5	2
70	т е на	1	2
71	в свое время	3	2
72	хотя бы и	2	2
73	было бы сказать	1	2
74	в этом смысле	10	2
75	для того чтобы	22	2
76	и есть то	1	2
77	и в конце	1	2
78	том что он	1	2
79	в подлинном смысле	1	2
80	нужно было бы	1	2
81	а есть только	1	2
82	не есть еще	1	2
83	в том или	2	2
84	в первом случае	2	2
85	вырастает на почве	1	2
86	как раз в	1	2
87	в конце концов	2	2
88	тех или иных	3	2
89	можно говорить о	3	2
90	нужно сказать что	1	2
91	в связи с	2	2
92	она может быть	1	2
93	то что у	1	2
94	к тому что	1	2
95	но все же	4	2
96	есть не просто	1	2
97	во всяком случае	5	2
98	в этом отношении	4	2
99	вопрос о том	5	2
100	и в этом	4	2
101	а не только	1	2
102	всего то что	2	2
103	только тогда когда	1	2
104	что же касается	2	2
105	мы имеем дело	1	2
106	не просто как	1	1
107	целое в котором	1	1
108	что она была	2	1
109	и это есть	1	1
110	и как раз	1	1
111	д таким образом	1	1
112	ответ на вопрос	2	1
113	одной стороны и	3	1
114	и в целом	1	1
115	во внимание в	1	1
116	между ними в	1	1
117	так что мы	1	1
118	он должен быть	1	1
119	т д все	2	1
120	как будто бы	2	1
121	и потому что	2	1
122	это может быть	1	1
123	и том же	1	1
124	в этом понятии	1	1
125	т д а	2	1
126	из которых первые	1	1
127	и прежде всего	1	1
128	никак не может	1	1
129	том смысле что	1	1
130	е не только	1	1
131	т д таким	1	1
132	но и в	1	1
133	нисколько не мешает	1	1
134	потому что это	1	1
135	ни к какому	1	1
136	как мы знаем	1	1
137	в том смысле	1	1
138	как это было	1	1
139	по вопросу о	1	1
140	чем же отличие	1	1
141	различие между ними	1	1
142	не в этом	1	1
143	совсем другое дело	1	1
144	и в результате	1	1
145	и в особенности	4	1
146	есть только один	1	1
147	имеется в виду	1	1
148	в принципиальном смысле	4	1
149	т д хотя	1	1
150	то или иное	1	1
151	т д в	2	1
152	в одно целое	1	1
153	в и в	1	1
154	здесь как и	1	1
155	и со стороны	2	1
156	и не потому	1	1
157	и даже просто	1	1
158	и в самом	3	1
159	в его применении	1	1
160	дело не в	1	1
161	что не только	1	1
162	с большой пользой	1	1
163	то что в	1	1
164	какой бы то	1	1
165	в которых при	1	1
166	это значит не	1	1
167	и как оно	1	1
168	на то или	1	1
169	и что это	1	1
170	это не только	2	1
171	только в том	2	1
172	не значит что	1	1
173	когда мы говорим	1	1
174	если бы оно	1	1
175	один из наиболее	1	1
176	не в том	2	1
177	потому что она	1	1
178	на вопрос о	4	1
179	не только вообще	1	1
180	в существенном смысле	2	1
181	т е то	1	1
182	между прочим и	1	1
183	человеческой природы и	1	1
184	но это только	1	1
185	что также и	1	1
186	же это не	1	1
187	тут нет еще	1	1
188	так как она	1	1
189	же как он	1	1
190	раз уж мы	1	1
191	не было бы	1	1
192	о которой у	1	1
193	после этого уже	1	1
194	то что можно	1	1
195	до сих пор	7	1
196	именно потому что	1	1
197	одного и того	2	1
198	того что в	1	1
199	бы оно было	1	1
200	с этой стороны	1	1
201	смысле этого слова	2	1
202	в самой себе	1	1
203	прежде всего к	1	1
204	потому что он	2	1
205	бы и не	1	1
206	т д словом	1	1
207	со стороны ее	1	1
208	как та или	1	1
209	до бесконечности все	1	1
210	по меньшей мере	2	1
211	как мы видим	1	1
212	этого метода и	1	1
213	в общем итоге	1	1
214	не иначе как	1	1
215	только потому что	1	1
216	быть и речи	1	1
217	и отдать себе	1	1
218	имеют в виду	1	1
219	стороны как это	1	1
220	с полной ясностью	1	1
221	и того же	2	1
222	но также и	10	1
223	а потому что	1	1
224	в этом случае	6	1
225	и что такое	1	1
226	но в то	3	1
227	уже было сказано	2	1
228	а в том	1	1
229	каждой из них	2	1
230	сравнить ее с	1	1
231	все же это	1	1
232	этом смысле и	1	1
233	одно из двух	1	1
234	в зависимости от	3	1
235	также и то	1	1
236	имеет дело с	2	1
237	тем что она	1	1
238	с тем что	3	1
239	каждой из этих	1	1
240	в ней есть	1	1
241	то же самое	3	1
242	ни при каких	1	1
243	как некая самостоятельная	1	1
244	и говорить о	1	1
245	та или иная	1	1
246	что может быть	3	1
247	то обстоятельство что	1	1
248	сам для себя	1	1
249	именно из его	1	1
250	что несмотря на	2	1
251	от целого к	1	1
252	но в этом	1	1
253	это однако не	2	1
254	другой стороны как	1	1
255	необходимо помнить что	1	1
256	т д но	5	1
257	в одном случае	1	1
