N	3gram	Bakhtin_KF	Formalny
1	с точки зрения	10	40
2	не может быть	11	29
3	на самом деле	3	21
4	то же время	2	20
5	в то же	2	20
6	во всяком случае	1	16
7	в настоящее время	1	13
8	по отношению к	22	12
9	в его целом	10	10
10	бы то ни	2	10
11	в зависимости от	1	10
12	в большинстве случаев	1	9
13	для того чтобы	1	8
14	до сих пор	1	8
15	вместе с тем	1	8
16	того или иного	3	7
17	то ни было	2	7
18	и пр и	1	7
19	в свою очередь	1	7
20	и в этом	3	7
21	в том что	2	6
22	и в то	1	6
23	раз и навсегда	2	6
24	смысле этого слова	1	6
25	может быть и	1	6
26	в этом смысле	3	5
27	к тому что	1	5
28	может войти в	1	5
29	в значительной степени	1	5
30	как бы ни	1	5
31	мы не можем	1	5
32	и не в	1	4
33	тем не менее	2	4
34	можно и должно	1	4
35	не в том	1	4
36	и пр все	1	4
37	в своем содержании	2	4
38	точки зрения его	1	4
39	а не в	2	4
40	в ее целом	3	4
41	может быть понято	1	4
42	отнюдь не следует	1	4
43	в лучшем случае	1	4
44	в нем и	3	4
45	нет и не	1	4
46	отсюда отнюдь не	1	4
47	и тот же	3	3
48	в отвлечении от	5	3
49	какого бы то	1	3
50	в нем как	4	3
51	то или иное	2	3
52	при этом условии	1	3
53	как и всякое	1	3
54	вместо того чтобы	1	3
55	то же самое	1	3
56	равно как и	1	3
57	при таком положении	1	3
58	в том смысле	1	3
59	а не как	1	3
60	один и тот	3	3
61	во всех своих	3	3
62	в противном случае	1	3
63	но в то	1	3
64	пр все это	1	3
65	ровно ничего не	1	3
66	по себе а	1	2
67	отношение к миру	1	2
68	всех своих моментах	2	2
69	но все эти	3	2
70	не была бы	1	2
71	мы говорим о	2	2
72	отсюда следует что	1	2
73	мы не найдем	1	2
74	хотя бы и	1	2
75	и ее в	1	2
76	не совпадает с	1	2
77	в том случае	1	2
78	не потому что	1	2
79	бы оно было	1	2
80	между тем как	3	2
81	могло бы быть	1	2
82	имеет место и	1	2
83	и тем самым	1	2
84	не было и	1	2
85	на первом плане	2	2
86	как если бы	1	2
87	но в этом	1	2
88	и входит в	1	2
89	слова и его	1	2
90	может быть только	7	2
91	время и пространство	4	2
92	и все же	1	2
93	не может войти	1	2
94	лишь в процессе	1	2
95	лишь постольку поскольку	2	2
96	как это было	1	2
97	критике со стороны	1	2
98	имеем в виду	2	2
99	ни на один	1	2
100	в корне искажает	1	2
101	если бы оно	1	2
102	не может стать	1	2
103	со всех сторон	1	2
104	оно прежде всего	1	2
105	они находятся в	1	2
106	вовсе не есть	2	2
107	дело в том	1	2
108	но отнюдь не	1	2
109	исторического свершения в	1	2
110	оно было единственным	1	2
111	формы и содержания	1	2
112	дело не в	1	2
113	лежит в основе	1	2
114	что и в	1	2
115	ни в чем	4	2
116	со стороны его	1	2
117	менее всего можно	1	1
118	всего этого не	1	1
119	иной чем в	1	1
120	содержания а в	1	1
121	могло бы возникнуть	1	1
122	и как бы	1	1
123	проникает во все	1	1
124	со всеми своими	1	1
125	можно говорить об	1	1
126	глубоко различны в	1	1
127	должен быть абсолютно	1	1
128	представляют из себя	1	1
129	это значило бы	2	1
130	современной философии жизни	1	1
131	в данном контексте	1	1
132	на задний план	1	1
133	этом смысле можно	1	1
134	сводится к следующему	1	1
135	место и в	1	1
136	до конца в	1	1
137	лишь как момент	2	1
138	полнота слова и	1	1
139	не в этом	1	1
140	он не дает	1	1
141	не значит еще	1	1
142	оно должно быть	1	1
143	нашей точки зрения	1	1
144	индифферентным к ценности	1	1
145	влечет за собой	1	1
146	в смысле совокупности	1	1
147	она могла бы	2	1
148	он не может	1	1
149	всей его конкретной	1	1
150	не значит что	1	1
151	в том же	1	1
152	и во всех	1	1
153	событие жизни и	1	1
154	и должен быть	1	1
155	согласиться с тем	1	1
156	а с точки	1	1
157	в этом его	2	1
158	было дано в	1	1
159	в котором действительно	1	1
160	время и в	1	1
161	себя в нем	1	1
162	неправильным было бы	1	1
163	одного и того	1	1
164	это не значит	1	1
165	в современной философии	3	1
166	и должна быть	1	1
167	и не должно	1	1
168	для меня не	1	1
169	ее целом и	1	1
170	должно быть соотнесено	2	1
171	и смысл в	1	1
172	это было с	1	1
173	здесь не в	1	1
174	это нисколько не	1	1
175	и все эти	2	1
176	может быть понята	1	1
177	поступка не в	1	1
178	в определенное время	1	1
179	в нем нет	1	1
180	в чем не	4	1
181	конечно не может	1	1
182	и по отношению	1	1
183	перевести его на	1	1
184	и в нем	2	1
185	действительности а не	1	1
186	смысле можно говорить	1	1
187	и того же	1	1
188	к отказу от	1	1
189	в соотнесении с	11	1
190	не может не	1	1
191	бы быть и	1	1
192	там где оно	1	1
193	в целом и	2	1
194	быть к нему	1	1
195	нет подхода к	1	1
196	и в его	1	1
197	для нас важно	2	1
198	той или другой	1	1
199	значило бы признать	1	1
200	в литературе о	1	1
201	противном случае мы	1	1
202	приводит только к	1	1
203	в этом последнем	1	1
204	исторического человечества мы	1	1
205	где оно не	1	1
206	с нашей точки	1	1
207	конечно это не	1	1
208	не имеет места	1	1
209	мог бы быть	1	1
210	и тем не	1	1
211	со всем что	1	1
212	еще не значит	1	1
213	той или иной	2	1
214	это может быть	1	1
215	при данных условиях	1	1
216	вследствие того что	1	1
217	и только в	3	1
218	между жизнью и	1	1
219	но и здесь	3	1
220	на то что	1	1
221	он должен быть	1	1
222	ни в каком	2	1
223	и может быть	2	1
224	переживаемого мира как	1	1
225	является вовсе не	1	1
226	оно ни было	1	1
227	ясно что это	1	1
228	смысле слова в	1	1
229	но как и	1	1
230	во всей полноте	1	1
231	но сама она	1	1
232	ту или иную	1	1
233	в ту или	1	1
234	мира в его	2	1
235	а следовательно и	1	1
236	здесь вовсе не	1	1
237	все в этом	1	1
238	только в том	1	1
239	то что уже	1	1
240	и смысла в	1	1
241	в его конкретной	1	1
242	быть соотнесено с	2	1
243	форму и содержание	1	1
244	но конечно это	1	1
245	а все остальное	1	1
246	только в этом	1	1
247	моей жизни в	1	1
248	вытекает из предшествующего	1	1
249	нет принципа для	1	1
250	зависит от того	1	1
251	а не из	2	1
252	не для того	1	1
253	в своем смысловом	1	1
254	самого по себе	1	1
255	не было бы	3	1
256	нисколько не противоречит	1	1
257	мира и его	1	1
258	в их конкретном	1	1
259	это и не	1	1
260	что и делает	1	1
261	том смысле в	1	1
262	во всех этих	2	1
263	и все остальные	1	1
264	каково бы оно	1	1
265	до конца и	1	1
266	во всей его	2	1
267	не менее в	1	1
268	к такому же	1	1
269	все остальные возможные	1	1
270	и есть его	1	1
271	и мы получим	1	1
272	не теряя своей	1	1
273	по самому своему	1	1
274	отделение ее от	1	1
275	друг для друга	1	1
276	никогда не может	1	1
277	дело здесь не	2	1
278	понять его в	1	1
279	мир в его	1	1
280	хотя бы только	1	1
281	все это в	1	1
282	вопрос о том	2	1
283	его на язык	1	1
284	место в этом	1	1
285	бы оно ни	1	1
286	бы ни была	1	1
287	в жизни в	1	1
288	это и есть	1	1
289	между прочим и	1	1
290	его действительности и	1	1
291	только в единстве	1	1
