N	4gram	Trubetskoy	Problemy
1	в то же время	2	26
2	бы то ни было	3	6
3	в том что он	1	5
4	мы уже говорили что	1	4
5	в то время как	1	3
6	одно и то же	1	3
7	в целом ряде других	1	2
8	в том и в	1	2
9	том и в другом	1	2
10	и в том и	1	2
11	дело в том что	1	2
12	но с другой стороны	1	2
13	и в целом ряде	1	2
14	именно в том что	1	1
15	о котором идет речь	5	1
16	и до сих пор	1	1
17	что до сих пор	2	1
18	и все это без	1	1
19	до сих пор еще	1	1
20	именно с точки зрения	1	1
21	каких бы то ни	1	1
22	и не может быть	1	1
23	таким образом как бы	1	1
24	а в том что	1	1
25	о том что все	1	1
26	нами до сих пор	1	1
27	о том что он	1	1
28	одного и того же	3	1
29	тем не менее в	1	1
30	а может быть и	1	1
31	деле это не так	1	1
32	заключается в том что	3	1
33	в том числе и	1	1
34	и в другом случае	1	1
35	с точки зрения всякой	1	1
36	и так или иначе	1	1
37	несмотря на то что	2	1
38	с самого начала в	1	1
39	в том и другом	1	1
40	в теснейшей связи с	1	1
41	не в том что	1	1
42	до сих пор не	5	1
43	друг на друга что	1	1
44	в том или ином	1	1
