N	3gram	Bakhtin_Fr	SlovoVZh
1	по отношению к	2	11
2	в нашем примере	3	7
3	не может быть	2	7
4	можно сказать что	2	5
5	в том что	2	4
6	дело в том	2	4
7	в художественном произведении	1	3
8	то ни было	1	3
9	до сих пор	6	3
10	это как бы	1	3
11	бы то ни	1	3
12	имеет в виду	2	3
13	отражает в себе	1	3
14	и не может	1	3
15	может быть и	2	3
16	имеем в виду	2	2
17	на самом деле	5	2
18	одной стороны и	2	2
19	в данном случае	3	2
20	мы все время	1	2
21	лежит на границе	1	2
22	с одной стороны	4	2
23	с другой стороны	5	2
24	до известной степени	1	2
25	смысл и значение	1	2
26	с точки зрения	4	2
27	в настоящее время	2	2
28	со всех сторон	1	1
29	сих пор не	1	1
30	все же не	1	1
31	не найдем в	1	1
32	самом деле в	1	1
33	о том что	3	1
34	они входят в	1	1
35	включает в себя	1	1
36	но несмотря на	1	1
37	один и тот	3	1
38	все более и	1	1
39	высокий и низкий	1	1
40	в высшей степени	1	1
41	мы не найдем	1	1
42	мы в нем	1	1
43	в свою очередь	2	1
44	и тот же	3	1
45	в виду и	1	1
46	и в частности	1	1
47	как и в	2	1
48	как мы уже	8	1
49	какой бы то	1	1
50	может быть понято	1	1
51	в том же	3	1
52	ни в коем	1	1
53	же время не	1	1
54	но прежде всего	1	1
55	речи так как	1	1
56	во всяком случае	2	1
57	и др и	1	1
58	самом же деле	1	1
59	в нем и	1	1
60	в коем случае	1	1
61	но в то	7	1
62	и отнюдь не	1	1
63	и с другой	1	1
64	только то что	2	1
65	и тем же	1	1
66	подобно тому как	2	1
67	как это делает	1	1
68	с самого начала	1	1
69	на самом же	1	1
70	в конечном счете	1	1
71	но в них	1	1
72	в приведенном нами	3	1
73	к слову в	1	1
74	в основе своей	1	1
75	и делает его	1	1
76	можно было бы	2	1
77	в этом отношении	4	1
78	к нему в	1	1
79	то же время	13	1
80	между тем как	1	1
81	но для этого	1	1
82	тех или иных	2	1
83	существенный момент в	1	1
84	и прежде всего	3	1
85	не на что	1	1
86	более или менее	1	1
87	но и в	4	1
88	более и более	1	1
89	в то же	13	1
90	там же где	1	1
91	мы имеем в	2	1
92	в значительной степени	2	1
93	то время как	1	1
94	это прежде всего	1	1
95	эти моменты и	1	1
96	том что в	1	1
97	так как в	1	1
98	и в этом	1	1
99	все эти три	2	1
100	коем случае нельзя	1	1
101	в то время	1	1
102	это один и	1	1
103	здесь вовсе не	1	1
104	прежде всего тем	1	1
105	ровно ничего не	1	1
106	в нашем же	1	1
107	тот же акт	1	1
108	но это же	1	1
109	но все же	2	1
110	особый тип общения	1	1
111	и потому не	1	1
112	мы уже сказали	2	1
113	все разобранные нами	1	1
114	только там где	1	1
115	одним и тем	1	1
116	художественную форму и	1	1
117	может быть только	1	1
