N	3gram	Potebnia_M	VLabPisa
1	и т д	5	16
2	в этом отношении	2	14
3	и т п	7	9
4	не может быть	7	8
5	с другой стороны	4	8
6	по отношению к	10	7
7	по этому поводу	1	7
8	более или менее	6	6
9	в том что	22	5
10	хотя бы и	1	5
11	в то же	8	5
12	то же время	8	5
13	в художественном произведении	1	4
14	в одном из	1	4
15	вместе с тем	5	4
16	равно как и	2	4
17	можно сказать что	3	4
18	не было бы	2	4
19	в силу этого	1	4
20	не могут быть	3	4
21	к тому что	3	4
22	мы видели что	1	3
23	большей или меньшей	1	3
24	для того чтобы	5	3
25	о том что	5	3
26	подобно тому как	3	3
27	для его художественного	1	2
28	одной стороны и	1	2
29	во всяком случае	3	2
30	от того что	7	2
31	в том чтобы	4	2
32	по крайней мере	8	2
33	в чем же	1	2
34	бы не было	1	2
35	не в том	6	2
36	таким образом в	1	2
37	в большей или	1	2
38	в противном случае	1	2
39	до сих пор	4	2
40	не только не	4	2
41	не было в	3	2
42	что все эти	1	2
43	не только в	4	2
44	в каждом отдельном	1	2
45	из них не	2	2
46	каждой из этих	1	2
47	только в том	5	2
48	только то что	1	2
49	и главным образом	1	2
50	с одной стороны	4	2
51	носит в себе	1	2
52	после того как	2	2
53	и не может	1	2
54	что он не	3	1
55	д само собою	1	1
56	человека и если	1	1
57	как увидим ниже	1	1
58	в свою очередь	6	1
59	вместе с этим	4	1
60	в том же	2	1
61	все то что	2	1
62	между собою и	2	1
63	но вместе с	2	1
64	что в различных	1	1
65	не об этом	1	1
66	том смысле что	2	1
67	в каждой из	1	1
68	в этом заключается	1	1
69	в силу того	2	1
70	и связанное с	1	1
71	на то что	3	1
72	а вместе с	1	1
73	и может быть	2	1
74	вне себя и	1	1
75	но и в	4	1
76	одной из этих	1	1
77	в том смысле	6	1
78	между тем такая	1	1
79	в этом смысле	2	1
80	без них не	1	1
81	того что мы	2	1
82	в течение многих	1	1
83	не имели бы	1	1
84	один из них	1	1
85	в том случае	2	1
86	в стороне вопрос	1	1
87	то время как	3	1
88	в этом случае	2	1
89	очевидно что не	1	1
90	заключает в себе	10	1
91	говоря уже о	1	1
92	то что в	2	1
93	в самом деле	1	1
94	как один из	1	1
95	не могут иметь	1	1
96	и художественное произведение	1	1
97	имеет свою историю	1	1
98	не об отсутствии	1	1
99	у него в	1	1
100	далеко не всегда	1	1
101	в то время	7	1
102	могло бы быть	1	1
103	одного лица и	1	1
104	что без них	1	1
105	а между тем	6	1
106	идеи и образа	1	1
107	и то же	7	1
108	в таком случае	2	1
109	того что не	1	1
110	не говоря уже	1	1
111	так или иначе	1	1
112	со всех сторон	3	1
113	сами по себе	3	1
114	он говорит и	1	1
115	таким образом можно	1	1
116	что для него	1	1
117	художественного произведения и	1	1
118	почти то же	4	1
119	ничего общего с	1	1
120	один из его	1	1
121	одно и то	7	1
122	то все же	1	1
123	или как говорит	1	1
124	бросается в глаза	1	1
125	по меньшей мере	1	1
126	том что и	1	1
127	же время нет	1	1
128	не подлежит сомнению	1	1
129	если бы все	1	1
130	образом потому что	1	1
131	а потому и	1	1
132	в данном случае	3	1
133	есть то что	2	1
134	противном случае он	1	1
135	именно в силу	1	1
136	именно в том	3	1
137	а в том	5	1
138	к тому же	1	1
139	своего развития в	1	1
140	т д само	1	1
141	только один из	2	1
142	них не было	1	1
143	свойственна не только	1	1
144	бы и в	2	1
145	в целом и	1	1
146	очевидно что в	1	1
147	то же самое	3	1
148	никогда не может	1	1
149	том случае если	1	1
150	сама по себе	3	1
151	и в каждой	2	1
152	было бы совершенно	1	1
153	в сознании а	1	1
154	том что оно	2	1
155	предмета в его	1	1
156	с ними в	2	1
157	вопрос о том	1	1
158	таким образом и	1	1
159	только тогда когда	11	1
160	нет и не	1	1
161	должно быть названо	1	1
162	между собою в	1	1
163	может быть и	1	1
