N	2gram	Tiupa_Anal	Literetu
1	уединенного сознания	8	70
2	а не	25	50
3	и не	33	47
4	не только	30	46
5	и в	30	44
6	может быть	33	43
7	при этом	20	41
8	но и	29	41
9	тогда как	30	40
10	в том	36	39
11	в этом	31	38
12	своего рода	12	37
13	хх века	1	32
14	том что	21	32
15	такого рода	6	30
16	в частности	32	30
17	то что	11	29
18	в мире	14	28
19	в качестве	38	27
20	то же	12	26
21	в году	1	26
22	состоит в	16	26
23	как и	23	23
24	в то	10	23
25	себя в	8	22
26	не в	17	22
27	того что	5	22
28	так и	16	22
29	не может	26	22
30	я и	8	21
31	х годов	2	21
32	же время	7	21
33	и т.п	13	20
34	в себе	17	20
35	я в	5	19
36	прежде всего	8	19
37	эстетического субъекта	3	19
38	художественной культуры	1	18
39	авторитарного сознания	3	18
40	как бы	15	18
41	с другой	7	17
42	точки зрения	10	17
43	то есть	19	17
44	в его	15	17
45	в жизни	1	16
46	сознания в	4	16
47	в этой	12	16
48	не менее	5	15
49	я не	2	15
50	только в	8	15
51	произведение искусства	9	15
52	со стороны	5	15
53	тем самым	9	15
54	в целом	9	15
55	и даже	10	14
56	по отношению	10	14
57	однако в	4	14
58	что он	3	14
59	в рамках	5	14
60	коммуникативного события	15	14
61	эстетического объекта	11	13
62	уже не	6	13
63	е годы	1	13
64	в своем	2	13
65	с одной	7	13
66	как это	5	13
67	в тексте	26	13
68	но не	13	13
69	и его	9	13
70	в своей	7	12
71	о том	11	12
72	в данном	6	12
73	одной стороны	6	12
74	художественного письма	2	12
75	к себе	1	12
76	одним из	3	12
77	всего лишь	11	12
78	еще не	5	12
79	отношению к	9	12
80	а также	8	12
81	в е	1	12
82	не столько	5	11
83	в другом	4	11
84	никогда не	4	11
85	в конечном	6	11
86	коммуникативное событие	6	11
87	и сам	4	11
88	столь же	7	11
89	еще в	4	11
90	лирического героя	2	11
91	вместе с	6	11
92	как в	3	11
93	в основе	6	11
94	в отличие	8	11
95	с его	3	11
96	данном случае	3	11
97	это не	7	11
98	отличие от	8	11
99	или иначе	2	11
100	а в	11	11
101	даже в	5	10
102	в принципе	8	10
103	по мысли	3	10
104	конечном счете	5	10
105	в противовес	3	10
106	из них	2	10
107	своего другого	1	10
108	в ее	2	10
109	не случайно	11	10
110	что в	7	10
111	и на	10	10
112	для себя	3	10
113	так или	1	10
114	жизни в	1	10
115	потому что	3	10
116	другого в	3	10
117	этом отношении	5	10
118	литературного процесса	1	10
119	жизни и	1	10
120	отнюдь не	22	10
121	в области	4	10
122	с этой	2	9
123	эстетической деятельности	4	9
124	наш взгляд	6	9
125	к тому	12	9
126	представляет собой	23	9
127	связи с	2	9
128	один из	4	9
129	на наш	6	9
130	что я	1	9
131	в поэзии	2	9
132	одно из	2	9
133	в начале	3	9
134	и т.д	4	9
135	лишь в	12	9
136	же в	1	9
137	говоря уже	1	8
138	эстетический субъект	3	8
139	быть может	2	8
140	в своих	1	8
141	тем что	2	8
142	все же	4	8
143	одна из	1	8
144	того же	7	8
145	едва ли	4	8
146	ли не	1	8
147	с точки	6	8
148	как раз	5	8
149	на себя	5	8
150	что не	3	8
151	в конце	4	8
152	о себе	2	8
153	художественного творчества	2	8
154	особого рода	9	8
155	а именно	3	8
156	присутствия в	4	8
157	соответствии с	3	8
158	той же	4	8
159	в глазах	1	8
160	но в	11	8
161	уже в	1	8
162	для него	5	8
163	по существу	1	8
164	и как	6	8
165	не говоря	2	8
166	субъекта и	4	8
167	в искусстве	2	8
168	вплоть до	2	8
169	мира в	2	8
170	в самом	12	7
171	в одном	3	7
172	другой стороны	2	7
173	для всех	1	7
174	именно в	6	7
175	ведет к	3	7
176	в художественном	4	7
177	на фоне	5	7
178	для этого	2	7
179	в противоположность	4	7
180	как правило	7	7
181	по преимуществу	4	7
182	не как	2	7
183	говоря словами	1	7
184	между я	1	7
185	тому же	6	7
186	в случае	7	7
187	он не	4	7
188	и тем	4	7
189	и с	2	7
190	в нем	3	7
191	из того	5	7
192	и адресата	2	7
193	по своей	6	7
194	наконец в	1	7
195	друг друга	1	7
196	и для	3	7
197	он и	3	7
198	у нас	1	7
199	в их	8	7
200	человека в	1	7
201	личности в	4	7
202	это как	2	7
203	тому как	5	7
204	общественного сознания	1	7
205	и жизни	1	7
206	а затем	3	6
207	в виду	2	6
208	например в	1	6
209	культуры в	2	6
210	казалось бы	2	6
211	при всей	4	6
212	уже о	1	6
213	обращаясь к	2	6
214	как на	1	6
215	и он	1	6
216	в ситуации	3	6
217	у него	5	6
218	его в	2	6
219	не было	1	6
220	эстетический объект	6	6
221	с жизнью	1	6
222	во всех	5	6
223	перед лицом	6	6
