N	3gram	Losev_Prob	StatiiOP
1	в том что	17	47
2	и т д	20	32
3	о том что	8	29
4	для того чтобы	4	19
5	до сих пор	4	19
6	с точки зрения	9	14
7	с другой стороны	11	13
8	во всяком случае	8	13
9	то обстоятельство что	1	11
10	не может быть	5	11
11	в самом деле	1	9
12	вместе с тем	1	9
13	на то что	2	9
14	в то же	10	9
15	дело в том	4	9
16	можно было бы	6	9
17	тем не менее	23	8
18	к тому что	1	8
19	на самом деле	5	8
20	не только в	2	8
21	в конце концов	4	7
22	в данном случае	12	7
23	но также и	2	7
24	но все же	1	7
25	заключается в том	5	7
26	в то время	6	7
27	и в этом	6	7
28	том что он	2	7
29	так же как	3	6
30	в этом смысле	5	6
31	так и в	2	6
32	не только не	5	6
33	речь идет о	1	6
34	по крайней мере	9	6
35	в том смысле	4	6
36	вопрос о том	1	6
37	что он не	2	5
38	то время как	6	5
39	с тем что	1	5
40	за то что	1	5
41	но и в	2	5
42	в том чтобы	1	5
43	в свое время	1	5
44	что же касается	5	5
45	тот факт что	1	5
46	обратить внимание на	2	5
47	дело не в	4	4
48	так или иначе	2	4
49	сами по себе	8	4
50	с одной стороны	2	4
51	ничего общего с	2	4
52	в связи с	9	4
53	но это не	1	4
54	того или иного	5	4
55	иметь в виду	2	4
56	говорит что он	1	4
57	что и в	3	4
58	имеет ничего общего	3	3
59	это не значит	1	3
60	только потому что	3	3
61	о том как	4	3
62	том смысле что	4	3
63	в той же	1	3
64	себе отчет в	2	3
65	можно сказать что	2	3
66	то или иное	3	3
67	в том числе	1	3
68	не значит что	2	3
69	более или менее	2	3
70	сказать что в	1	3
71	потому что он	6	3
72	не имеет ничего	3	3
73	это не просто	1	3
74	находим и в	1	3
75	таким образом в	1	3
76	к тому же	1	3
77	на этот раз	3	3
78	в конце первой	1	3
79	но все это	1	3
80	бы то ни	5	3
81	если принять во	1	3
82	и тем не	6	3
83	как и вообще	2	3
84	и тем же	1	3
85	и только в	3	3
86	и не в	2	3
87	только в том	2	3
88	в известном смысле	1	3
89	в каком смысле	1	3
90	не говоря уже	1	3
91	одним и тем	1	3
92	в прямом смысле	1	3
93	во всех этих	1	3
94	в этом случае	8	3
95	в первую очередь	3	3
96	всяком случае не	2	3
97	принять во внимание	1	3
98	а вовсе не	3	3
99	но то что	1	2
100	в котором он	1	2
101	ни в каком	8	2
102	но если это	1	2
103	точки зрения их	1	2
104	в той или	7	2
105	и что поэтому	1	2
106	из них и	1	2
107	хотя бы и	2	2
108	а то что	3	2
109	на общем фоне	1	2
110	но и с	1	2
111	в живом языке	1	2
112	если бы и	1	2
113	во втором случае	1	2
114	все более и	1	2
115	в зависимости от	3	2
116	том числе и	1	2
117	если бы мы	1	2
118	точно так же	5	2
119	нельзя сказать что	1	2
120	том что этот	1	2
121	и в то	2	2
122	а потому что	1	2
123	в отличие от	2	2
124	и в других	2	2
125	лежащий в основе	1	2
126	же и в	1	2
127	только в виде	2	2
128	что в этом	1	2
129	то ни было	4	2
130	если не считать	1	2
131	а не в	1	2
132	то же самое	17	2
133	то что у	3	2
134	вовсе не является	4	2
135	только тогда когда	1	2
136	при таком положении	1	2
137	сам по себе	10	2
138	в евгении онегине	1	2
139	таком положении дела	1	2
140	тому что в	1	2
141	т д и	5	2
142	но он не	1	2
143	той или иной	16	2
144	вовсе не в	2	2
145	является не только	1	2
146	вообще не существует	1	2
147	он не только	1	2
148	под пером пушкина	1	2
149	в чем же	2	2
150	более и более	1	2
151	в настоящее время	4	2
152	на этот вопрос	1	2
153	далеко не все	1	2
154	как мы видели	2	2
155	том что и	1	2
156	или лучше сказать	1	2
157	мы имеем в	1	2
158	как бы ни	1	2
159	так что в	2	2
160	у нас не	2	2
161	и то что	8	2
162	что в нем	1	2
163	тем что он	1	2
164	между прочим и	1	2
165	что это за	3	2
166	несколько слов о	1	2
167	пушкина с этой	1	2
168	ни о каком	2	2
169	но с другой	2	2
170	как и в	2	2
171	может быть и	3	2
172	привести хотя бы	1	1
173	должны были бы	1	1
174	на которую указывает	2	1
175	он является в	1	1
176	благодаря тому что	1	1
177	в вопросе о	1	1
178	настолько сильна что	2	1
179	а может быть	2	1
180	этого слова в	1	1
181	как будто бы	7	1
182	в то или	1	1
183	то тем самым	2	1
184	и больше ничего	3	1
185	здесь дело не	1	1
186	начала до конца	1	1
187	каком случае не	4	1
188	в определенном направлении	1	1
189	с первого взгляда	3	1
190	на самого себя	1	1
191	достаточно привести хотя	1	1
192	чтобы читатель мог	1	1
193	не ради этой	1	1
194	того чтобы не	1	1
195	в каком-то пункте	1	1
196	находит для себя	1	1
197	по сравнению с	3	1
198	одна с другой	2	1
199	потому что оно	1	1
200	совсем другое дело	2	1
201	независимо от их	1	1
202	как нечто целое	2	1
203	того или другого	3	1
204	как и во	1	1
205	д и т	5	1
206	в собственном смысле	1	1
207	мы говорим о	2	1
208	как бы они	1	1
209	и никогда не	1	1
210	или иной мере	3	1
211	в том и	1	1
212	с этой точки	1	1
213	можно только при	1	1
214	о котором говорилось	1	1
215	художественного произведения в	1	1
216	и это не	1	1
217	как и другие	1	1
218	а в том	1	1
219	необходимо обратить внимание	1	1
220	так что он	2	1
221	на котором он	1	1
222	во что бы	1	1
223	что не имеет	1	1
224	потому что она	1	1
225	друг от друга	3	1
226	в подлинном смысле	1	1
227	свидетельствует о том	1	1
228	тогда когда мы	1	1
229	могло бы быть	2	1
230	так что они	1	1
231	и не имеет	1	1
232	но даже и	7	1
233	и то же	5	1
234	только тем что	1	1
235	все это уже	1	1
236	так и другие	1	1
237	при помощи которого	1	1
238	уже потому что	1	1
239	в них все	1	1
240	никогда и не	1	1
241	т д в	1	1
242	в каком случае	5	1
243	не потому что	1	1
244	который заключается в	1	1
245	таким образом если	1	1
246	может быть не	1	1
247	хотя бы даже	1	1
248	смысле этого слова	1	1
249	мы находим например	1	1
250	и могут быть	1	1
251	но может быть	1	1
252	ясно что при	1	1
253	что он гораздо	1	1
254	другой стороны и	1	1
255	само по себе	5	1
256	содержании и в	1	1
257	нечего и говорить	2	1
258	особенно в отношении	1	1
259	но не вполне	1	1
260	быть и речи	1	1
261	быть и очень	1	1
262	не так уж	2	1
263	но сами по	1	1
264	также и то	5	1
265	котором говорилось выше	1	1
266	и во всем	1	1
267	даже и в	3	1
268	в каждом из	1	1
269	если я скажу	1	1
270	по себе не	1	1
271	и что такое	1	1
272	каждой из них	1	1
273	и какой бы	1	1
274	обобщения а не	1	1
275	однако если бы	1	1
276	такие слова как	1	1
277	при чем как	1	1
278	сказать что он	1	1
279	было сделать только	1	1
280	мы теперь должны	1	1
281	имел в виду	1	1
282	это вовсе не	5	1
283	не менее и	1	1
284	и говорить о	2	1
285	в стихотворении не	1	1
286	только то что	4	1
287	жизни и деятельности	1	1
288	это значит что	8	1
289	мы находим и	1	1
290	здесь идет речь	1	1
291	у нас и	1	1
292	и по существу	1	1
293	приходится сказать что	1	1
294	не только художественным	1	1
295	имея в виду	1	1
296	так же и	3	1
