N	3gram	Tiupa_Hudo	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	не может быть	4	3
4	по крайней мере	1	3
5	может быть это	1	3
6	в этом смысле	3	3
7	можно сказать что	3	3
8	все то что	1	2
9	в конечном счете	5	2
10	так же как	1	2
11	о том что	1	2
12	не могут быть	1	2
13	в самом деле	2	2
14	быть не может	1	1
15	в том что	8	1
16	и со всеми	1	1
17	не что иное	1	1
18	что иное как	1	1
19	ни в коем	2	1
20	той или иной	5	1
21	прежде всего к	1	1
22	я и мир	1	1
23	подобно тому как	3	1
24	в известной степени	1	1
25	и прежде всего	2	1
26	мы имеем в	3	1
27	обратим внимание на	1	1
28	я и его	4	1
29	в себя и	1	1
30	и теперь в	1	1
31	то ни было	2	1
32	имеем в виду	3	1
33	и того же	3	1
34	этой точки зрения	2	1
35	в свое время	1	1
36	его за пределы	1	1
37	на первый взгляд	1	1
38	с этой точки	2	1
39	то же самое	1	1
40	как один из	1	1
41	в коем случае	2	1
42	во внешнем мире	2	1
43	для того чтобы	5	1
44	однако в рамках	1	1
45	всех без исключения	3	1
46	сказать что для	1	1
47	а с другой	2	1
48	с одной стороны	3	1
49	на этом пути	1	1
50	связи с этим	1	1
51	таким образом и	1	1
52	это и есть	1	1
53	на наших глазах	2	1
54	бы то ни	2	1
55	таким образом с	1	1
56	имеем дело с	1	1
57	одного и того	3	1
58	в связи с	3	1
