N	4gram	Vygotskiy_	Hudozhes
1	в то же время	1	7
2	состоит в том что	3	4
3	одно и то же	3	3
4	одного и того же	3	3
5	в том числе и	2	2
6	в том что он	2	2
7	приводит к тому что	3	2
8	с этой точки зрения	4	2
9	природу каждой из них	1	1
10	той мере в какой	2	1
11	отличием внутренней речи от	1	1
12	том что он не	1	1
13	не что иное как	1	1
14	заключается в том что	9	1
15	в той мере в	2	1
16	в том что она	2	1
17	и по отношению к	1	1
18	по одним и тем	1	1
19	с одной стороны и	4	1
20	речи для себя и	2	1
21	не содержит в себе	2	1
22	во всей своей полноте	1	1
23	состоит как раз в	1	1
24	исходит из того что	1	1
25	внутренней речи от внешней	1	1
26	одним и тем же	2	1
27	одном и том же	3	1
28	мы имеем дело с	1	1
29	точно так же как	3	1
30	есть не что иное	1	1
