N	2gram	Trubetskoy	PoTuStor
1	может быть	17	17
2	и в	24	16
3	и пр	1	12
4	таким образом	34	9
5	в этом	13	9
6	прежде всего	3	9
7	мы можем	6	9
8	и проч	4	9
9	и только	2	9
10	в психике	7	8
11	совершенно не	4	8
12	точки зрения	14	8
13	и с	5	8
14	не может	18	8
15	и его	2	8
16	не только	10	7
17	сказать что	1	7
18	с его	1	7
19	и к	5	6
20	при этом	9	6
21	для него	2	6
22	самом деле	12	6
23	я и	1	6
24	и это	3	6
25	конечно не	3	6
26	с точки	8	6
27	что такое	1	5
28	все эти	19	5
29	только для	1	5
30	еще не	6	5
31	как бы	10	5
32	отношение к	4	5
33	до сознания	1	5
34	а потому	5	4
35	все что	10	4
36	для всех	1	4
37	и на	6	4
38	так как	7	4
39	все это	13	4
40	в его	5	4
41	мысли и	1	4
42	так и	10	4
43	на самом	7	4
44	его в	5	4
45	и даже	1	4
46	и все	9	4
47	с ними	2	4
48	только в	6	4
49	и не	9	4
50	но мы	1	4
51	с самого	1	4
52	но и	11	4
53	хотя бы	4	4
54	и может	3	4
55	и их	5	4
56	самого начала	1	4
57	в этой	7	4
58	как мы	3	4
59	отнюдь не	2	4
60	в нем	3	4
61	с ее	2	4
62	в один	2	4
63	и ее	2	4
64	и наконец	3	4
65	но в	5	4
66	и вот	1	3
67	до сих	15	3
68	в том	31	3
69	мы знаем	10	3
70	те же	2	3
71	с другими	1	3
72	на этой	3	3
73	между ними	2	3
74	их в	2	3
75	отношения к	1	3
76	и как	1	3
77	что в	9	3
78	том что	20	3
79	вместе с	7	3
80	на этом	2	3
81	в этих	3	3
82	сравнению с	5	3
83	и оно	1	3
84	вся культура	1	3
85	культура и	1	3
86	во всех	10	3
87	во всяком	2	3
88	и потому	3	3
89	в основе	2	3
90	и притом	1	3
91	тех же	2	3
92	по сравнению	5	3
93	по крайней	1	3
94	назад в	1	3
95	только на	1	3
96	а в	3	3
97	то что	18	3
98	могут быть	1	3
99	сих пор	15	3
100	в общем	6	3
101	жизни и	2	3
102	в области	4	3
103	всяком случае	2	3
104	крайней мере	1	3
105	в самом	8	2
106	сущность его	1	2
107	мы видим	1	2
108	него только	1	2
109	что оно	3	2
110	это делает	1	2
111	они не	2	2
112	т.е в	1	2
113	мы не	1	2
114	с этой	3	2
115	по всему	1	2
116	ни было	3	2
117	что это	5	2
118	на этих	1	2
119	ее в	1	2
120	и говорить	3	2
121	в область	1	2
122	для нас	3	2
123	но как	2	2
124	что и	7	2
125	быть может	1	2
126	сводится к	2	2
127	у него	5	2
128	не могут	4	2
129	в них	2	2
130	а на	1	2
131	поэтому и	1	2
132	и других	3	2
133	эти понятия	1	2
134	все то	2	2
135	не знает	2	2
136	между собою	5	2
137	в жизни	3	2
138	можно назвать	3	2
139	как и	10	2
140	что он	7	2
141	есть в	2	2
142	же как	3	2
143	не есть	4	2
144	только то	2	2
145	в своей	1	2
146	и так	2	2
147	в одно	2	2
148	как с	1	2
149	по своему	5	2
150	себя и	2	2
151	знаем что	8	2
152	не менее	7	2
153	и таким	1	2
154	на первый	2	2
155	этот остаток	1	2
156	и вообще	3	2
157	на них	1	2
158	с этим	12	2
159	к этому	5	2
160	между собой	4	2
161	что мы	4	2
162	в историю	1	2
163	мы уже	4	2
164	другими словами	2	2
165	все остальные	1	2
166	из этих	8	2
167	на друга	2	2
168	ту же	2	2
169	совсем не	1	2
170	на два	1	2
171	а может	1	2
172	в этот	1	2
173	он не	4	2
174	кажется что	1	2
175	в развитии	1	2
176	в частности	2	2
177	не будет	5	2
178	нечего и	3	2
179	для меня	4	2
180	говорить о	2	2
181	всех других	2	2
182	в науке	1	2
183	в начале	3	2
184	как не	2	2
185	так же	8	2
186	и всех	1	2
187	друг на	2	2
188	потому и	2	2
189	было бы	3	2
190	таким путем	1	2
191	к ним	2	2
192	нет и	1	2
193	если мы	4	2
194	с нею	1	2
195	находится в	1	2
196	что на	2	2
197	о том	7	2
198	в голову	1	2
199	во всей	2	2
200	один из	1	2
201	и по	3	2
202	с ним	6	2
203	и для	6	2
204	для этого	7	2
205	того же	9	2
206	то же	4	2
207	сделать это	1	2
208	никогда не	4	2
209	для самого	2	1
210	к сожалению	1	1
211	науки о	1	1
212	во всем	3	1
213	бы то	3	1
214	они являются	1	1
215	по мнению	1	1
216	на почве	3	1
217	от нее	2	1
218	что они	2	1
219	и то	4	1
220	в другой	1	1
221	заметим что	2	1
222	образом и	2	1
223	создают и	1	1
224	в более	1	1
225	в центре	1	1
226	та же	4	1
227	мы и	2	1
228	и культурой	1	1
229	к их	1	1
230	его мнению	1	1
231	а наоборот	3	1
232	только те	3	1
233	же и	1	1
234	друга в	1	1
235	не сознавая	2	1
236	данном случае	3	1
237	различие между	1	1
238	современной культуры	1	1
239	только что	3	1
240	на вопрос	4	1
241	то я	1	1
