N	3gram	Propp_Isto	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	и т д	30	2
4	в том что	8	2
5	это еще не	2	2
6	но и в	2	2
7	в этом нет	1	1
8	можно ли было	1	1
9	к людям и	1	1
10	он говорит что	1	1
11	сравнению с ними	1	1
12	этом нет ничего	1	1
13	но прежде всего	1	1
14	вместе с тем	1	1
15	и вместе с	1	1
16	мы видим что	6	1
17	есть один из	1	1
18	и в форме	1	1
19	на том свете	2	1
20	по сравнению с	2	1
21	как и в	2	1
22	в жизни и	1	1
23	во всем мире	3	1
24	но все же	5	1
25	что он так	1	1
26	с другой стороны	10	1
27	с небом и	1	1
28	но часто он	1	1
29	одна из сторон	1	1
30	в них и	1	1
31	всего что было	1	1
32	после того как	3	1
33	и не случайно	1	1
