N	3gram	Vinokur_Vv	Tvorches
1	в то же	6	25
2	то же время	6	24
3	и т д	39	17
4	в том что	15	11
5	в соответствии с	2	8
6	о том что	13	8
7	не может быть	10	6
8	но в то	3	6
9	и т п	5	5
10	в самом деле	6	5
11	в том же	1	5
12	по отношению к	4	5
13	до сих пор	7	4
14	по крайней мере	4	4
15	с точки зрения	4	4
16	дело в том	3	4
17	с самого начала	1	4
18	это прежде всего	1	4
19	во главе с	1	3
20	дело не в	1	3
21	в таком случае	1	3
22	точно так же	2	3
23	том что в	1	3
24	в отличие от	4	3
25	в известной мере	2	3
26	во всяком случае	5	3
27	с другой стороны	5	3
28	может быть назван	1	2
29	в данном случае	4	2
30	заключает в себе	1	2
31	влечет за собой	2	2
32	для того чтобы	22	2
33	в том числе	1	2
34	тем не менее	9	2
35	не значит что	1	2
36	у него в	1	2
37	и в конце	1	2
38	не потому что	1	2
39	в конце концов	2	2
40	потому что он	2	2
41	и в самом	3	2
42	а потому что	1	2
43	не могут быть	2	2
44	в известном смысле	3	2
45	не то что	1	2
46	по самой своей	2	2
47	в связи с	2	2
48	в свою очередь	2	2
49	вместе с тем	3	2
50	заключается в том	3	2
51	только то что	1	2
52	можно сказать что	3	2
53	на этот вопрос	5	2
54	на самом деле	1	2
55	именно в этом	3	2
56	так же как	1	2
57	не только в	4	2
58	нет сомнений что	1	2
59	во всей европейской	1	1
60	на этой почве	2	1
61	лишь в том	1	1
62	и как раз	1	1
63	не может служить	2	1
64	в которых как	1	1
65	как будто бы	2	1
66	том же направлении	1	1
67	во второй части	1	1
68	в применении к	6	1
69	том смысле что	1	1
70	человека в его	1	1
71	дело не только	1	1
72	называет себя в	1	1
73	потому что это	1	1
74	он вовсе не	1	1
75	в том например	1	1
76	что в одном	1	1
77	то или иное	1	1
78	мы говорим о	1	1
79	но ведь в	1	1
80	хотя бы и	2	1
81	в каждом из	1	1
82	все это у	1	1
83	соответствии с этим	1	1
84	мысли и чувства	1	1
85	говорить о том	1	1
86	составляет один из	1	1
87	в частности в	1	1
88	в первом из	2	1
89	идет уже не	1	1
90	т д в	2	1
91	потому что в	1	1
92	именно потому что	1	1
93	а между тем	2	1
94	и потому что	2	1
95	в этом пункте	1	1
96	это не просто	1	1
97	могут быть названы	2	1
98	во многих случаях	1	1
99	и прежде всего	1	1
100	по себе не	1	1
101	то ни было	1	1
102	и того же	2	1
103	нужно сказать что	1	1
104	то же самое	3	1
105	по этому поводу	3	1
106	имел в виду	1	1
107	ни та ни	1	1
108	к тому что	1	1
109	не может не	1	1
110	был знать все	1	1
111	бы то ни	1	1
112	то все это	1	1
113	сказывается и в	1	1
114	д все это	1	1
115	и в том	4	1
116	и в этом	4	1
117	собой не что	1	1
118	т д и	1	1
119	в сущности уже	1	1
120	и тем не	3	1
121	того или иного	1	1
122	т д все	2	1
123	той или иной	3	1
124	самое же существенное	1	1
125	но и в	1	1
126	в том смысле	1	1
127	же ясно что	1	1
128	должен был знать	1	1
129	само собой разумеющимся	1	1
130	в чем же	3	1
131	не мог не	1	1
132	и в дальнейшем	1	1
133	имеем в виду	1	1
134	в другом месте	2	1
135	ту или иную	1	1
136	что же касается	2	1
137	в целом ряде	2	1
138	то что в	1	1
139	может быть в	2	1
140	и не в	1	1
141	как один из	1	1
142	с одной стороны	4	1
143	но с точки	1	1
144	но в принципе	1	1
145	в начале xix	2	1
146	в настоящее время	1	1
147	в отказе от	1	1
148	что он вовсе	1	1
149	больших романов достоевского	1	1
150	но дело не	2	1
151	речь идет уже	1	1
152	в стороне все	1	1
153	но уже в	1	1
154	не что иное	5	1
155	и никогда не	1	1
156	это еще не	2	1
157	в прямом смысле	4	1
158	совершенно иного рода	1	1
159	ответ на этот	2	1
160	деле как мы	1	1
161	уже в первом	1	1
162	можно было бы	4	1
163	только потому что	1	1
164	мы имеем в	1	1
165	в этом случае	6	1
166	уже было сказано	2	1
167	в высшем смысле	1	1
168	все же это	1	1
169	что в нем	2	1
170	не теряет от	1	1
171	одного и того	2	1
172	та ни другая	1	1
173	как уже было	2	1
174	так как и	1	1
175	друг для друга	1	1
176	что может быть	3	1
177	что иное как	5	1
178	самом деле как	2	1
179	все это делает	1	1
180	в предисловии к	1	1
181	не только с	1	1
182	вопрос о том	5	1
183	в более широком	1	1
184	на эту тему	1	1
185	как уже говорилось	1	1
186	вывода к которому	1	1
187	только в этом	1	1
188	потому что они	1	1
