N	2gram	Kanaev_Sov	KFilosof
1	может быть	12	45
2	в его	2	42
3	в нем	3	32
4	не может	17	29
5	и не	6	28
6	и в	7	28
7	по отношению	1	26
8	отношению к	1	22
9	в себе	3	21
10	только в	1	18
11	и его	1	18
12	в своем	1	17
13	а не	3	17
14	в этом	7	15
15	не в	3	13
16	точки зрения	12	13
17	к нему	1	12
18	ни в	1	12
19	но не	1	12
20	и это	1	12
21	все эти	5	11
22	во всех	1	11
23	все это	3	10
24	это не	4	10
25	с точки	5	10
26	и есть	2	10
27	и для	1	10
28	в целом	4	10
29	и все	3	9
30	как бы	4	9
31	не было	1	8
32	если бы	1	8
33	быть только	1	8
34	в мире	1	8
35	было бы	3	8
36	жизни и	4	8
37	должен быть	1	7
38	вовсе не	1	7
39	уже не	2	7
40	совершенно не	2	7
41	конечно не	1	7
42	и только	1	7
43	отнюдь не	3	7
44	должно быть	1	6
45	но все	2	6
46	но эта	1	6
47	не имеет	1	6
48	в том	4	6
49	и их	1	6
50	и действительно	1	6
51	за вычетом	1	6
52	теоретического познания	1	6
53	он не	1	6
54	но это	1	6
55	от его	1	5
56	то же	3	5
57	мы имеем	1	5
58	не только	4	5
59	мира но	1	5
60	с ним	1	5
61	но как	1	5
62	его в	1	5
63	не знает	1	5
64	но в	3	5
65	именно в	1	5
66	но ведь	1	5
67	как и	6	5
68	все же	3	5
69	жизни в	1	5
70	еще не	3	5
71	принципиально не	2	5
72	в одном	3	5
73	а в	4	5
74	жизни как	1	5
75	там где	1	5
76	никогда не	1	5
77	что в	2	4
78	при этом	3	4
79	ни было	1	4
80	что это	2	4
81	для нас	3	4
82	прежде всего	5	4
83	в своих	1	4
84	как его	1	4
85	нет в	1	4
86	том что	1	4
87	но можно	1	4
88	во всей	1	4
89	времени и	2	4
90	и т.д	3	4
91	быть в	1	4
92	жизни но	1	3
93	и может	1	3
94	та же	1	3
95	здесь нет	1	3
96	на язык	1	3
97	и пр	2	3
98	мы не	9	3
99	ним и	1	3
100	на самом	1	3
101	ясно что	3	3
102	а все	3	3
103	и тот	1	3
104	самом деле	2	3
105	но для	1	3
106	в корне	1	3
107	не дает	2	3
108	рядом с	1	3
109	не менее	2	3
110	один и	1	3
111	может дать	2	3
112	но конечно	1	3
113	той или	1	3
114	в каждом	8	3
115	это и	1	3
116	в свою	2	3
117	и ни	1	3
118	в другом	1	3
119	в ней	1	3
120	быть и	2	3
121	и та	1	3
122	к чему	2	3
123	этом смысле	1	3
124	человека и	1	3
125	с человеком	1	3
126	нет и	4	3
127	не быть	1	3
128	могут быть	2	3
129	о том	1	3
130	в то	1	3
