N	2gram	Bakhtin_Fr	Psycholo
1	то что	12	193
2	и в	73	190
3	в том	13	163
4	что в	14	123
5	потому что	9	114
6	том что	8	113
7	и что	5	108
8	может быть	5	107
9	таким образом	34	102
10	в этом	21	100
11	то есть	36	97
12	все время	4	86
13	в самом	9	82
14	как бы	15	80
15	того чтобы	2	78
16	что он	8	76
17	не только	11	75
18	и не	13	73
19	самом деле	4	70
20	точки зрения	6	69
21	не может	4	68
22	если мы	2	66
23	так же	11	63
24	так как	9	63
25	было бы	5	56
26	то же	16	54
27	о том	13	54
28	при этом	5	52
29	как и	19	51
30	что и	6	50
31	а не	2	50
32	что это	9	49
33	сказать что	4	46
34	по себе	2	46
35	только в	7	46
36	в сущности	8	46
37	заключается в	1	46
38	говорит что	2	45
39	к тому	2	45
40	не в	12	45
41	в этой	18	43
42	никогда не	6	42
43	и все	19	42
44	вместе с	9	41
45	как это	2	40
46	но и	15	40
47	как раз	3	39
48	при помощи	1	39
49	того что	5	39
50	же самое	1	38
51	и это	6	37
52	мы видим	13	37
53	и как	5	36
54	с тем	2	35
55	вовсе не	11	34
56	как на	1	34
57	и если	1	34
58	и его	18	34
59	все же	2	33
60	что все	3	33
61	же точно	2	32
62	в себе	16	32
63	все это	19	32
64	он не	4	31
65	мы не	2	31
66	в его	18	31
67	для нас	2	31
68	в ней	10	31
69	сейчас же	1	30
70	мы увидим	4	30
71	как будто	1	30
72	никак не	1	30
73	как в	9	30
74	с одной	3	29
75	и для	8	29
76	одной стороны	3	29
77	с точки	4	29
78	в нем	18	29
79	увидим что	1	28
80	что они	2	28
81	и когда	3	28
82	мы можем	1	28
83	и то	3	28
84	что мы	2	28
85	в своих	1	27
86	в основе	3	27
87	и на	12	27
88	а в	10	27
89	с другой	3	27
90	все то	3	27
91	так что	2	26
92	и здесь	5	25
93	жизни и	6	25
94	до сих	3	24
95	с таким	2	24
96	до конца	5	24
97	тем что	8	24
98	указывает на	1	24
99	в целом	1	24
100	в своем	13	23
