N	4gram	Bakhtin_Fr	Myslijsy
1	в то же время	5	13
2	одной и той же	1	7
3	и в том что	2	4
4	все более и более	1	4
5	дело в том что	2	4
6	то что мы называем	1	4
7	в том что он	1	3
8	и до сих пор	1	2
9	во всяком случае не	1	2
10	в силу того что	1	2
11	но дело в том	1	2
12	и его связь с	1	2
13	одна и та же	1	2
14	до сих пор еще	4	1
15	никогда не может стать	1	1
16	как мы уже сказали	4	1
17	нет и не может	1	1
18	второй половины xix века	1	1
19	то есть только в	1	1
20	как бы ни были	1	1
21	переходят друг в друга	1	1
22	только потому что в	1	1
23	на этот вопрос мы	2	1
24	чтобы убедиться в этом	1	1
25	и связанное с ним	1	1
26	со второй половины xix	1	1
27	но даже и в	1	1
28	в большей или меньшей	7	1
29	и не может быть	2	1
30	потому что в нем	1	1
31	до настоящего времени и	1	1
32	в том числе и	7	1
33	вовлекает в свой круг	1	1
34	для него самого и	1	1
35	всех времен и народов	1	1
36	но и в более	1	1
37	в том что слово	1	1
