N	2gram	Tiupa_Narr	Sovremen
1	не может	10	17
2	может быть	25	12
3	точки зрения	10	12
4	таким образом	1	11
5	мы не	1	9
6	в этом	17	7
7	и в	19	7
8	мы можем	1	6
9	в результате	2	6
10	как и	7	6
11	ничего не	2	6
12	и не	20	6
13	с точки	2	5
14	прежде всего	4	5
15	все эти	2	5
16	и наконец	1	5
17	а в	11	4
18	это не	2	4
19	не только	32	4
20	в развитии	1	4
21	как бы	4	4
22	нет и	2	4
23	их в	1	4
24	жизни и	3	4
25	в целом	1	4
26	в том	18	4
27	из них	3	4
28	точку зрения	4	4
29	мы видели	1	4
30	и к	1	3
31	и потому	2	3
32	когда мы	2	3
33	уже в	3	3
34	то же	4	3
35	при этом	9	3
36	не в	14	3
37	а не	12	3
38	в системе	1	3
39	для нас	1	3
40	у нас	1	3
41	в конце	1	3
42	и т.д	7	3
43	было бы	4	3
44	в первом	3	3
45	у всех	1	3
46	в этой	5	3
47	из двух	3	3
48	и все	2	3
49	на две	1	3
50	в себе	8	3
51	не подлежит	1	3
52	он может	1	3
53	одна из	3	3
54	все же	7	3
55	в области	2	3
56	может не	3	3
57	отличается от	4	3
58	между собой	2	3
59	отнюдь не	5	3
60	в нем	4	3
61	но в	6	3
62	еще не	7	3
63	что в	3	2
64	этих двух	1	2
65	тем не	3	2
66	в самом	1	2
67	дает нам	1	2
68	совершенно не	2	2
69	отличие от	5	2
70	друг с	1	2
71	и пр	1	2
72	то и	1	2
73	с одной	7	2
74	в отличие	5	2
75	это за	1	2
76	такого рода	7	2
77	в свою	3	2
78	из этих	3	2
79	в его	9	2
80	не будем	1	2
81	не дает	1	2
82	можно назвать	1	2
83	то ни	3	2
84	с совершенно	1	2
85	что это	3	2
86	или же	1	2
87	быть и	1	2
88	из которых	4	2
89	может иметь	1	2
90	если же	1	2
91	говорить о	2	2
92	на его	1	2
93	все те	4	2
94	в третьем	3	2
95	у него	4	2
96	не могут	1	2
97	со всеми	1	2
98	а на	1	2
99	свою очередь	3	2
100	первые два	2	2
101	и даже	3	2
102	как известно	2	2
103	самом деле	2	2
104	но все	4	2
105	ни одна	1	2
106	же самое	1	2
107	тот или	1	2
108	как мы	3	2
109	она может	2	2
110	и во	1	2
111	о жизни	1	2
112	могут быть	3	2
113	в таком	2	2
114	уже не	5	2
115	и есть	2	2
116	что все	1	2
117	или иной	5	2
118	на этом	1	2
119	роль в	2	2
120	не менее	3	2
121	так сказать	1	2
122	приводит к	2	2
123	и по	1	2
124	из четырех	1	2
125	времени и	7	2
126	своего предмета	1	2
127	с другом	1	2
128	в один	1	2
129	на другом	1	2
130	тот же	1	2
131	подлежит сомнению	1	2
132	жизни мы	1	2
133	жизни но	2	1
134	во всех	1	1
135	описания и	2	1
136	бы то	3	1
137	совершенно иными	1	1
138	они все	2	1
139	к которому	2	1
140	что один	1	1
141	это и	3	1
142	его и	1	1
143	в свое	1	1
144	искать в	1	1
145	во втором	4	1
146	человека в	2	1
147	но как	2	1
148	то они	2	1
149	немного в	1	1
150	не является	8	1
151	в данном	5	1
152	до сих	1	1
153	он уже	2	1
154	в жизненной	1	1
155	еще раз	1	1
156	и более	1	1
157	осуществляется в	1	1
158	та же	2	1
159	имеют место	2	1
160	вытекает из	1	1
161	в действительности	1	1
162	в такого	1	1
163	в любом	2	1
164	от его	1	1
165	что иное	2	1
166	которых в	1	1
167	в вопросах	1	1
168	в процессе	1	1
169	данном случае	4	1
170	в какой-нибудь	1	1
171	ли это	1	1
172	связи с	4	1
173	если в	3	1
174	очень часто	1	1
175	указать на	1	1
176	мы уже	1	1
177	человек и	1	1
178	в первый	1	1
179	происходящего в	2	1
180	идет о	2	1
181	она не	2	1
182	на ее	1	1
183	но еще	1	1
184	одной стороны	7	1
185	на другой	2	1
186	это то	1	1
187	мы имеем	2	1
188	и у	1	1
189	в другом	1	1
190	от конца	1	1
191	совсем не	1	1
192	несмотря на	2	1
193	другого для	1	1
194	не быть	1	1
195	в ней	3	1
196	которых он	1	1
197	ни было	3	1
198	мира но	1	1
199	человека как	1	1
200	а может	1	1
201	хотя и	3	1
202	человек с	1	1
203	с другой	8	1
204	и тогда	1	1
205	с ним	1	1
206	он не	3	1
207	за собой	4	1
208	и т.п	8	1
209	какой бы	1	1
210	не будет	3	1
211	те же	4	1
212	между двумя	5	1
213	аналогии с	1	1
214	ей не	2	1
215	в область	2	1
216	как у	1	1
217	место только	1	1
218	и соответственно	2	1
219	что произошло	1	1
220	какую бы	1	1
221	и при	1	1
222	в известном	2	1
223	на самом	1	1
224	здесь в	1	1
225	что каждый	1	1
226	можно было	2	1
227	ни в	3	1
228	и от	1	1
229	в начале	1	1
230	по отношению	7	1
231	отдельных элементов	1	1
232	и ничего	1	1
233	и тот	2	1
234	а далее	1	1
235	только в	4	1
236	позиции в	1	1
237	в совершенно	1	1
238	которая не	1	1
239	все равно	1	1
240	же время	4	1
241	и может	1	1
242	не случайно	2	1
243	так же	2	1
244	его в	2	1
245	собственно и	1	1
246	то она	2	1
247	перед глазами	1	1
248	в обоих	2	1
249	отметить что	1	1
250	должен был	1	1
251	с человеком	2	1
252	в конечном	3	1
253	в будущем	2	1
254	жизни оно	1	1
255	не было	2	1
256	с его	6	1
257	как будет	3	1
258	один из	3	1
259	силу и	1	1
260	если бы	1	1
261	не знает	1	1
262	или в	2	1
263	области явлений	1	1
264	а о	1	1
265	в западной	1	1
266	ни одного	1	1
267	к одному	1	1
268	наших дней	1	1
269	нему иначе	1	1
270	другой день	2	1
271	выбора не	1	1
272	дело в	1	1
273	крайней мере	1	1
274	известном смысле	2	1
275	сами по	2	1
276	одного из	4	1
277	окружающих его	1	1
278	же как	3	1
279	по существу	2	1
280	сказать что	4	1
281	и эта	1	1
282	быть только	1	1
283	это пока	1	1
284	жизни как	3	1
285	именно в	6	1
286	и до	2	1
287	конечном счете	2	1
288	именно таковы	1	1
289	благодаря этому	1	1
290	обратимся к	3	1
291	и ставит	1	1
292	отношению к	6	1
293	одной из	4	1
294	бы все	1	1
295	в своем	2	1
296	по аналогии	1	1
297	этом смысле	1	1
298	может оказаться	2	1
299	в связи	2	1
300	в какой	2	1
301	между ними	2	1
302	мы будем	1	1
303	во всей	2	1
304	в целый	1	1
305	у читателя	1	1
306	же в	4	1
307	том что	14	1
308	характерное для	1	1
309	до наших	1	1
310	в мире	9	1
311	и прежде	1	1
312	жизни в	3	1
313	но не	6	1
314	нельзя сказать	1	1
315	здесь и	2	1
316	они не	2	1
317	к концу	1	1
318	по себе	5	1
319	процесса и	2	1
320	он сам	2	1
321	оно может	2	1
322	не имеет	2	1
323	их на	1	1
324	и могут	1	1
325	в то	3	1
326	и только	2	1
327	один и	1	1
328	по его	1	1
329	является ли	1	1
330	за все	1	1
331	две половины	1	1
332	как целого	1	1
333	но это	1	1
334	независимо от	2	1
335	когда в	1	1
336	оно имеет	1	1
337	но уже	1	1
338	и для	2	1
339	есть то	1	1
340	с ее	3	1
341	таким же	1	1
342	не что	2	1
343	точка зрения	6	1
344	того же	1	1
345	все время	1	1
346	и развития	1	1
347	только о	2	1
348	западной европе	1	1
349	и его	5	1
350	жизни не	1	1
351	вовсе не	1	1
352	мере в	1	1
353	будет продолжаться	2	1
354	о том	6	1
355	сих пор	1	1
356	есть не	1	1
357	и вообще	1	1
358	по крайней	1	1
359	только таким	1	1
360	образом на	1	1
361	возможностей в	1	1
362	иное как	2	1
363	жизненной практике	1	1
364	без помощи	1	1
365	зрения и	2	1
366	к очень	1	1
367	к другому	2	1
368	к нему	5	1
369	никогда не	3	1
370	той или	4	1
371	на них	1	1
372	свое время	1	1
