N	2gram	Voloshinov	StatiiOP
1	и в	3	103
2	не только	1	60
3	но и	1	46
4	в его	1	42
5	и не	1	41
6	может быть	1	38
7	а не	1	27
8	точки зрения	1	23
9	в то	1	19
10	не может	4	18
11	если бы	1	16
12	в ней	1	16
13	из этих	1	15
14	и на	1	15
15	для него	1	15
16	то же	1	14
17	к тому	1	14
18	с точки	1	14
19	в языке	1	13
20	тому что	1	13
21	не менее	1	12
22	же время	1	10
23	во второй	1	10
24	несмотря на	1	9
25	в каждом	1	9
26	связи с	1	8
27	можно назвать	1	7
28	в особенности	1	6
29	и все	1	6
30	литературного языка	1	6
31	один из	2	5
32	конечно и	1	5
33	нет и	1	5
34	на нее	1	5
35	в центре	2	4
36	в выборе	1	4
37	мы видим	1	4
38	если в	2	4
39	русского литературного	1	4
40	бы на	1	4
41	его от	1	3
42	бы в	1	3
43	в системе	1	3
44	так называемая	1	3
45	может не	1	3
46	истории русского	1	2
47	зрения их	1	2
48	по своим	1	2
49	сравнении с	1	2
50	и можно	1	2
51	к историческому	1	2
52	второй части	1	2
53	событий и	1	2
54	тех же	1	2
55	и тому	1	2
56	с теми	1	2
57	ни один	1	2
58	при сравнении	1	2
59	можно и	1	1
60	и социальной	1	1
61	формальных приемов	1	1
62	становится особенно	1	1
63	ставить в	1	1
64	произведения но	1	1
65	языка как	1	1
66	русской литературы	1	1
67	больше ничего	1	1
68	вполне понятно	1	1
69	с другими	1	1
70	языка стр	1	1
71	вопрос что	1	1
72	в школе	1	1
73	он в	1	1
74	русской почве	1	1
75	и должно	1	1
76	на месте	1	1
77	подхода к	1	1
78	на русской	1	1
79	в конкретном	1	1
80	неполно и	1	1
81	истории но	1	1
82	и больше	1	1
83	своих работ	1	1
84	на примере	1	1
85	при анализе	1	1
86	нуждаются в	1	1
87	не из	1	1
88	первая часть	1	1
89	художественного произведения	1	1
90	анализа и	1	1
